"ADM0_EN","ADM1_EN","ADM2_EN","confirmedCount","currentConfirmedCount","suspectedCount","deadCount","curedCount","DATE"
"China","Henan Province","Nanyang",84,0,0,2,1,"2020-02-03"
"China","Henan Province","Pingdingshan",19,0,0,0,0,"2020-02-03"
"China","Henan Province","Puyang",3,0,0,0,0,"2020-02-03"
"China","Henan Province","Sanmenxia",7,0,0,0,0,"2020-02-03"
"China","Henan Province","Shangqiu",50,0,0,0,0,"2020-02-03"
"China","Henan Province","Xinxiang",27,0,0,0,0,"2020-02-03"
"China","Henan Province","Xinyang",99,0,0,0,6,"2020-02-03"
"China","Henan Province","Xuchang",15,0,0,0,0,"2020-02-03"
"China","Henan Province","Zhengzhou",144,0,0,0,12,"2020-02-03"
"China","Henan Province","Zhoukou",47,0,0,0,1,"2020-02-03"
"China","Henan Province","Zhumadian",58,0,0,0,0,"2020-02-03"
"China","Hong Kong Special Administrative Region","Hong Kong Special Administrative Region",0,0,0,0,0,"2020-02-03"
"China","Hubei Province","Enshi Tujia and Miao Autonomous Prefecture",123,0,0,0,5,"2020-02-03"
"China","Hubei Province","Ezhou",332,0,0,18,2,"2020-02-03"
"China","Hubei Province","Huanggang",1422,0,0,19,32,"2020-02-03"
"China","Hubei Province","Huangshi",405,0,0,2,8,"2020-02-03"
"China","Hubei Province","Jingmen",400,0,0,14,6,"2020-02-03"
"China","Hubei Province","Jingzhou",613,0,0,7,6,"2020-02-03"
"China","Hubei Province","Qianjiang",44,0,0,1,0,"2020-02-03"
"China","Hubei Province","Shennongjia Forestry District",10,0,0,0,2,"2020-02-03"
"China","Hubei Province","Shiyan",291,0,0,0,2,"2020-02-03"
"China","Hubei Province","Suizhou",641,0,0,6,3,"2020-02-03"
"China","Hubei Province","Tianmen",117,0,0,10,0,"2020-02-03"
"China","Hubei Province","Wuhan",6384,0,0,313,228,"2020-02-03"
"China","Hubei Province","Xiangyang",632,0,0,1,1,"2020-02-03"
"China","Hubei Province","Xianning",348,0,0,0,1,"2020-02-03"
"China","Hubei Province","Xiantao",188,0,0,3,0,"2020-02-03"
"China","Hubei Province","Xiaogan",1120,0,0,17,2,"2020-02-03"
"China","Hubei Province","Yichang",452,0,0,3,2,"2020-02-03"
"China","Hubei Province","Prison System",0,0,0,0,0,"2020-02-03"
"China","Hunan Province","Changde",45,0,0,0,0,"2020-02-03"
"China","Hunan Province","Changsha",125,0,0,0,2,"2020-02-03"
"China","Hunan Province","Chenzhou",21,0,0,0,1,"2020-02-03"
"China","Hunan Province","Hengyang",32,0,0,0,4,"2020-02-03"
"China","Hunan Province","Huaihua",32,0,0,0,1,"2020-02-03"
"China","Hunan Province","Loudi",35,0,0,0,2,"2020-02-03"
"China","Hunan Province","Shaoyang",51,0,0,0,1,"2020-02-03"
"China","Hunan Province","Xiangtan",19,0,0,0,3,"2020-02-03"
"China","Hunan Province","Xiangxi Tujia and Miao Autonomous Prefecture",6,0,0,0,1,"2020-02-03"
"China","Hunan Province","Yiyang",30,0,0,0,1,"2020-02-03"
"China","Hunan Province","Yongzhou",26,0,0,0,5,"2020-02-03"
"China","Hunan Province","Yueyang",70,0,0,0,0,"2020-02-03"
"China","Hunan Province","Zhangjiajie",3,0,0,0,0,"2020-02-03"
"China","Hunan Province","Zhuzhou",26,0,0,0,1,"2020-02-03"
"China","Inner Mongolia Autonomous Region","Alxa League",0,0,0,0,0,"2020-02-03"
