"city","province","prefecture","country","travel_advisor","travel_restriction_date_start1","travel_restriction_date_end1","strict_restrictions_prefecture","travel_restriction_date_start2","travel_restriction_date_end2","notes","tr_source","Accessed_date","who_by","tr_source2","accessed_date2","who_by2","notes2"
NA,"Qinghai Province",NA,"China",NA,2020-01-23,NA,NA,NA,NA,"Avoid travel to Wuhan","http://www.qh.gov.cn/zwgk/system/2020/01/23/010350450.shtml",2020-04-01,"JW",NA,NA,NA,NA
NA,"Qinghai Province",NA,"China",NA,2020-01-26,NA,NA,NA,NA,"Temperature screenings at aiports, railway stations, hotels, etc.","http://www.qh.gov.cn/zwgk/system/2020/01/26/010350541.shtml",2020-04-01,"JW",NA,NA,NA,NA
NA,"Qinghai Province",NA,"China",NA,2020-02-01,NA,NA,NA,NA,"2-week quarantine when returning to Qinghai","http://www.qh.gov.cn/zwgk/system/2020/02/01/010350750.shtml",2020-04-01,"JW",NA,NA,NA,NA
NA,"Qinghai Province",NA,"China",NA,2020-02-03,2020-03-04,"yes",NA,NA,"Reduce inter-provincial travel; 2-week quarantine mandatory after traveling and returning to Qinghai; nine provinces, namely, Gansu, Liaoning, Guizhou, Yunnan, Guangxi, Inner Mongolia, Qinghai, Hainan and Shaanxi, revised their response from level 1 down to level 3.","http://www.qh.gov.cn/zwgk/system/2020/02/03/010350882.shtml",2020-04-01,"JW","http://en.nhc.gov.cn/2020-03/05/c_77319.htm","2020-05-21","TCO",NA
NA,"Shanghai Municipality","Shanghai Municipality","China",NA,2020-02-28,NA,NA,NA,NA,"Check temperature and health of travelers in airports, cruise ships, and trains","http://www.shanghai.gov.cn/shanghai/n46669/n48570/n48574/u22ai128194.html",2020-04-01,"JW",NA,NA,NA,NA
NA,"Shanghai Municipality","Shanghai Municipality","China",NA,2020-03-25,NA,NA,NA,NA,"Hongqiao Airport suspends all international, Hong Kong, and Taiwan inbound and outbound flights","http://www.shanghai.gov.cn/nw2/nw2314/nw2315/nw43978/u21aw1435054.html",2020-04-01,"JW",NA,NA,NA,NA
NA,"Shanghai Municipality","Shanghai Municipality","China",NA,2020-03-05,NA,NA,NA,NA,"Pudong International Airport conducting temperature and health screenings; all arrivals from countries with high cases (South Korea, Italy, Iran) must do 14-day quarantine","http://www.shanghai.gov.cn/shanghai/n46669/n48081/u22ai128254.html",2020-04-01,"JW",NA,NA,NA,NA
NA,"Shanxi Province","Shanxi Province","China",NA,NA,2020-03-05,NA,NA,NA,"Resuming public highway transportation services, passengers asked to wear masks, operating at 50% capacity in buses","http://www.eshanxi.gov.cn/media-center/news/342945.shtml",2020-04-06,"JW",NA,NA,NA,NA
NA,"Taiwan Province","Taiwan Province","China",NA,2020-01-25,NA,NA,NA,NA,"Travel advisory at its highest for Hubei; other areas of China are category 2, which is avoiding unnecessary travel","https://taiwantoday.tw/news.php?unit=10&post=170123&unitname=Politics-Top-News&postname=Taiwan-ramps-up-coronavirus-fighting-efforts",2020-04-06,"JW",NA,NA,NA,NA
NA,"Taiwan Province","Taiwan Province","China",NA,2020-02-04,NA,NA,NA,NA,"Travelers from Wuhan to Taiwan quarantined for 14 days","https://taiwantoday.tw/news.php?unit=10&post=170471&unitname=Politics-Top-News&postname=Taiwan-evacuates-247-nationals-from-Wuhan",2020-04-06,"JW",NA,NA,NA,NA
NA,"Taiwan Province","Taiwan Province","China",NA,2020-02-07,NA,NA,NA,NA,"Foreign nationals who traveled to China, Hong Kong, or Macao are refused entry to Taiwan","https://taiwantoday.tw/news.php?unit=10&post=170595&unitname=Politics-Top-News&postname=Taiwan-tightens-coronavirus-border-controls",2020-04-06,"JW",NA,NA,NA,NA
NA,"Taiwan Province","Taiwan Province","China",NA,2020-02-06,NA,NA,NA,NA,"Cruise ships banned from entering Taiwan","https://taiwantoday.tw/news.php?unit=10&post=170595&unitname=Politics-Top-News&postname=Taiwan-tightens-coronavirus-border-controls",2020-04-06,"JW",NA,NA,NA,NA
NA,"Taiwan Province","Taiwan Province","China",NA,2020-02-11,NA,NA,NA,NA,"Deny entry to most visitors from Hong Kong and Macao; exceptions are those fulfilling business agreements, completing corporate relocations, and the spouses and minors of Taiwan residents. Exceptions have a mandatory 14-day quarantine when returning to Taiwan","https://taiwantoday.tw/news.php?unit=10&post=171110&unitname=Politics-Top-News&postname=MAC-tightens-Taiwan-entry-controls-for-Hong-Kong%2C-Macao-visitors",2020-04-06,"JW",NA,NA,NA,NA
NA,"Taiwan Province","Taiwan Province","China",NA,2020-02-11,2020-03-31,NA,NA,NA,"All tours to or transiting Hong Kong and Macao are suspended","https://taiwantoday.tw/news.php?unit=10&post=171110&unitname=Politics-Top-News&postname=MAC-tightens-Taiwan-entry-controls-for-Hong-Kong%2C-Macao-visitors",2020-04-06,"JW",NA,NA,NA,NA
NA,"Taiwan Province","Taiwan Province","China",NA,2020-02-11,2020-04-30,NA,NA,NA,"All tours to or transiting China are suspended","https://taiwantoday.tw/news.php?unit=10&post=171110&unitname=Politics-Top-News&postname=MAC-tightens-Taiwan-entry-controls-for-Hong-Kong%2C-Macao-visitors",2020-04-06,"JW",NA,NA,NA,NA
NA,"Taiwan Province","Taiwan Province","China",NA,2020-02-24,NA,NA,NA,NA,"Travel advisory for South Korea raised to level 3. Those coming to Taiwan from South Korea are required to have a 14-day quarantine","https://taiwantoday.tw/news.php?unit=10&post=172160&unitname=Politics-Top-News&postname=CDC-raises-travel-alert-for-South-Korea-to-highest-level",2020-04-06,"JW",NA,NA,NA,NA
NA,"Taiwan Province","Taiwan Province","China",NA,2020-02-24,NA,NA,NA,NA,"Travel advisory for Italy, Japan, and Singapore raised to level 2. People coming from these countries are not required to quarantine, but careful monitoring of health is required","https://taiwantoday.tw/news.php?unit=10&post=172160&unitname=Politics-Top-News&postname=CDC-raises-travel-alert-for-South-Korea-to-highest-level",2020-04-06,"JW",NA,NA,NA,NA
NA,"Taiwan Province","Taiwan Province","China",NA,2020-03-02,NA,NA,NA,NA,"Travel advisory for Iran raised to level 3; visitors from Iran need to complete 14-day quarantine","https://taiwantoday.tw/news.php?unit=2,10&post=172259&unitname=Politics-Top-News&postname=Taiwan-passes-COVID-19-relief-act",2020-04-06,"JW",NA,NA,NA,NA
NA,"Taiwan Province","Taiwan Province","China",NA,2020-03-12,NA,NA,NA,NA,"Travel advisory for Austria, Bahrain, Belgium, Denmark, Iceland, Kuwait, the Netherlands, Norway, Sweden, Switzerland, France, and Germany raised to level 2","https://taiwantoday.tw/news.php?unit=10&post=173220&unitname=Politics-Top-News&postname=CECC-announces-compensation-for-COVID-19-quarantine",2020-04-06,"JW",NA,NA,NA,NA
NA,"Taiwan Province","Taiwan Province","China",NA,2020-03-17,NA,NA,NA,NA,"43 countries and territories placed on level 3 travel advisory; people returning from Taiwan are required to undergo 14-day quarantine","https://taiwantoday.tw/news.php?unit=10&post=173584&unitname=Politics-Top-News&postname=CECC-adds-more-countries-and-territories-to-travel-advisory-list",2020-04-06,"JW",NA,NA,NA,NA
NA,"Taiwan Province","Taiwan Province","China",NA,2020-03-19,NA,NA,NA,NA,"17 countries and Japan, Singapore, and California, New York, and Washington are placed on level 3 travel advisory","https://taiwantoday.tw/news.php?unit=10&post=173584&unitname=Politics-Top-News&postname=CECC-adds-more-countries-and-territories-to-travel-advisory-list",2020-04-06,"JW",NA,NA,NA,NA
NA,"Taiwan Province","Taiwan Province","China",NA,2020-03-19,NA,NA,NA,NA,"All noncitizens are temporarily banned from entering Taiwan","https://taiwantoday.tw/news.php?unit=10&post=173806&unitname=Politics-Top-News&postname=Taiwan-bars-foreign-arrivals-amid-COVID-19-pandemic",2020-04-06,"JW",NA,NA,NA,NA
NA,"Taiwan Province","Taiwan Province","China",NA,2020-03-19,NA,NA,NA,NA,"Australia, Canada, New Zealand, and all of US placed on level 3 travel advisory","https://taiwantoday.tw/news.php?unit=10&post=173806&unitname=Politics-Top-News&postname=Taiwan-bars-foreign-arrivals-amid-COVID-19-pandemic",2020-04-06,"JW",NA,NA,NA,NA
NA,"Taiwan Province","Taiwan Province","China",NA,2020-03-24,2020-04-07,NA,NA,NA,"No airline transit in Taiwan","https://taiwantoday.tw/news.php?unit=10&post=174160&unitname=Politics-Top-News&postname=Taiwan-bans-airline-transit-to-combat-COVID-19",2020-04-06,"JW",NA,NA,NA,NA
NA,"Taiwan Province","Taiwan Province","China",NA,2020-04-01,NA,NA,NA,NA,"Temperature screenings at all airports, bus stations, highways, post offices, and railway stations","https://taiwantoday.tw/news.php?unit=10&post=174554&unitname=Politics-Top-News&postname=Taiwan-tightens-COVID-19-measures-for-upcoming-holiday",2020-04-06,"JW",NA,NA,NA,NA
NA,"Tianjin Municipality","Tianjin Municipality","China",NA,2020-01-26,NA,NA,NA,NA,"Temperature screenings of railway passengers; passengers are required to wear masks","http://www.tj.gov.cn/xw/bdyw/202001/t20200127_3668088.html",2020-04-06,"JW",NA,NA,NA,NA
NA,"Tianjin Municipality","Tianjin Municipality","China",NA,2020-02-01,NA,NA,NA,NA,"Caozhuang and South metro stations closed","http://www.tj.gov.cn/xw/bdyw/202002/t20200201_3668415.html",2020-04-06,"JW",NA,NA,NA,NA
NA,"Tianjin Municipality","Tianjin Municipality","China",NA,2020-02-03,NA,NA,NA,NA,"Further closure of metro stations","http://www.tj.gov.cn/xw/bdyw/202002/t20200203_3668514.html",2020-04-06,"JW",NA,NA,NA,NA
NA,"Tianjin Municipality","Tianjin Municipality","China",NA,2020-02-09,NA,NA,NA,NA,"Migrant workers required to complete temperature screenings","http://www.tj.gov.cn/xw/bdyw/202002/t20200209_3668867.html",2020-04-06,"JW",NA,NA,NA,NA
NA,"Guangdong Province","Shantou Prefecture","China",NA,2020-01-24,NA,NA,NA,NA,"Tourism services from Wuhan suspended","https://www.shantou.gov.cn/cnst/ywdt/styw/content/post_1697772.html",2020-04-06,"JW",NA,NA,NA,NA
NA,"Guangxi Zhuang Autonomous Region","Fangchenggang","China",NA,2020-01-24,NA,NA,NA,NA,"Temperature screenings at airports and railway stations","http://www.fcgs.gov.cn/zxzx/tzgg/ggxx/202001/t20200125_93722.html",2020-04-06,"JW",NA,NA,NA,NA
NA,"Hunan Province","Hengyang","China",NA,2020-01-20,NA,NA,NA,NA,"Temperature screenings in public places and in transport","http://www.gov.cn/premier/2020-01/20/content_5471058.htm",2020-04-06,"JW",NA,NA,NA,NA
NA,"Shaanxi Province","Xi'an","China",NA,2020-01-23,2020-03-04,"yes",NA,NA,"Bus, subway, ferry, and long-distance passenger transportation from Wuhan suspended; airports and railways from Han temporarily closed; nine provinces, namely, Gansu, Liaoning, Guizhou, Yunnan, Guangxi, Inner Mongolia, Qinghai, Hainan and Shaanxi, revised their response from level 1 down to level 3.","https://mp.weixin.qq.com/s/krEonLu8xKv1ef_M39xQBg",2020-04-08,"JW","http://en.nhc.gov.cn/2020-03/05/c_77319.htm","2020-05-21","TCO",NA
NA,"Shaanxi Province","Yulin","China",NA,2020-01-27,NA,NA,NA,NA,"Temperature detection stations at airports, railway stations, and bus stations","http://www.yl.gov.cn/xwzx/ylywe/60068.htm",2020-04-08,"JW",NA,NA,NA,NA
NA,"Tibet Autonomous Region","Lhasa","China",NA,2020-01-29,NA,NA,NA,NA,"Passengers on Lhasa-Ali and Lhasa-Chamdo flights will have temperature screened","https://www.tibetairlines.com.cn/stdair/airline/tv/announcement/announcements/announcement_20_01_28_02?sign=true",2020-04-08,"JW",NA,NA,NA,NA
"Shulan","Jilin Province","Jilin","China",NA,NA,2020-02-26,"yes",2020-05-18,NA,"Starting from noon Monday, residential blocks that have seen confirmed or suspected cases are barring residents from leaving and nonresidents from entering.","http://en.nhc.gov.cn/2020-05/19/c_80281.htm",2020-05-21,"TCO",NA,NA,NA,NA
NA,"Jilin Province","Jilin","China",NA,NA,2020-02-26,"yes",2020-05-13,NA,"The Jilin city government announced on May 13 it would expand its lockdown measures to cover the entire city－restricting movement, halting most transportation and suspending public events","http://en.nhc.gov.cn/2020-05/14/c_80152.htm",2020-05-21,"TCO",NA,NA,NA,NA
"Suifenhe","Heilongjiang Province","Mudanjiang","China",NA,2020-04-08,NA,"yes",NA,NA,"All residential communities in Suifenhe were expected to close on Wednesday morning, the local epidemic control department said on Tuesday.","http://en.nhc.gov.cn/2020-04/09/c_78970.htm",2020-05-21,"TCO",NA,NA,NA,NA
NA,NA,NA,"China",NA,NA,2020-03-14,"no",NA,NA,"China has restored normal traffic order in most areas, as 1,117 of the 1,119 closed expressway entrances and exits across the country have re-opened as of March 14 amid an improving epidemic situation.","http://en.nhc.gov.cn/2020-03/16/c_77763.htm",2020-05-21,"TCO",NA,NA,NA,NA
NA,NA,NA,"China",NA,NA,2020-03-11,"no",NA,NA,"As of March 11, about 40 percent of the country's scenic areas with 5A-level ratings, the highest rating for Chinese tourist sites, reopened to the public.","http://en.nhc.gov.cn/2020-03/14/c_77696.htm",2020-05-21,"TCO",NA,NA,NA,NA
