"city","province","prefecture","country","travel_advisor","travel_restriction_date_start1","travel_restriction_date_end1","strict_restrictions_prefecture","travel_restriction_date_start2","travel_restriction_date_end2","notes","tr_source","Accessed_date","who_by","tr_source2","accessed_date2","who_by2","notes2"
NA,"Hong Kong Special Administrative Region","Hong Kong Special Administrative Region","China",NA,2020-01-30,NA,"yes",NA,NA,"cross-border travel restricted. Passengers who have been in China (People's Rep.) in the past 14 days are not allowed to enter if their permitted stay in Hong Kong (SAR China) is less than 14 days. This does not apply to passengers with a Hong Kong (SAR China) passport. Passengers arriving from or having been in China (People's Rep.) or Korea (Rep.) in the past 14 days are subject to compulsory quarantine for 14 days.","https://www.bbc.com/news/world-asia-china-51279726",2020-02-08,"ARW",NA,NA,NA,NA
NA,"Hong Kong Special Administrative Region","Hong Kong Special Administrative Region","China",NA,2020-01-24,NA,NA,NA,NA,"Temperature of metro passengers at 55 stations","http://www.gov.cn/xinwen/2020-01/28/content_5472657.htm",2020-02-08,"ARW",NA,NA,NA,NA
NA,"Hong Kong Special Administrative Region","Hong Kong Special Administrative Region","China",NA,2020-01-26,NA,NA,NA,NA,"Non-coordinated thermal imaging in effect","http://www.gov.cn/xinwen/2020-01/28/content_5472657.htm",2020-02-08,"ARW",NA,NA,NA,NA
NA,"Hong Kong Special Administrative Region","Hong Kong Special Administrative Region","China",NA,2020-01-27,NA,NA,NA,NA,"Temperature of metro passengers at all 72 stations of Beijing-Hong Kong Line 4 + Daxing, 14, 16 implemented","http://www.gov.cn/xinwen/2020-01/28/content_5472657.htm",2020-02-08,"ARW",NA,NA,NA,NA
NA,"Hong Kong Special Administrative Region","Hong Kong Special Administrative Region","China",NA,2020-01-30,NA,NA,NA,NA,"six of 14 immigration checkpoints closed","https://www.chinadaily.com.cn/a/202001/28/WS5e302a93a3101282172737e0.html",2020-02-08,"ARW",NA,NA,NA,NA
NA,"Hong Kong Special Administrative Region","Hong Kong Special Administrative Region","China",NA,2020-01-27,NA,"yes",NA,NA,"Restrict Hubei residents and people who have visited Hubei Province in the past 14 days from entering Hong Kong","https://www.info.gov.hk/gia/general/202001/26/P2020012600751.htm",2020-03-30,"JW",NA,NA,NA,NA
NA,"Hong Kong Special Administrative Region","Hong Kong Special Administrative Region","China",NA,2020-01-30,NA,NA,NA,NA,"Guangzhou-Shenzhen-Hong Kong Express Rail Line and Intercity Through Train rail line suspended; reduce cross boundary and shuttle buses; four local airlines reduce flights; cross-boundary ferry suspended","https://www.info.gov.hk/gia/general/202001/28/P2020012800727.htm",2020-03-30,"JW",NA,NA,NA,NA
"Enshi City","Hubei Province","Enshi Tujia and Miao Autonomous Prefecture","China",NA,2020-01-24,2020-03-25,"yes",NA,NA,"Indoor entertainment centers closed","https://www.channelnewsasia.com/news/asia/wuhan-virus-china-pneumonia-outbreak-city-shut-12320076",2020-02-08,"ARW","https://en.wikipedia.org/wiki/2020_Hubei_lockdowns#cite_note-gua-36","2020-04-15","TCO",NA
"Ezhou City","Hubei Province","Ezhou","China",NA,2020-01-23,2020-03-25,"yes",NA,NA,"closed in evening of January 23rd; 25 March Hubei lifts the lockdown outside of Wuhan, although people will still need to confirm their ""Green Code"" health classification, designated by Alipay's monitoring system,[ to travel.","https://www.straitstimes.com/asia/east-asia/china-locks-down-two-more-cities-huanggang-and-ezhou-after-wuhan",2020-02-08,"ARW","https://www.theguardian.com/world/2020/mar/24/china-to-lift-travel-restrictions-in-hubei-after-months-of-coronavirus-lockdown","2020-04-15","TCO",NA
"Huanggang city","Hubei Province","Huanggang","China",NA,2020-01-23,2020-03-25,"yes",NA,NA,"closed in evening of January 23rd; 25 March Hubei lifts the lockdown outside of Wuhan, although people will still need to confirm their ""Green Code"" health classification, designated by Alipay's monitoring system,[ to travel.","https://www.straitstimes.com/asia/east-asia/china-locks-down-two-more-cities-huanggang-and-ezhou-after-wuhan",2020-02-08,"ARW","https://www.theguardian.com/world/2020/mar/24/china-to-lift-travel-restrictions-in-hubei-after-months-of-coronavirus-lockdown","2020-04-15","TCO",NA
"Jingmen City","Hubei Province","Jingmen","China",NA,2020-01-24,2020-03-25,"yes",NA,NA,NA,"https://www.ettoday.net/news/20200210/1642382.htm",2020-02-10,"ARW","https://www.theguardian.com/world/2020/mar/24/china-to-lift-travel-restrictions-in-hubei-after-months-of-coronavirus-lockdown","2020-04-14","TCO",NA
"Qianjiang City","Hubei Province","Qianjiang","China",NA,2020-01-23,2020-03-25,"yes",NA,NA,"travel restrictions","https://www.ettoday.net/news/20200210/1642382.html ; https://www.cnn.com/asia/live-news/coronavirus-outbreak-hnk-intl-01-24-20/index.html",2020-02-08,"ARW","https://www.theguardian.com/world/2020/mar/24/china-to-lift-travel-restrictions-in-hubei-after-months-of-coronavirus-lockdown","2020-04-15","TCO",NA
"Suizhou City","Hubei Province","Suizhou","China",NA,2020-01-25,2020-03-25,"yes",NA,NA,"travel restrictions; alternative source lists 1/25/20","https://www.cnn.com/asia/live-news/coronavirus-outbreak-hnk-intl-01-24-20/index.html",2020-02-08,"ARW","https://www.theguardian.com/world/2020/mar/24/china-to-lift-travel-restrictions-in-hubei-after-months-of-coronavirus-lockdown","2020-04-15","TCO",NA
"Tianmen City","Hubei Province","Tianmen","China",NA,2020-01-23,2020-03-25,"yes",NA,NA,"closed in evening of January 23rd; 25 March Hubei lifts the lockdown outside of Wuhan, although people will still need to confirm their ""Green Code"" health classification, designated by Alipay's monitoring system,[ to travel.","https://www.ettoday.net/news/20200210/1642382.htm",2020-02-10,"ARW","https://www.theguardian.com/world/2020/mar/24/china-to-lift-travel-restrictions-in-hubei-after-months-of-coronavirus-lockdown","2020-04-15","TCO",NA
"Wuhan City","Hubei Province","Wuhan","China",NA,2020-01-23,2020-04-08,"yes",NA,NA,"placed under effective quarantine as air and rail departures were suspended.","https://www.straitstimes.com/asia/east-asia/china-locks-down-two-more-cities-huanggang-and-ezhou-after-wuhan",2020-02-08,"ARW","https://www.bloomberg.com/news/articles/2020-03-24/china-to-lift-lockdown-over-virus-epicenter-wuhan-on-april-8","2020-04-08","TCO",NA
"Chibi City","Hubei Province","Xianning","China",NA,2020-01-23,2020-03-25,"yes",NA,NA,"quarantine","https://www.straitstimes.com/asia/east-asia/china-locks-down-two-more-cities-huanggang-and-ezhou-after-wuhan",2020-02-08,"ARW","https://www.theguardian.com/world/2020/mar/24/china-to-lift-travel-restrictions-in-hubei-after-months-of-coronavirus-lockdown","2020-04-15","TCO",NA
"Shiyan City","Hubei Province","Shiyan","China",NA,2020-01-24,2020-03-25,"yes",NA,NA,NA,"https://www.ettoday.net/news/20200210/1642382.htm",2020-04-15,"TCO","https://www.theguardian.com/world/2020/mar/24/china-to-lift-travel-restrictions-in-hubei-after-months-of-coronavirus-lockdown","2020-04-15","TCO",NA
"Xianning City","Hubei Province","Xianning","China",NA,2020-01-24,2020-03-25,"yes",NA,NA,"travel restrictions; buses suspended","https://www.cnn.com/asia/live-news/coronavirus-outbreak-hnk-intl-01-24-20/index.html",2020-02-08,"ARW","https://www.theguardian.com/world/2020/mar/24/china-to-lift-travel-restrictions-in-hubei-after-months-of-coronavirus-lockdown","2020-04-15","TCO",NA
"Xiantao","Hubei Province","Xiantao","China",NA,2020-01-23,2020-03-25,"yes",NA,NA,"quarantine","https://www.channelnewsasia.com/news/asia/wuhan-virus-china-pneumonia-outbreak-city-shut-12320076 ; https://www.ettoday.net/news/20200210/1642382.html",2020-02-08,"ARW","https://www.theguardian.com/world/2020/mar/24/china-to-lift-travel-restrictions-in-hubei-after-months-of-coronavirus-lockdown","2020-04-15","TCO",NA
"Zhijang","Hubei Province","Yichang","China",NA,2020-01-24,2020-03-25,"yes",NA,NA,"travel restrictions; public spaces closed","https://www.cnn.com/asia/live-news/coronavirus-outbreak-hnk-intl-01-24-20/index.html",2020-02-08,"ARW","https://www.theguardian.com/world/2020/mar/24/china-to-lift-travel-restrictions-in-hubei-after-months-of-coronavirus-lockdown","2020-04-15","TCO",NA
"Yichang City","Hubei Province","Yichang","China",NA,2020-01-24,2020-03-25,"yes",NA,NA,NA,"https://www.ettoday.net/news/20200210/1642382.htm",2020-02-10,"ARW","https://www.theguardian.com/world/2020/mar/24/china-to-lift-travel-restrictions-in-hubei-after-months-of-coronavirus-lockdown","2020-04-15","TCO",NA
"Dangyang City","Hubei Province","Yichang","China",NA,2020-01-24,2020-03-25,"yes",NA,NA,NA,"https://www.ettoday.net/news/20200210/1642382.htm",2020-02-10,"ARW","https://www.theguardian.com/world/2020/mar/24/china-to-lift-travel-restrictions-in-hubei-after-months-of-coronavirus-lockdown","2020-04-15","TCO",NA
