"","location","State_Code","date_time_accessed","WeekStart","state_weekly_cases","national_weekly_cases","national_weekly_deaths","national_weekly_rec","epiweek"
"115","Illinois","IL",2020-03-19 19:28:58,2020-02-02,0,12,0,0,6
"116","Illinois","IL",2020-03-19 19:28:58,2020-02-16,0,14,0,0,8
"117","Illinois","IL",2020-03-19 19:28:58,2020-02-23,1,24,1,0,9
"118","Illinois","IL",2020-03-19 19:28:58,2020-03-01,3,353,19,0,10
"119","Illinois","IL",2020-03-19 19:28:58,2020-03-08,58,2825,56,0,11
"120","Illinois","IL",2020-03-19 19:28:58,2020-03-15,358,11855,170,0,12
"121","Indiana","IN",2020-03-19 19:28:58,2020-01-19,0,3,0,0,4
"122","Indiana","IN",2020-03-19 19:28:58,2020-01-26,0,8,0,0,5
"123","Indiana","IN",2020-03-19 19:28:58,2020-02-02,0,12,0,0,6
"124","Indiana","IN",2020-03-19 19:28:58,2020-02-16,0,14,0,0,8
"125","Indiana","IN",2020-03-19 19:28:58,2020-02-23,0,24,1,0,9
"126","Indiana","IN",2020-03-19 19:28:58,2020-03-01,2,353,19,0,10
"127","Indiana","IN",2020-03-19 19:28:58,2020-03-08,17,2825,56,0,11
"128","Indiana","IN",2020-03-19 19:28:58,2020-03-15,37,11855,170,0,12
"129","Iowa","IA",2020-03-19 19:28:58,2020-01-19,0,3,0,0,4
"130","Iowa","IA",2020-03-19 19:28:58,2020-01-26,0,8,0,0,5
"131","Iowa","IA",2020-03-19 19:28:58,2020-02-02,0,12,0,0,6
"132","Iowa","IA",2020-03-19 19:28:58,2020-02-16,0,14,0,0,8
"133","Iowa","IA",2020-03-19 19:28:58,2020-02-23,0,24,1,0,9
"134","Iowa","IA",2020-03-19 19:28:58,2020-03-01,0,353,19,0,10
"135","Iowa","IA",2020-03-19 19:28:58,2020-03-08,18,2825,56,0,11
"136","Iowa","IA",2020-03-19 19:28:58,2020-03-15,26,11855,170,0,12
"137","Kansas","KS",2020-03-19 19:28:58,2020-01-19,0,3,0,0,4
"138","Kansas","KS",2020-03-19 19:28:58,2020-01-26,0,8,0,0,5
"139","Kansas","KS",2020-03-19 19:28:58,2020-02-02,0,12,0,0,6
"140","Kansas","KS",2020-03-19 19:28:58,2020-02-16,0,14,0,0,8
"141","Kansas","KS",2020-03-19 19:28:58,2020-02-23,0,24,1,0,9
