"sex","county name","cases","deaths","confirmed_case_hospitalization"
"Female","Seminole","656","11","54"
"Male","Seminole","560","12","42"
"Unknown","Seminole","5","0","0"
"Female","Spalding","3796","138","369"
"Male","Spalding","3152","142","297"
"Unknown","Spalding","24","0","0"
"Female","Stephens","2558","57","188"
"Male","Stephens","2042","54","169"
"Unknown","Stephens","16","0","0"
"Female","Stewart","390","10","33"
"Male","Stewart","975","19","107"
"Unknown","Stewart","36","0","0"
"Female","Sumter","1583","56","190"
"Male","Sumter","1242","71","185"
"Unknown","Sumter","7","0","0"
"Female","Talbot","324","10","27"
"Male","Talbot","266","18","34"
"Unknown","Talbot","2","0","0"
"Female","Taliaferro","69","0","2"
"Male","Taliaferro","59","3","11"
"Unknown","Taliaferro","1","0","0"
"Female","Tattnall","1385","38","73"
"Male","Tattnall","1320","35","85"
"Unknown","Tattnall","2","0","0"
"Female","Taylor","424","17","50"
"Male","Taylor","335","16","47"
"Unknown","Taylor","9","0","0"
"Female","Telfair","473","23","37"
"Male","Telfair","477","32","53"
"Unknown","Telfair","19","0","0"
"Female","Terrell","486","31","86"
"Male","Terrell","333","25","70"
"Unknown","Terrell","9","0","0"
"Female","Thomas","3446","90","286"
"Male","Thomas","2607","72","257"
"Unknown","Thomas","19","1","1"
"Female","Tift","2695","65","298"
"Male","Tift","2169","75","227"
"Unknown","Tift","32","0","0"
"Female","Toombs","2463","78","129"
"Male","Toombs","1954","76","139"
"Unknown","Toombs","7","0","0"
"Female","Towns","883","36","98"
"Male","Towns","677","32","85"
"Unknown","Towns","18","0","1"
"Female","Treutlen","474","25","30"
"Male","Treutlen","412","20","33"
"Unknown","Treutlen","6","0","0"
"Female","Troup","4805","142","346"
"Male","Troup","3794","128","300"
"Unknown","Troup","42","0","1"
"Female","Turner","455","16","58"
"Male","Turner","356","24","56"
"Unknown","Turner","5","0","0"
"Female","Twiggs","394","18","59"
"Male","Twiggs","363","31","77"
"Unknown","Twiggs","3","0","0"
"Female","Union","1767","57","153"
"Male","Union","1425","63","184"
"Unknown","Union","12","0","0"
"Female","Unknown","935","2","17"
"Male","Unknown","1229","3","31"
"Unknown","Unknown","547","0","9"
"Female","Upson","1563","71","138"
"Male","Upson","1187","70","116"
"Unknown","Upson","10","0","0"
"Female","Walker","5232","73","189"
"Male","Walker","4562","51","185"
"Unknown","Walker","74","2","3"
"Female","Walton","6253","156","497"
"Male","Walton","5012","164","434"
"Unknown","Walton","73","0","0"
"Female","Ware","2531","111","274"
"Male","Ware","2010","96","276"
"Unknown","Ware","26","1","1"
