"age group","county name","cases","deaths","hospitalization"
"18-29 years","Candler","103","0","0"
"30-39 years","Candler","81","0","3"
"40-49 years","Candler","95","2","1"
"50-59 years","Candler","100","5","8"
"60-69 years","Candler","75","7","13"
"70-79 years","Candler","44","10","13"
"80 & Older years","Candler","18","3","8"
"<1 years","Candler","2","0","0"
"Unknown years","Candler","3","0","0"
"01-04 years","Carroll","57","0","1"
"05-09 years","Carroll","63","0","1"
"10-17 years","Carroll","319","0","3"
"18-29 years","Carroll","1084","0","8"
"30-39 years","Carroll","605","4","16"
"40-49 years","Carroll","601","4","22"
"50-59 years","Carroll","612","8","46"
"60-69 years","Carroll","451","14","53"
"70-79 years","Carroll","256","25","48"
"80 & Older years","Carroll","175","31","31"
"<1 years","Carroll","17","0","0"
"Unknown years","Carroll","31","0","0"
"01-04 years","Catoosa","35","0","0"
"05-09 years","Catoosa","41","0","0"
"10-17 years","Catoosa","211","0","1"
"18-29 years","Catoosa","413","0","5"
"30-39 years","Catoosa","304","0","3"
"40-49 years","Catoosa","362","1","10"
"50-59 years","Catoosa","321","5","11"
"60-69 years","Catoosa","246","4","29"
"70-79 years","Catoosa","152","10","25"
"80 & Older years","Catoosa","105","9","17"
"<1 years","Catoosa","9","0","0"
"Unknown years","Catoosa","25","0","0"
"01-04 years","Charlton","10","0","0"
"05-09 years","Charlton","16","0","0"
"10-17 years","Charlton","28","0","0"
"18-29 years","Charlton","132","0","1"
"30-39 years","Charlton","154","0","2"
"40-49 years","Charlton","135","2","8"
"50-59 years","Charlton","104","0","3"
"60-69 years","Charlton","91","3","10"
"70-79 years","Charlton","28","4","7"
"80 & Older years","Charlton","14","2","7"
"<1 years","Charlton","2","0","0"
"Unknown years","Charlton","3","0","0"
"01-04 years","Chatham","180","0","0"
"05-09 years","Chatham","200","1","0"
"10-17 years","Chatham","658","0","11"
"18-29 years","Chatham","2975","2","40"
"30-39 years","Chatham","1941","4","80"
"40-49 years","Chatham","1470","8","98"
"50-59 years","Chatham","1398","21","155"
"60-69 years","Chatham","1067","42","199"
"70-79 years","Chatham","564","52","182"
"80 & Older years","Chatham","375","74","150"
"<1 years","Chatham","42","0","3"
"Unknown years","Chatham","70","0","2"
"01-04 years","Chattahoochee","3","0","0"
"05-09 years","Chattahoochee","2","0","0"
"10-17 years","Chattahoochee","94","0","1"
"18-29 years","Chattahoochee","1702","0","1"
"30-39 years","Chattahoochee","145","0","1"
"40-49 years","Chattahoochee","34","0","0"
"50-59 years","Chattahoochee","18","0","5"
"60-69 years","Chattahoochee","10","0","3"
"70-79 years","Chattahoochee","5","0","2"
"80 & Older years","Chattahoochee","4","1","3"
"<1 years","Chattahoochee","7","0","0"
"Unknown years","Chattahoochee","1","0","0"
"01-04 years","Chattooga","6","0","0"
"05-09 years","Chattooga","13","0","0"
"10-17 years","Chattooga","93","0","0"
"18-29 years","Chattooga","193","0","2"
"30-39 years","Chattooga","174","0","5"
"40-49 years","Chattooga","184","1","6"
"50-59 years","Chattooga","181","2","9"
"60-69 years","Chattooga","152","7","23"
"70-79 years","Chattooga","91","8","21"
"80 & Older years","Chattooga","72","14","18"
"<1 years","Chattooga","3","0","1"
"Unknown years","Chattooga","9","0","1"
"01-04 years","Cherokee","94","0","5"
"05-09 years","Cherokee","196","0","3"
"10-17 years","Cherokee","993","0","5"
"18-29 years","Cherokee","2202","1","46"
"30-39 years","Cherokee","1402","1","63"
"40-49 years","Cherokee","1569","2","78"
"50-59 years","Cherokee","1573","9","110"
"60-69 years","Cherokee","838","17","108"
"70-79 years","Cherokee","503","27","110"
"80 & Older years","Cherokee","311","57","112"
"<1 years","Cherokee","24","0","0"
"Unknown years","Cherokee","34","0","0"
"01-04 years","Clarke","73","0","0"
"05-09 years","Clarke","95","0","1"
"10-17 years","Clarke","283","0","4"
"18-29 years","Clarke","3915","0","19"
"30-39 years","Clarke","798","1","25"
"40-49 years","Clarke","595","1","28"
"50-59 years","Clarke","543","4","40"
"60-69 years","Clarke","382","12","64"
"70-79 years","Clarke","193","21","68"
"80 & Older years","Clarke","114","16","34"
"<1 years","Clarke","19","0","1"
"Unknown years","Clarke","27","0","0"
"01-04 years","Clay","1","0","0"
"05-09 years","Clay","2","0","0"
"10-17 years","Clay","10","0","0"
"18-29 years","Clay","22","0","0"
"30-39 years","Clay","22","0","1"
"40-49 years","Clay","20","0","0"
"50-59 years","Clay","16","0","1"
"60-69 years","Clay","16","1","2"
"70-79 years","Clay","7","0","0"
"80 & Older years","Clay","11","2","5"
"01-04 years","Clayton","162","0","5"
"05-09 years","Clayton","213","0","4"
"10-17 years","Clayton","560","0","14"
"18-29 years","Clayton","2324","3","64"
"30-39 years","Clayton","1997","6","96"
"40-49 years","Clayton","1726","19","125"
"50-59 years","Clayton","1604","27","170"
"60-69 years","Clayton","1036","50","155"
"70-79 years","Clayton","444","42","94"
"80 & Older years","Clayton","245","51","61"
"<1 years","Clayton","31","0","1"
"Unknown years","Clayton","23","0","0"
"01-04 years","Clinch","9","0","0"
"05-09 years","Clinch","10","0","0"
"10-17 years","Clinch","58","0","0"
"18-29 years","Clinch","95","0","2"
"30-39 years","Clinch","68","1","4"
"40-49 years","Clinch","70","0","2"
"50-59 years","Clinch","66","0","8"
"60-69 years","Clinch","72","6","9"
"70-79 years","Clinch","32","6","10"
"80 & Older years","Clinch","13","0","2"
"<1 years","Clinch","1","0","0"
"Unknown years","Clinch","1","0","0"
"01-04 years","Cobb","287","1","10"
"05-09 years","Cobb","415","0","3"
"10-17 years","Cobb","1472","0","19"
"18-29 years","Cobb","7730","4","180"
"30-39 years","Cobb","4734","10","199"
"40-49 years","Cobb","4397","20","319"
"50-59 years","Cobb","3888","30","413"
"60-69 years","Cobb","2357","74","401"
"70-79 years","Cobb","1340","153","344"
"80 & Older years","Cobb","900","210","301"
"<1 years","Cobb","86","0","7"
"Unknown years","Cobb","343","0","2"
"01-04 years","Coffee","45","0","2"
"05-09 years","Coffee","53","0","3"
"10-17 years","Coffee","163","0","2"
"18-29 years","Coffee","530","0","12"
"30-39 years","Coffee","409","2","22"
"40-49 years","Coffee","442","2","52"
"50-59 years","Coffee","430","4","74"
"60-69 years","Coffee","366","18","89"
"70-79 years","Coffee","178","21","70"
"80 & Older years","Coffee","104","25","57"
"<1 years","Coffee","8","0","0"
"Unknown years","Coffee","36","0","0"
"01-04 years","Colquitt","31","0","0"
"05-09 years","Colquitt","55","0","1"
"10-17 years","Colquitt","202","0","4"
"18-29 years","Colquitt","520","0","16"
"30-39 years","Colquitt","370","0","16"
"40-49 years","Colquitt","368","4","32"
"50-59 years","Colquitt","316","10","29"
"60-69 years","Colquitt","225","11","31"
"70-79 years","Colquitt","116","6","31"
"80 & Older years","Colquitt","69","12","19"
"<1 years","Colquitt","10","0","0"
"Unknown years","Colquitt","19","0","0"
"01-04 years","Columbia","42","0","1"
"05-09 years","Columbia","104","0","0"
"10-17 years","Columbia","492","0","1"
"18-29 years","Columbia","1258","0","11"
"30-39 years","Columbia","996","2","13"
"40-49 years","Columbia","987","5","27"
"50-59 years","Columbia","841","11","48"
"60-69 years","Columbia","509","9","53"
"70-79 years","Columbia","277","22","40"
"80 & Older years","Columbia","156","26","43"
"<1 years","Columbia","16","0","1"
