"province","date_recovered","recovered","cumulative_recovered"
"BC",2020-03-09,0,4
"BC",2020-03-10,0,4
"BC",2020-03-11,0,4
"BC",2020-03-12,0,4
"BC",2020-03-13,1,5
"BC",2020-03-14,0,5
"BC",2020-03-15,0,5
"BC",2020-03-16,0,5
"BC",2020-03-17,0,5
"BC",2020-03-18,0,5
"BC",2020-03-19,0,5
"BC",2020-03-20,1,6
"BC",2020-03-21,0,6
"BC",2020-03-22,0,6
"BC",2020-03-23,94,100
"BC",2020-03-24,73,173
"BC",2020-03-25,10,183
"BC",2020-03-26,3,186
"BC",2020-03-27,89,275
"BC",2020-03-28,121,396
"BC",2020-03-29,0,396
"BC",2020-03-30,73,469
"BC",2020-03-31,38,507
"BC",2020-04-01,99,606
"BC",2020-04-02,35,641
"BC",2020-04-03,32,673
"BC",2020-04-04,31,704
"BC",2020-04-05,0,704
"BC",2020-04-06,79,783
"BC",2020-04-07,22,805
"BC",2020-04-08,33,838
"BC",2020-04-09,20,858
"BC",2020-04-10,21,879
"BC",2020-04-11,26,905
"BC",2020-04-12,0,905
"BC",2020-04-13,21,926
"BC",2020-04-14,16,942
"BC",2020-04-15,13,955
"BC",2020-04-16,11,966
"BC",2020-04-17,0,966
"BC",2020-04-18,21,987
"BC",2020-04-19,0,987
"BC",2020-04-20,52,1039
"BC",2020-04-21,2,1041
"BC",2020-04-22,38,1079
"BC",2020-04-23,13,1092
"BC",2020-04-24,22,1114
"BC",2020-04-25,23,1137
"BC",2020-04-26,0,1137
"BC",2020-04-27,53,1190
"BC",2020-04-28,41,1231
"BC",2020-04-29,74,1305
"BC",2020-04-30,17,1322
"BC",2020-05-01,35,1357
"BC",2020-05-02,19,1376
"BC",2020-05-03,0,1376
"BC",2020-05-04,41,1417
"BC",2020-05-05,55,1472
"BC",2020-05-06,22,1494
"BC",2020-05-07,18,1512
"BC",2020-05-08,67,1579
"BC",2020-05-09,80,1659
"BC",2020-05-10,0,1659
"BC",2020-05-11,60,1719
"BC",2020-05-12,113,1832
"BC",2020-05-13,27,1859
"BC",2020-05-14,26,1885
"BC",2020-05-15,23,1908
"BC",2020-05-16,24,1932
"BC",2020-05-17,0,1932
"BC",2020-05-18,34,1966
"BC",2020-05-19,9,1975
"BC",2020-05-20,26,2001
"BC",2020-05-21,19,2020
"BC",2020-05-22,22,2042
"BC",2020-05-23,15,2057
"BC",2020-05-24,0,2057
"BC",2020-05-25,45,2102
"BC",2020-05-26,20,2122
"BC",2020-05-27,22,2144
"BC",2020-05-28,9,2153
"BC",2020-05-29,17,2170
"BC",2020-05-30,11,2181
"BC",2020-05-31,0,2181
"BC",2020-06-01,26,2207
"BC",2020-06-02,22,2229
"BC",2020-06-03,14,2243
"BC",2020-06-04,22,2265
"BC",2020-06-05,7,2272
"BC",2020-06-06,0,2272
"BC",2020-06-07,0,2272
"BC",2020-06-08,37,2309
"BC",2020-06-09,10,2319
"BC",2020-06-10,9,2328
"BC",2020-06-11,16,2344
"BC",2020-06-12,10,2354
"BC",2020-06-13,0,2354
"BC",2020-06-14,0,2354
"BC",2020-06-15,41,2395
"BC",2020-06-16,21,2416
"BC",2020-06-17,6,2422
"BC",2020-06-18,3,2425
"BC",2020-06-19,19,2444
"BC",2020-06-20,0,2444
"BC",2020-06-21,0,2444
"BC",2020-06-22,27,2471
"BC",2020-06-23,20,2491
"BC",2020-06-24,25,2516
"BC",2020-06-25,1,2517
"BC",2020-06-26,28,2545
"BC",2020-06-27,0,2545
"BC",2020-06-28,0,2545
"BC",2020-06-29,32,2577
"BC",2020-06-30,13,2590
"BC",2020-07-01,0,2590
"BC",2020-07-02,13,2603
"BC",2020-07-03,5,2608
"BC",2020-07-04,0,2608
"BC",2020-07-05,0,2608
"BC",2020-07-06,21,2629
"BC",2020-07-07,16,2645
"BC",2020-07-08,15,2660
"BC",2020-07-09,7,2667
"BC",2020-07-10,12,2679
"BC",2020-07-11,0,2679
"BC",2020-07-12,0,2679
"BC",2020-07-13,39,2718
"BC",2020-07-14,12,2730
"BC",2020-07-15,23,2753
"BC",2020-07-16,36,2789
"BC",2020-07-17,13,2802
"BC",2020-07-18,0,2802
"BC",2020-07-19,0,2802
"BC",2020-07-20,56,2858
"BC",2020-07-21,15,2873
"BC",2020-07-22,15,2888
"BC",2020-07-23,10,2898
"BC",2020-07-24,36,2934
"BC",2020-07-25,0,2934
"BC",2020-07-26,0,2934
"BC",2020-07-27,109,3043
"BC",2020-07-28,33,3076
"BC",2020-07-29,33,3109
"BC",2020-07-30,46,3155
"BC",2020-07-31,13,3168
"BC",2020-08-01,0,3168
"BC",2020-08-02,0,3168
"BC",2020-08-03,0,3168
"BC",2020-08-04,105,3273
"BC",2020-08-05,15,3288
"BC",2020-08-06,27,3315
"BC",2020-08-07,38,3353
"BC",2020-08-08,0,3353
"BC",2020-08-09,0,3353
"BC",2020-08-10,72,3425
"BC",2020-08-11,19,3444
"BC",2020-08-12,25,3469
"BC",2020-08-13,31,3500
"BC",2020-08-14,33,3533
"BC",2020-08-15,0,3533
"BC",2020-08-16,0,3533
"BC",2020-08-17,120,3653
"BC",2020-08-18,51,3704
"BC",2020-08-19,45,3749
"BC",2020-08-20,96,3845
"BC",2020-08-21,44,3889
"BC",2020-08-22,0,3889
"BC",2020-08-23,0,3889
"BC",2020-08-24,179,4068
"BC",2020-08-25,46,4114
"BC",2020-08-26,85,4199
"BC",2020-08-27,54,4253
"BC",2020-08-28,57,4310
"BC",2020-08-29,0,4310
"BC",2020-08-30,0,4310
"BC",2020-08-31,96,4406
"BC",2020-09-01,99,4505
"BC",2020-09-02,100,4605
"BC",2020-09-03,39,4644
"BC",2020-09-04,62,4706
"BC",2020-09-05,0,4706
"BC",2020-09-06,0,4706
"BC",2020-09-07,0,4706
"BC",2020-09-08,272,4978
"BC",2020-09-09,108,5086
"BC",2020-09-10,104,5190
"BC",2020-09-11,83,5273
"BC",2020-09-12,0,5273
"BC",2020-09-13,0,5273
"BC",2020-09-14,173,5446
"BC",2020-09-15,102,5548
"BC",2020-09-16,98,5646
"BC",2020-09-17,73,5719
"BC",2020-09-18,78,5797
"BC",2020-09-19,0,5797
"BC",2020-09-20,0,5797
"BC",2020-09-21,175,5972
"BC",2020-09-22,617,6589
"BC",2020-09-23,180,6769
"BC",2020-09-24,148,6917
"BC",2020-09-25,119,7036
"BC",2020-09-26,0,7036
"BC",2020-09-27,0,7036
"BC",2020-09-28,310,7346
"BC",2020-09-29,139,7485
"BC",2020-09-30,106,7591
"BC",2020-10-01,104,7695
"BC",2020-10-02,118,7813
"BC",2020-10-03,0,7813
"BC",2020-10-04,0,7813
"BC",2020-10-05,302,8115
"BC",2020-10-06,69,8184
"BC",2020-10-07,112,8296
"BC",2020-10-08,102,8398
"BC",2020-10-09,104,8502
"BC",2020-10-10,0,8502
"BC",2020-10-11,0,8502
"BC",2020-10-12,0,8502
"BC",2020-10-13,472,8974
"BC",2020-10-14,138,9112
"BC",2020-10-15,145,9257
"BC",2020-10-16,130,9387
"BC",2020-10-17,0,9387
"BC",2020-10-18,0,9387
"BC",2020-10-19,366,9753
"BC",2020-10-20,118,9871
"BC",2020-10-21,122,9993
"BC",2020-10-22,121,10114
"BC",2020-10-23,133,10247
"BC",2020-10-24,0,10247
"BC",2020-10-25,0,10247
"BC",2020-10-26,487,10734
"BC",2020-10-27,220,10954
"BC",2020-10-28,290,11244
"BC",2020-10-29,204,11448
"BC",2020-10-30,222,11670
"BC",2020-10-31,0,11670
"BC",2020-11-01,0,11670
"BC",2020-11-02,537,12207
"BC",2020-11-03,223,12430
"BC",2020-11-04,229,12659
"BC",2020-11-05,147,12806
"BC",2020-11-06,229,13035
"BC",2020-11-07,0,13035
"BC",2020-11-08,0,13035
"BC",2020-11-09,390,13425
"BC",2020-11-10,279,13704
"BC",2020-11-11,0,13704
"BC",2020-11-12,385,14089
"BC",2020-11-13,812,14901
"BC",2020-11-14,0,14901
"BC",2020-11-15,0,14901
"BC",2020-11-16,1186,16087
"BC",2020-11-17,382,16469
"BC",2020-11-18,445,16914
