"","province","area_type","area_name","confirmedCount","currentConfirmedCount","suspectedCount","deadCount","curedCount","comment"
"107","广西壮族自治区","city","桂林","6",NA,"0","0","0",NA
"108","重庆市","city","梁平区","1",NA,"0","0","0",NA
"109","广西壮族自治区","city","梧州","1",NA,"0","0","0",NA
"110","湖北省","city","武汉","572",NA,"0","38","32",NA
"111","重庆市","city","永川区","3",NA,"0","0","0",NA
"112","湖南省","city","永州","4",NA,"0","0","0",NA
"113","广东省","city","汕头","1",NA,"0","0","0",NA
"114","安徽省","city","池州","1",NA,"0","0","0",NA
"115","辽宁省","city","沈阳","5",NA,"0","0","0",NA
"116","河北省","city","沧州","2",NA,"0","1","0",NA
"117","广西壮族自治区","city","河池","3",NA,"0","0","0",NA
"118","福建省","city","泉州","3",NA,"0","0","0",NA
"119","四川省","city","泸州","1",NA,"0","0","0",NA
"120","河南省","city","洛阳","1",NA,"0","0","0",NA
"121","山东省","city","济南","3",NA,"0","0","0",NA
"122","山东省","city","济宁","2",NA,"0","0","0",NA
"123","海南省","city","海口","3",NA,"0","0","0",NA
"124","北京市","city","海淀","8",NA,"0","0","0",NA
"125","重庆市","city","涪陵区","1",NA,"0","0","0",NA
"126","广东省","city","深圳","20",NA,"0","0","2",NA
"127","广东省","city","清远","2",NA,"0","0","0",NA
"128","重庆市","city","渝北区","2",NA,"0","0","0",NA
"129","浙江省","city","温州","10",NA,"0","0","1",NA
"130","湖南省","city","湘潭","2",NA,"0","0","0",NA
"131","广东省","city","湛江","2",NA,"0","0","0",NA
"132","安徽省","city","滁州","2",NA,"0","0","0",NA
"133","内蒙古自治区","city","满洲里","1",NA,"0","0","0",NA
"134","山东省","city","滨州","1",NA,"0","0","0",NA
"135","福建省","city","漳州","3",NA,"0","0","0",NA
"136","山东省","city","潍坊","1",NA,"0","0","0",NA
"137","山东省","city","烟台","2",NA,"0","0","0",NA
"138","黑龙江省","city","牡丹江","1",NA,"0","0","0",NA
"139","广西壮族自治区","city","玉林","1",NA,"0","0","0",NA
"140","云南省","city","玉溪","1",NA,"0","0","0",NA
"141","广东省","city","珠海","10",NA,"0","0","0",NA
"142","重庆市","city","璧山区","2",NA,"0","0","0",NA
"143","甘肃省","city","白银","1",NA,"0","0","0",NA
"144","广西壮族自治区","city","百色","1",NA,"0","0","0",NA
"145","湖南省","city","益阳","4",NA,"0","0","0",NA
"146","江苏省","city","盐城","1",NA,"0","0","0",NA
"147","河北省","city","石家庄","4",NA,"0","0","0",NA
"148","北京市","city","石景山","1",NA,"0","0","0",NA
"149","重庆市","city","石柱县","3",NA,"0","0","0",NA
"150","福建省","city","福州","6",NA,"0","0","0",NA
"151","重庆市","city","秀山县","1",NA,"0","0","0",NA
"152","湖南省","city","娄底","5",NA,"0","0","0",NA
"153","云南省","city","红河","1",NA,"0","0","0",NA
"154","浙江省","city","绍兴","4",NA,"0","0","0",NA
"155","黑龙江省","city","绥化","1",NA,"0","1","0",NA
"156","四川省","city","绵阳","2",NA,"0","0","0",NA
"157","山东省","city","聊城","1",NA,"0","0","0",NA
"158","广东省","city","肇庆","2",NA,"0","0","0",NA
"159","四川省","city","自贡","1",NA,"0","0","0",NA
"160","浙江省","city","舟山","2",NA,"0","0","0",NA
"161","安徽省","city","芜湖","1",NA,"0","0","0",NA
"162","江苏省","city","苏州","3",NA,"0","0","1",NA
"163","湖北省","city","荆州","10",NA,"0","0","0",NA
"164","湖北省","city","荆门","21",NA,"0","0","0",NA
"165","山东省","city","菏泽","1",NA,"0","0","0",NA
"166","江西省","city","萍乡","1",NA,"0","0","0",NA
"167","辽宁省","city","营口","1",NA,"0","0","0",NA
"168","辽宁省","city","葫芦岛","2",NA,"0","0","0",NA
"169","安徽省","city","蚌埠","1",NA,"0","0","0",NA
"170","湖南省","city","衡阳","3",NA,"0","0","0",NA
"171","浙江省","city","衢州","2",NA,"0","0","0",NA
"172","湖北省","city","襄阳","1",NA,"0","0","0",NA
"173","云南省","city","西双版纳州","1",NA,"0","0","0",NA
"174","北京市","city","西城","4",NA,"0","0","0",NA
"175","青海省","city","西宁","1",NA,"0","0","0",NA
"176","陕西省","city","西安","4",NA,"0","0","0",NA
"177","贵州省","city","贵阳","1",NA,"0","0","0",NA
"178","江西省","city","赣州","2",NA,"0","0","0",NA
"179","内蒙古自治区","city","赤峰","1",NA,"0","0","0",NA
"180","四川省","city","达州","1",NA,"0","0","0",NA
"181","山西省","city","运城","2",NA,"0","0","0",NA
"182","江苏省","city","连云港","1",NA,"0","0","0",NA
"183","北京市","city","通州","3",NA,"0","0","0",NA
"184","四川省","city","遂宁","2",NA,"0","0","0",NA
"185","湖南省","city","邵阳","2",NA,"0","0","0",NA
