"","X","ADM0_EN","ADM1_EN","ADM2_EN","confirmedCount","currentConfirmedCount","suspectedCount","deadCount","curedCount","DATE"
"110",175,"China","Hebei Province","Chengde",1,0,0,0,0,"2020-26JAN"
"111",176,"China","Hebei Province","Handan",2,0,0,0,0,"2020-26JAN"
"112",177,"China","Hebei Province","Hengshui",0,0,0,0,0,"2020-26JAN"
"113",178,"China","Hebei Province","Langfang",0,0,0,0,0,"2020-26JAN"
"114",179,"China","Hebei Province","Qinhuangdao",0,0,0,0,0,"2020-26JAN"
"115",180,"China","Hebei Province","Shijiazhuang",5,0,0,0,0,"2020-26JAN"
"116",181,"China","Hebei Province","Tangshan",0,0,0,0,0,"2020-26JAN"
"117",182,"China","Hebei Province","Xingtai",0,0,0,0,0,"2020-26JAN"
"118",183,"China","Hebei Province","Zhangjiakou",0,0,0,0,0,"2020-26JAN"
"119",184,"China","Heilongjiang Province","Daqing",3,0,0,0,0,"2020-26JAN"
"120",185,"China","Heilongjiang Province","Daxinganling Prefecture",0,0,0,0,0,"2020-26JAN"
"121",186,"China","Heilongjiang Province","Harbin",8,0,0,0,0,"2020-26JAN"
"122",187,"China","Heilongjiang Province","Hegang",0,0,0,0,0,"2020-26JAN"
"123",188,"China","Heilongjiang Province","Heihe",0,0,0,0,0,"2020-26JAN"
"124",189,"China","Heilongjiang Province","Jiamusi",1,0,0,0,0,"2020-26JAN"
"125",190,"China","Heilongjiang Province","Jixi",0,0,0,0,0,"2020-26JAN"
"126",191,"China","Heilongjiang Province","Mudanjiang",1,0,0,0,0,"2020-26JAN"
"127",192,"China","Heilongjiang Province","Qiqihar",1,0,0,0,0,"2020-26JAN"
"128",193,"China","Heilongjiang Province","Qitaihe",0,0,0,0,0,"2020-26JAN"
"129",194,"China","Heilongjiang Province","Shuangyashan",0,0,0,0,0,"2020-26JAN"
"130",195,"China","Heilongjiang Province","Suihua",2,0,0,1,0,"2020-26JAN"
"131",196,"China","Heilongjiang Province","Yichun",0,0,0,0,0,"2020-26JAN"
"132",197,"China","Henan Province","Anyang",3,0,0,0,0,"2020-26JAN"
"133",198,"China","Henan Province","Area to be identified",0,0,0,0,0,"2020-26JAN"
"134",199,"China","Henan Province","Hebi",0,0,0,0,0,"2020-26JAN"
"135",200,"China","Henan Province","Jiaozuo",0,0,0,0,0,"2020-26JAN"
"136",201,"China","Henan Province","Jiyuan",0,0,0,0,0,"2020-26JAN"
"137",202,"China","Henan Province","Kaifeng",0,0,0,0,0,"2020-26JAN"
"138",203,"China","Henan Province","Luohe",3,0,0,0,0,"2020-26JAN"
"139",204,"China","Henan Province","Luoyang",1,0,0,0,0,"2020-26JAN"
"140",205,"China","Henan Province","Nanyang",15,0,0,1,0,"2020-26JAN"
