"","X","ADM0_EN","ADM1_EN","ADM2_EN","confirmedCount","currentConfirmedCount","suspectedCount","deadCount","curedCount","DATE"
"124",189,"China","Heilongjiang Province","Jiamusi",5,0,0,0,0,"2020-29JAN"
"125",190,"China","Heilongjiang Province","Jixi",1,0,0,0,0,"2020-29JAN"
"126",191,"China","Heilongjiang Province","Mudanjiang",1,0,0,0,0,"2020-29JAN"
"127",192,"China","Heilongjiang Province","Qiqihar",3,0,0,0,0,"2020-29JAN"
"128",193,"China","Heilongjiang Province","Qitaihe",2,0,0,0,0,"2020-29JAN"
"129",194,"China","Heilongjiang Province","Shuangyashan",1,0,0,0,0,"2020-29JAN"
"130",195,"China","Heilongjiang Province","Suihua",8,0,0,1,0,"2020-29JAN"
"131",196,"China","Heilongjiang Province","Yichun",0,0,0,0,0,"2020-29JAN"
"132",197,"China","Henan Province","Anyang",14,0,0,0,0,"2020-29JAN"
"133",198,"China","Henan Province","Area to be identified",0,0,0,0,0,"2020-29JAN"
"134",199,"China","Henan Province","Hebi",5,0,0,0,0,"2020-29JAN"
"135",200,"China","Henan Province","Jiaozuo",2,0,0,0,0,"2020-29JAN"
"136",201,"China","Henan Province","Jiyuan",0,0,0,0,0,"2020-29JAN"
"137",202,"China","Henan Province","Kaifeng",3,0,0,0,0,"2020-29JAN"
"138",203,"China","Henan Province","Luohe",9,0,0,0,0,"2020-29JAN"
"139",204,"China","Henan Province","Luoyang",2,0,0,0,0,"2020-29JAN"
"140",205,"China","Henan Province","Nanyang",31,0,0,1,0,"2020-29JAN"
"141",206,"China","Henan Province","Pingdingshan",5,0,0,0,0,"2020-29JAN"
"142",207,"China","Henan Province","Puyang",1,0,0,0,0,"2020-29JAN"
"143",208,"China","Henan Province","Sanmenxia",4,0,0,0,0,"2020-29JAN"
"144",209,"China","Henan Province","Shangqiu",14,0,0,0,0,"2020-29JAN"
"145",210,"China","Henan Province","Xinxiang",7,0,0,0,0,"2020-29JAN"
"146",211,"China","Henan Province","Xinyang",32,0,0,0,0,"2020-29JAN"
"147",212,"China","Henan Province","Xuchang",2,0,0,0,0,"2020-29JAN"
"148",213,"China","Henan Province","Zhengzhou",80,0,0,0,0,"2020-29JAN"
"149",215,"China","Henan Province","Zhoukou",19,0,0,0,0,"2020-29JAN"
"150",216,"China","Henan Province","Zhumadian",16,0,0,0,0,"2020-29JAN"
"151",217,"China","Hong Kong Special Administrative Region","Hong Kong Special Administrative Region",0,0,0,0,0,"2020-29JAN"
"152",218,"China","Hubei Province","Enshi Tujia and Miao Autonomous Prefecture",51,0,0,0,0,"2020-29JAN"
"153",219,"China","Hubei Province","Ezhou",84,0,0,1,0,"2020-29JAN"
"154",220,"China","Hubei Province","Huanggang",324,0,0,5,2,"2020-29JAN"
"155",221,"China","Hubei Province","Huangshi",86,0,0,1,0,"2020-29JAN"
"156",222,"China","Hubei Province","Jingmen",142,0,0,4,0,"2020-29JAN"
"157",223,"China","Hubei Province","Jingzhou",101,0,0,2,1,"2020-29JAN"
"158",224,"China","Hubei Province","Qianjiang",8,0,0,1,0,"2020-29JAN"
"159",225,"China","Hubei Province","Shennongjia Forestry District",3,0,0,0,0,"2020-29JAN"
"160",227,"China","Hubei Province","Shiyan",88,0,0,0,0,"2020-29JAN"
"161",228,"China","Hubei Province","Suizhou",116,0,0,0,0,"2020-29JAN"
"162",229,"China","Hubei Province","Tianmen",34,0,0,3,0,"2020-29JAN"
"163",230,"China","Hubei Province","Wuhan",1905,0,0,104,55,"2020-29JAN"
"164",231,"China","Hubei Province","Xiangyang",131,0,0,0,0,"2020-29JAN"
"165",233,"China","Hubei Province","Xianning",112,0,0,0,0,"2020-29JAN"
"166",234,"China","Hubei Province","Xiantao",32,0,0,0,0,"2020-29JAN"
"167",235,"China","Hubei Province","Xiaogan",274,0,0,3,0,"2020-29JAN"
"168",236,"China","Hubei Province","Yichang",63,0,0,1,0,"2020-29JAN"
"169",237,"China","Hubei Province","Prison System",0,0,0,0,0,"2020-29JAN"
"170",238,"China","Hunan Province","Changde",26,0,0,0,0,"2020-29JAN"
"171",239,"China","Hunan Province","Changsha",46,0,0,0,0,"2020-29JAN"
"172",240,"China","Hunan Province","Chenzhou",7,0,0,0,0,"2020-29JAN"
"173",241,"China","Hunan Province","Hengyang",17,0,0,0,0,"2020-29JAN"
"174",242,"China","Hunan Province","Huaihua",18,0,0,0,0,"2020-29JAN"
"175",243,"China","Hunan Province","Loudi",13,0,0,0,0,"2020-29JAN"
"176",244,"China","Hunan Province","Shaoyang",19,0,0,0,0,"2020-29JAN"
"177",245,"China","Hunan Province","Xiangtan",8,0,0,0,0,"2020-29JAN"
"178",246,"China","Hunan Province","Xiangxi Tujia and Miao Autonomous Prefecture",3,0,0,0,0,"2020-29JAN"
"179",247,"China","Hunan Province","Yiyang",14,0,0,0,0,"2020-29JAN"
"180",248,"China","Hunan Province","Yongzhou",11,0,0,0,0,"2020-29JAN"
"181",249,"China","Hunan Province","Yueyang",26,0,0,0,0,"2020-29JAN"
"182",250,"China","Hunan Province","Zhangjiajie",0,0,0,0,0,"2020-29JAN"
"183",251,"China","Hunan Province","Zhuzhou",13,0,0,0,0,"2020-29JAN"
"184",252,"China","Inner Mongolia Autonomous Region","Alxa League",0,0,0,0,0,"2020-29JAN"
"185",253,"China","Inner Mongolia Autonomous Region","Baotou",3,0,0,0,0,"2020-29JAN"
"186",254,"China","Inner Mongolia Autonomous Region","Bayannur",1,0,0,0,0,"2020-29JAN"
"187",255,"China","Inner Mongolia Autonomous Region","Chifeng",2,0,0,0,0,"2020-29JAN"
"188",256,"China","Inner Mongolia Autonomous Region","Hinggan League",1,0,0,0,0,"2020-29JAN"
"189",257,"China","Inner Mongolia Autonomous Region","Hohhot",2,0,0,0,0,"2020-29JAN"
"190",258,"China","Inner Mongolia Autonomous Region","Hulunbuir",4,0,0,0,0,"2020-29JAN"
"191",260,"China","Inner Mongolia Autonomous Region","Ordos",2,0,0,0,0,"2020-29JAN"
"192",261,"China","Inner Mongolia Autonomous Region","Tongliao",1,0,0,0,0,"2020-29JAN"
"193",262,"China","Inner Mongolia Autonomous Region","Ulanqab",0,0,0,0,0,"2020-29JAN"
"194",263,"China","Inner Mongolia Autonomous Region","Wuhai",0,0,0,0,0,"2020-29JAN"
"195",264,"China","Inner Mongolia Autonomous Region","Xilingol League",2,0,0,0,0,"2020-29JAN"
"196",265,"China","Jiangsu Province","Changzhou",8,0,0,0,0,"2020-29JAN"
"197",266,"China","Jiangsu Province","Huai'an",3,0,0,0,0,"2020-29JAN"
"198",267,"China","Jiangsu Province","Lianyungang",3,0,0,0,0,"2020-29JAN"
"199",268,"China","Jiangsu Province","Nanjing",14,0,0,0,0,"2020-29JAN"
"200",269,"China","Jiangsu Province","Nantong",6,0,0,0,0,"2020-29JAN"
"201",270,"China","Jiangsu Province","Suqian",4,0,0,0,0,"2020-29JAN"
