"county_name","cases","county_id","State FIPS code","County FIPS code","population","confirmed_case_hospitalization","deaths","case rate","death rate","14 day case rate","14 day cases","antigen_cases","probable_deaths","antigen_case_hospitalization"
"Jefferson","2291","US-13163","13","163","15313","218","82","14961.14","535.49","71.83","11","1551","32","37"
"Jenkins","1122","US-13165","13","165","8576","107","46","13083.02","536.38","81.62","7","476","22","42"
"Johnson","1518","US-13167","13","167","9661","131","58","15712.66","600.35","186.32","18","833","17","23"
"Jones","3983","US-13169","13","169","28591","332","99","13930.96","346.26","265.82","76","1475","10","12"
"Lamar","3454","US-13171","13","171","19347","242","98","17852.9","506.54","263.61","51","1733","17","21"
"Lanier","1151","US-13173","13","173","10351","46","18","11119.7","173.9","173.9","18","1280","8","14"
"Laurens","9026","US-13175","13","175","47296","481","251","19084.07","530.7","323.49","153","5713","59","57"
"Lee","4117","US-13177","13","177","29971","376","94","13736.61","313.64","253.58","76","3736","12","9"
"Liberty","11993","US-13179","13","179","61904","422","108","19373.55","174.46","544.39","337","1490","45","27"
"Lincoln","881","US-13181","13","181","8125","87","29","10843.08","356.92","73.85","6","789","6","7"
"Long","2423","US-13183","13","183","19915","101","26","12166.71","130.55","321.37","64","582","9","7"
"Lowndes","16579","US-13185","13","185","117878","701","285","14064.54","241.78","347.82","410","17012","116","213"
"Lumpkin","7176","US-13187","13","187","33802","503","113","21229.51","334.3","541.39","183","591","20","3"
"Macon","1274","US-13193","13","193","12988","122","44","9809.05","338.77","184.79","24","1064","8","13"
"Madison","6244","US-13195","13","195","30177","471","100","20691.25","331.38","298.24","90","1037","13","6"
"Marion","1013","US-13197","13","197","8293","100","43","12215.12","518.51","217.05","18","638","8","9"
"McDuffie","3124","US-13189","13","189","21597","282","82","14464.97","379.68","175.95","38","2337","23","37"
