"","Date","Country","Fatalities"
"323","2020-01-15","Albania",0
"324","2020-01-15","Bulgaria",0
"325","2020-01-15","Panama",0
"326","2020-01-15","Morocco",0
"327","2020-01-15","Guyana",0
"328","2020-01-15","Ecuador",0
"329","2020-01-15","Denmark",0
"330","2020-01-15","Slovenia",0
"331","2020-01-15","Luxembourg",0
"332","2020-01-15","Hungary",0
"333","2020-01-15","Azerbaijan",0
"334","2020-01-15","Ukraine",0
"335","2020-01-15","Sudan",0
"336","2020-01-15","Guatemala",0
"337","2020-01-16","China",2
"338","2020-01-16","Philippines",0
"339","2020-01-16","Hong Kong",0
"340","2020-01-16","Japan",0
"341","2020-01-16","France",0
"342","2020-01-16","Taipei and environs",0
"343","2020-01-16","Iran",0
"344","2020-01-16","Diamond Princess",0
"345","2020-01-16","South Korea",0
"346","2020-01-16","Italy",0
"347","2020-01-16","US",0
"348","2020-01-16","Thailand",0
"349","2020-01-16","Australia",0
"350","2020-01-16","San Marino",0
"351","2020-01-16","Spain",0
"352","2020-01-16","Iraq",0
"353","2020-01-16","Switzerland",0
"354","2020-01-16","United Kingdom",0
"355","2020-01-16","Netherlands",0
"356","2020-01-16","Egypt",0
"357","2020-01-16","Argentina",0
"358","2020-01-16","Germany",0
"359","2020-01-16","Belgium",0
"360","2020-01-16","Lebanon",0
"361","2020-01-16","Algeria",0
"362","2020-01-16","Norway",0
"363","2020-01-16","Sweden",0
"364","2020-01-16","Austria",0
"365","2020-01-16","Canada",0
"366","2020-01-16","Greece",0
"367","2020-01-16","India",0
"368","2020-01-16","Ireland",0
"369","2020-01-16","Poland",0
"370","2020-01-16","Indonesia",0
"371","2020-01-16","Albania",0
"372","2020-01-16","Bulgaria",0
"373","2020-01-16","Panama",0
"374","2020-01-16","Morocco",0
"375","2020-01-16","Guyana",0
"376","2020-01-16","Ecuador",0
"377","2020-01-16","Denmark",0
"378","2020-01-16","Slovenia",0
"379","2020-01-16","Luxembourg",0
"380","2020-01-16","Hungary",0
"381","2020-01-16","Azerbaijan",0
"382","2020-01-16","Ukraine",0
"383","2020-01-16","Sudan",0
"384","2020-01-16","Guatemala",0
"385","2020-01-17","China",2
"386","2020-01-17","Philippines",0
"387","2020-01-17","Hong Kong",0
"388","2020-01-17","Japan",0
"389","2020-01-17","France",0
"390","2020-01-17","Taipei and environs",0
"391","2020-01-17","Iran",0
"392","2020-01-17","Diamond Princess",0
"393","2020-01-17","South Korea",0
"394","2020-01-17","Italy",0
"395","2020-01-17","US",0
"396","2020-01-17","Thailand",0
"397","2020-01-17","Australia",0
"398","2020-01-17","San Marino",0
"399","2020-01-17","Spain",0
"400","2020-01-17","Iraq",0
"401","2020-01-17","Switzerland",0
"402","2020-01-17","United Kingdom",0
"403","2020-01-17","Netherlands",0
"404","2020-01-17","Egypt",0
"405","2020-01-17","Argentina",0
"406","2020-01-17","Germany",0
"407","2020-01-17","Belgium",0
"408","2020-01-17","Lebanon",0
"409","2020-01-17","Algeria",0
"410","2020-01-17","Norway",0
"411","2020-01-17","Sweden",0
"412","2020-01-17","Austria",0
"413","2020-01-17","Canada",0
"414","2020-01-17","Greece",0
"415","2020-01-17","India",0
"416","2020-01-17","Ireland",0
"417","2020-01-17","Poland",0
"418","2020-01-17","Indonesia",0
"419","2020-01-17","Albania",0
"420","2020-01-17","Bulgaria",0
"421","2020-01-17","Panama",0
"422","2020-01-17","Morocco",0
"423","2020-01-17","Guyana",0
"424","2020-01-17","Ecuador",0
"425","2020-01-17","Denmark",0
"426","2020-01-17","Slovenia",0
"427","2020-01-17","Luxembourg",0
"428","2020-01-17","Hungary",0
"429","2020-01-17","Azerbaijan",0
"430","2020-01-17","Ukraine",0
"431","2020-01-17","Sudan",0
