"city_source","ADM2_source","ADM1_source","country_source","country_code_source","city_destination","ADM2_destination","ADM1_destination","country_destination","country_code_destination","travel_advisor","travel_advisor_type","travel_restriction_date","travel_restriction_date_end","strict_restrictions","notes","tr_source1","accessed_date1","who_by1","tr_source2","accessed_date2","who_by2"
NA,NA,NA,"Malaysia","MY",NA,NA,NA,"Japan","JP",NA,NA,2020-04-03,NA,"no non-residents allowed","Passengers who have been in Albania, Armenia, Australia, Bahrain, 
Bolivia, Bosnia and Herzegovina, Brazil, Brunei Darussalam, Bulgaria, 
Canada, Chile, China (People's Rep.), Chinese Taipei, Congo (Dem. Rep.),
 Cote d'Ivoire, Croatia, Cyprus, Czechia, Dominica, Ecuador, Egypt, 
Finland, Greece, Hong Kong (SAR China), Hungary, Israel, Indonesia, 
Korea (Rep.), Kosovo (Rep.), Latvia, Lithuania, Macao (SAR China), 
Malaysia, Mauritius, Moldova (Rep.), Morocco, Montenegro, New Zealand, 
North Macedonia, Panama, Philippines, Poland, Romania, Serbia, 
Singapore, Slovakia, Thailand, Turkey, USA, United Kingdom or Viet Nam 
in the past 14 days are not allowed to enter. Does not apply to naitonals of Japan.","https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm",2020-04-03,"TCO",NA,NA,NA
NA,NA,NA,"Malta","MT",NA,NA,NA,"Japan","JP",NA,NA,2020-03-27,NA,"no non-residents allowed","Passengers who have been in Andorra, Austria, Belgium, Denmark, Estonia, France, Germany, Iceland, Iran, Ireland (Rep.), Italy, Liechtenstein, Luxembourg, Malta, Monaco, Netherlands, Norway, Portugal, San Marino, Slovenia, Spain, Sweden, Switzerland or Vatican City (Holy See) in the past 14 days are not allowed to enter Japan.","https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm",2020-03-28,"TCO",NA,NA,NA
NA,NA,NA,"Mauritius","MU",NA,NA,NA,"Japan","JP",NA,NA,2020-04-03,NA,"no non-residents allowed","Passengers who have been in Albania, Armenia, Australia, Bahrain, 
Bolivia, Bosnia and Herzegovina, Brazil, Brunei Darussalam, Bulgaria, 
Canada, Chile, China (People's Rep.), Chinese Taipei, Congo (Dem. Rep.),
 Cote d'Ivoire, Croatia, Cyprus, Czechia, Dominica, Ecuador, Egypt, 
Finland, Greece, Hong Kong (SAR China), Hungary, Israel, Indonesia, 
Korea (Rep.), Kosovo (Rep.), Latvia, Lithuania, Macao (SAR China), 
Malaysia, Mauritius, Moldova (Rep.), Morocco, Montenegro, New Zealand, 
North Macedonia, Panama, Philippines, Poland, Romania, Serbia, 
Singapore, Slovakia, Thailand, Turkey, USA, United Kingdom or Viet Nam 
in the past 14 days are not allowed to enter. Does not apply to naitonals of Japan.","https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm",2020-04-03,"TCO",NA,NA,NA
NA,NA,NA,"Moldova","MD",NA,NA,NA,"Japan","JP",NA,NA,2020-04-03,NA,"no non-residents allowed","Passengers who have been in Albania, Armenia, Australia, Bahrain, 
Bolivia, Bosnia and Herzegovina, Brazil, Brunei Darussalam, Bulgaria, 
Canada, Chile, China (People's Rep.), Chinese Taipei, Congo (Dem. Rep.),
 Cote d'Ivoire, Croatia, Cyprus, Czechia, Dominica, Ecuador, Egypt, 
Finland, Greece, Hong Kong (SAR China), Hungary, Israel, Indonesia, 
Korea (Rep.), Kosovo (Rep.), Latvia, Lithuania, Macao (SAR China), 
Malaysia, Mauritius, Moldova (Rep.), Morocco, Montenegro, New Zealand, 
North Macedonia, Panama, Philippines, Poland, Romania, Serbia, 
Singapore, Slovakia, Thailand, Turkey, USA, United Kingdom or Viet Nam 
in the past 14 days are not allowed to enter. Does not apply to naitonals of Japan.","https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm",2020-04-03,"TCO",NA,NA,NA
NA,NA,NA,"Monaco","MC",NA,NA,NA,"Japan","JP",NA,NA,2020-03-27,NA,"no non-residents allowed","Passengers who have been in Andorra, Austria, Belgium, Denmark, Estonia, France, Germany, Iceland, Iran, Ireland (Rep.), Italy, Liechtenstein, Luxembourg, Malta, Monaco, Netherlands, Norway, Portugal, San Marino, Slovenia, Spain, Sweden, Switzerland or Vatican City (Holy See) in the past 14 days are not allowed to enter Japan.","https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm",2020-03-28,"TCO",NA,NA,NA
NA,NA,NA,"Morocco","MA",NA,NA,NA,"Japan","JP",NA,NA,2020-04-03,NA,"no non-residents allowed","Passengers who have been in Albania, Armenia, Australia, Bahrain, 
Bolivia, Bosnia and Herzegovina, Brazil, Brunei Darussalam, Bulgaria, 
Canada, Chile, China (People's Rep.), Chinese Taipei, Congo (Dem. Rep.),
 Cote d'Ivoire, Croatia, Cyprus, Czechia, Dominica, Ecuador, Egypt, 
Finland, Greece, Hong Kong (SAR China), Hungary, Israel, Indonesia, 
Korea (Rep.), Kosovo (Rep.), Latvia, Lithuania, Macao (SAR China), 
Malaysia, Mauritius, Moldova (Rep.), Morocco, Montenegro, New Zealand, 
North Macedonia, Panama, Philippines, Poland, Romania, Serbia, 
Singapore, Slovakia, Thailand, Turkey, USA, United Kingdom or Viet Nam 
in the past 14 days are not allowed to enter. Does not apply to naitonals of Japan.","https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm",2020-04-03,"TCO",NA,NA,NA
NA,NA,NA,"Montenegro","ME",NA,NA,NA,"Japan","JP",NA,NA,2020-04-03,NA,"no non-residents allowed","Passengers who have been in Albania, Armenia, Australia, Bahrain, 
Bolivia, Bosnia and Herzegovina, Brazil, Brunei Darussalam, Bulgaria, 
Canada, Chile, China (People's Rep.), Chinese Taipei, Congo (Dem. Rep.),
 Cote d'Ivoire, Croatia, Cyprus, Czechia, Dominica, Ecuador, Egypt, 
Finland, Greece, Hong Kong (SAR China), Hungary, Israel, Indonesia, 
Korea (Rep.), Kosovo (Rep.), Latvia, Lithuania, Macao (SAR China), 
Malaysia, Mauritius, Moldova (Rep.), Morocco, Montenegro, New Zealand, 
North Macedonia, Panama, Philippines, Poland, Romania, Serbia, 
Singapore, Slovakia, Thailand, Turkey, USA, United Kingdom or Viet Nam 
in the past 14 days are not allowed to enter. Does not apply to naitonals of Japan.","https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm",2020-04-03,"TCO",NA,NA,NA
NA,NA,NA,"Netherlands","NL",NA,NA,NA,"Japan","JP",NA,NA,2020-03-27,NA,"no non-residents allowed","Passengers who have been in Andorra, Austria, Belgium, Denmark, Estonia, France, Germany, Iceland, Iran, Ireland (Rep.), Italy, Liechtenstein, Luxembourg, Malta, Monaco, Netherlands, Norway, Portugal, San Marino, Slovenia, Spain, Sweden, Switzerland or Vatican City (Holy See) in the past 14 days are not allowed to enter Japan.","https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm",2020-03-28,"TCO",NA,NA,NA
NA,NA,NA,"New Zealand","NZ",NA,NA,NA,"Japan","JP",NA,NA,2020-04-03,NA,"no non-residents allowed","Passengers who have been in Albania, Armenia, Australia, Bahrain, 
Bolivia, Bosnia and Herzegovina, Brazil, Brunei Darussalam, Bulgaria, 
Canada, Chile, China (People's Rep.), Chinese Taipei, Congo (Dem. Rep.),
 Cote d'Ivoire, Croatia, Cyprus, Czechia, Dominica, Ecuador, Egypt, 
Finland, Greece, Hong Kong (SAR China), Hungary, Israel, Indonesia, 
Korea (Rep.), Kosovo (Rep.), Latvia, Lithuania, Macao (SAR China), 
Malaysia, Mauritius, Moldova (Rep.), Morocco, Montenegro, New Zealand, 
North Macedonia, Panama, Philippines, Poland, Romania, Serbia, 
Singapore, Slovakia, Thailand, Turkey, USA, United Kingdom or Viet Nam 
in the past 14 days are not allowed to enter. Does not apply to naitonals of Japan.","https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm",2020-04-03,"TCO",NA,NA,NA
NA,NA,NA,"North Macedonia","MK",NA,NA,NA,"Japan","JP",NA,NA,2020-04-03,NA,"no non-residents allowed","Passengers who have been in Albania, Armenia, Australia, Bahrain, 
Bolivia, Bosnia and Herzegovina, Brazil, Brunei Darussalam, Bulgaria, 
Canada, Chile, China (People's Rep.), Chinese Taipei, Congo (Dem. Rep.),
 Cote d'Ivoire, Croatia, Cyprus, Czechia, Dominica, Ecuador, Egypt, 
Finland, Greece, Hong Kong (SAR China), Hungary, Israel, Indonesia, 
Korea (Rep.), Kosovo (Rep.), Latvia, Lithuania, Macao (SAR China), 
Malaysia, Mauritius, Moldova (Rep.), Morocco, Montenegro, New Zealand, 
North Macedonia, Panama, Philippines, Poland, Romania, Serbia, 
Singapore, Slovakia, Thailand, Turkey, USA, United Kingdom or Viet Nam 
in the past 14 days are not allowed to enter. Does not apply to naitonals of Japan.","https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm",2020-04-03,"TCO",NA,NA,NA
NA,NA,NA,"Norway","NO",NA,NA,NA,"Japan","JP",NA,NA,2020-03-27,NA,"no non-residents allowed","Passengers who have been in Andorra, Austria, Belgium, Denmark, Estonia, France, Germany, Iceland, Iran, Ireland (Rep.), Italy, Liechtenstein, Luxembourg, Malta, Monaco, Netherlands, Norway, Portugal, San Marino, Slovenia, Spain, Sweden, Switzerland or Vatican City (Holy See) in the past 14 days are not allowed to enter Japan.","https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm",2020-03-28,"TCO",NA,NA,NA
NA,NA,NA,"Panama","PA",NA,NA,NA,"Japan","JP",NA,NA,2020-04-03,NA,"no non-residents allowed","Passengers who have been in Albania, Armenia, Australia, Bahrain, 
Bolivia, Bosnia and Herzegovina, Brazil, Brunei Darussalam, Bulgaria, 
Canada, Chile, China (People's Rep.), Chinese Taipei, Congo (Dem. Rep.),
 Cote d'Ivoire, Croatia, Cyprus, Czechia, Dominica, Ecuador, Egypt, 
Finland, Greece, Hong Kong (SAR China), Hungary, Israel, Indonesia, 
Korea (Rep.), Kosovo (Rep.), Latvia, Lithuania, Macao (SAR China), 
Malaysia, Mauritius, Moldova (Rep.), Morocco, Montenegro, New Zealand, 
North Macedonia, Panama, Philippines, Poland, Romania, Serbia, 
Singapore, Slovakia, Thailand, Turkey, USA, United Kingdom or Viet Nam 
in the past 14 days are not allowed to enter. Does not apply to naitonals of Japan.","https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm",2020-04-03,"TCO",NA,NA,NA
NA,NA,NA,"Phillipines","PH",NA,NA,NA,"Japan","JP",NA,NA,2020-04-03,NA,"no non-residents allowed","Passengers who have been in Albania, Armenia, Australia, Bahrain, 
Bolivia, Bosnia and Herzegovina, Brazil, Brunei Darussalam, Bulgaria, 
Canada, Chile, China (People's Rep.), Chinese Taipei, Congo (Dem. Rep.),
 Cote d'Ivoire, Croatia, Cyprus, Czechia, Dominica, Ecuador, Egypt, 
Finland, Greece, Hong Kong (SAR China), Hungary, Israel, Indonesia, 
Korea (Rep.), Kosovo (Rep.), Latvia, Lithuania, Macao (SAR China), 
Malaysia, Mauritius, Moldova (Rep.), Morocco, Montenegro, New Zealand, 
North Macedonia, Panama, Philippines, Poland, Romania, Serbia, 
Singapore, Slovakia, Thailand, Turkey, USA, United Kingdom or Viet Nam 
in the past 14 days are not allowed to enter. Does not apply to naitonals of Japan.","https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm",2020-04-03,"TCO",NA,NA,NA
NA,NA,NA,"Poland","PL",NA,NA,NA,"Japan","JP",NA,NA,2020-04-03,NA,"no non-residents allowed","Passengers who have been in Albania, Armenia, Australia, Bahrain, 
Bolivia, Bosnia and Herzegovina, Brazil, Brunei Darussalam, Bulgaria, 
Canada, Chile, China (People's Rep.), Chinese Taipei, Congo (Dem. Rep.),
 Cote d'Ivoire, Croatia, Cyprus, Czechia, Dominica, Ecuador, Egypt, 
Finland, Greece, Hong Kong (SAR China), Hungary, Israel, Indonesia, 
Korea (Rep.), Kosovo (Rep.), Latvia, Lithuania, Macao (SAR China), 
Malaysia, Mauritius, Moldova (Rep.), Morocco, Montenegro, New Zealand, 
North Macedonia, Panama, Philippines, Poland, Romania, Serbia, 
Singapore, Slovakia, Thailand, Turkey, USA, United Kingdom or Viet Nam 
in the past 14 days are not allowed to enter. Does not apply to naitonals of Japan.","https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm",2020-04-03,"TCO",NA,NA,NA
NA,NA,NA,"Portugal","PT",NA,NA,NA,"Japan","JP",NA,NA,2020-03-27,NA,"no non-residents allowed","Passengers who have been in Andorra, Austria, Belgium, Denmark, Estonia, France, Germany, Iceland, Iran, Ireland (Rep.), Italy, Liechtenstein, Luxembourg, Malta, Monaco, Netherlands, Norway, Portugal, San Marino, Slovenia, Spain, Sweden, Switzerland or Vatican City (Holy See) in the past 14 days are not allowed to enter Japan.","https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm",2020-03-28,"TCO",NA,NA,NA
NA,NA,NA,"Romania","RO",NA,NA,NA,"Japan","JP",NA,NA,2020-04-03,NA,"no non-residents allowed","Passengers who have been in Albania, Armenia, Australia, Bahrain, 
Bolivia, Bosnia and Herzegovina, Brazil, Brunei Darussalam, Bulgaria, 
Canada, Chile, China (People's Rep.), Chinese Taipei, Congo (Dem. Rep.),
 Cote d'Ivoire, Croatia, Cyprus, Czechia, Dominica, Ecuador, Egypt, 
Finland, Greece, Hong Kong (SAR China), Hungary, Israel, Indonesia, 
Korea (Rep.), Kosovo (Rep.), Latvia, Lithuania, Macao (SAR China), 
Malaysia, Mauritius, Moldova (Rep.), Morocco, Montenegro, New Zealand, 
North Macedonia, Panama, Philippines, Poland, Romania, Serbia, 
Singapore, Slovakia, Thailand, Turkey, USA, United Kingdom or Viet Nam 
in the past 14 days are not allowed to enter. Does not apply to naitonals of Japan.","https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm",2020-04-03,"TCO",NA,NA,NA
NA,NA,NA,"San Marino","SM",NA,NA,NA,"Japan","JP",NA,NA,2020-03-27,NA,"no non-residents allowed","Passengers who have been in Andorra, Austria, Belgium, Denmark, Estonia, France, Germany, Iceland, Iran, Ireland (Rep.), Italy, Liechtenstein, Luxembourg, Malta, Monaco, Netherlands, Norway, Portugal, San Marino, Slovenia, Spain, Sweden, Switzerland or Vatican City (Holy See) in the past 14 days are not allowed to enter Japan.","https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm",2020-03-28,"TCO",NA,NA,NA
NA,NA,NA,"Serbia","RS",NA,NA,NA,"Japan","JP",NA,NA,2020-04-03,NA,"no non-residents allowed","Passengers who have been in Albania, Armenia, Australia, Bahrain, 
Bolivia, Bosnia and Herzegovina, Brazil, Brunei Darussalam, Bulgaria, 
Canada, Chile, China (People's Rep.), Chinese Taipei, Congo (Dem. Rep.),
 Cote d'Ivoire, Croatia, Cyprus, Czechia, Dominica, Ecuador, Egypt, 
Finland, Greece, Hong Kong (SAR China), Hungary, Israel, Indonesia, 
Korea (Rep.), Kosovo (Rep.), Latvia, Lithuania, Macao (SAR China), 
Malaysia, Mauritius, Moldova (Rep.), Morocco, Montenegro, New Zealand, 
North Macedonia, Panama, Philippines, Poland, Romania, Serbia, 
Singapore, Slovakia, Thailand, Turkey, USA, United Kingdom or Viet Nam 
in the past 14 days are not allowed to enter. Does not apply to naitonals of Japan.","https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm",2020-04-03,"TCO",NA,NA,NA
NA,NA,NA,"Singapore","SG",NA,NA,NA,"Japan","JP",NA,NA,2020-04-03,NA,"no non-residents allowed","Passengers who have been in Albania, Armenia, Australia, Bahrain, 
Bolivia, Bosnia and Herzegovina, Brazil, Brunei Darussalam, Bulgaria, 
Canada, Chile, China (People's Rep.), Chinese Taipei, Congo (Dem. Rep.),
 Cote d'Ivoire, Croatia, Cyprus, Czechia, Dominica, Ecuador, Egypt, 
Finland, Greece, Hong Kong (SAR China), Hungary, Israel, Indonesia, 
Korea (Rep.), Kosovo (Rep.), Latvia, Lithuania, Macao (SAR China), 
Malaysia, Mauritius, Moldova (Rep.), Morocco, Montenegro, New Zealand, 
North Macedonia, Panama, Philippines, Poland, Romania, Serbia, 
Singapore, Slovakia, Thailand, Turkey, USA, United Kingdom or Viet Nam 
in the past 14 days are not allowed to enter. Does not apply to naitonals of Japan.","https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm",2020-04-03,"TCO",NA,NA,NA
NA,NA,NA,"Slovakia","SK",NA,NA,NA,"Japan","JP",NA,NA,2020-04-03,NA,"no non-residents allowed","Passengers who have been in Albania, Armenia, Australia, Bahrain, 
Bolivia, Bosnia and Herzegovina, Brazil, Brunei Darussalam, Bulgaria, 
Canada, Chile, China (People's Rep.), Chinese Taipei, Congo (Dem. Rep.),
 Cote d'Ivoire, Croatia, Cyprus, Czechia, Dominica, Ecuador, Egypt, 
Finland, Greece, Hong Kong (SAR China), Hungary, Israel, Indonesia, 
Korea (Rep.), Kosovo (Rep.), Latvia, Lithuania, Macao (SAR China), 
Malaysia, Mauritius, Moldova (Rep.), Morocco, Montenegro, New Zealand, 
North Macedonia, Panama, Philippines, Poland, Romania, Serbia, 
Singapore, Slovakia, Thailand, Turkey, USA, United Kingdom or Viet Nam 
in the past 14 days are not allowed to enter. Does not apply to naitonals of Japan.","https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm",2020-04-03,"TCO",NA,NA,NA
NA,NA,NA,"Slovenia","SI",NA,NA,NA,"Japan","JP",NA,NA,2020-03-27,NA,"no non-residents allowed","Passengers who have been in Andorra, Austria, Belgium, Denmark, Estonia, France, Germany, Iceland, Iran, Ireland (Rep.), Italy, Liechtenstein, Luxembourg, Malta, Monaco, Netherlands, Norway, Portugal, San Marino, Slovenia, Spain, Sweden, Switzerland or Vatican City (Holy See) in the past 14 days are not allowed to enter Japan.","https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm",2020-03-28,"TCO",NA,NA,NA
NA,NA,NA,"Spain","ES",NA,NA,NA,"Japan","JP",NA,NA,2020-03-27,NA,"no non-residents allowed","Passengers who have been in Andorra, Austria, Belgium, Denmark, Estonia, France, Germany, Iceland, Iran, Ireland (Rep.), Italy, Liechtenstein, Luxembourg, Malta, Monaco, Netherlands, Norway, Portugal, San Marino, Slovenia, Spain, Sweden, Switzerland or Vatican City (Holy See) in the past 14 days are not allowed to enter Japan.","https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm",2020-03-28,"TCO",NA,NA,NA
NA,NA,NA,"Sweden","SE",NA,NA,NA,"Japan","JP",NA,NA,2020-03-27,NA,"no non-residents allowed","Passengers who have been in Andorra, Austria, Belgium, Denmark, Estonia, France, Germany, Iceland, Iran, Ireland (Rep.), Italy, Liechtenstein, Luxembourg, Malta, Monaco, Netherlands, Norway, Portugal, San Marino, Slovenia, Spain, Sweden, Switzerland or Vatican City (Holy See) in the past 14 days are not allowed to enter Japan.","https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm",2020-03-28,"TCO",NA,NA,NA
NA,NA,NA,"Switzerland","CH",NA,NA,NA,"Japan","JP",NA,NA,2020-03-27,NA,"no non-residents allowed","Passengers who have been in Andorra, Austria, Belgium, Denmark, Estonia, France, Germany, Iceland, Iran, Ireland (Rep.), Italy, Liechtenstein, Luxembourg, Malta, Monaco, Netherlands, Norway, Portugal, San Marino, Slovenia, Spain, Sweden, Switzerland or Vatican City (Holy See) in the past 14 days are not allowed to enter Japan.","https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm",2020-03-28,"TCO",NA,NA,NA
NA,NA,NA,"Thailand","TH",NA,NA,NA,"Japan","JP",NA,NA,2020-04-03,NA,"no non-residents allowed","Passengers who have been in Albania, Armenia, Australia, Bahrain, 
Bolivia, Bosnia and Herzegovina, Brazil, Brunei Darussalam, Bulgaria, 
Canada, Chile, China (People's Rep.), Chinese Taipei, Congo (Dem. Rep.),
 Cote d'Ivoire, Croatia, Cyprus, Czechia, Dominica, Ecuador, Egypt, 
Finland, Greece, Hong Kong (SAR China), Hungary, Israel, Indonesia, 
Korea (Rep.), Kosovo (Rep.), Latvia, Lithuania, Macao (SAR China), 
Malaysia, Mauritius, Moldova (Rep.), Morocco, Montenegro, New Zealand, 
North Macedonia, Panama, Philippines, Poland, Romania, Serbia, 
Singapore, Slovakia, Thailand, Turkey, USA, United Kingdom or Viet Nam 
in the past 14 days are not allowed to enter. Does not apply to naitonals of Japan.","https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm",2020-04-03,"TCO",NA,NA,NA
NA,NA,NA,"Turkey","TR",NA,NA,NA,"Japan","JP",NA,NA,2020-04-03,NA,"no non-residents allowed","Passengers who have been in Albania, Armenia, Australia, Bahrain, 
Bolivia, Bosnia and Herzegovina, Brazil, Brunei Darussalam, Bulgaria, 
Canada, Chile, China (People's Rep.), Chinese Taipei, Congo (Dem. Rep.),
 Cote d'Ivoire, Croatia, Cyprus, Czechia, Dominica, Ecuador, Egypt, 
Finland, Greece, Hong Kong (SAR China), Hungary, Israel, Indonesia, 
Korea (Rep.), Kosovo (Rep.), Latvia, Lithuania, Macao (SAR China), 
Malaysia, Mauritius, Moldova (Rep.), Morocco, Montenegro, New Zealand, 
North Macedonia, Panama, Philippines, Poland, Romania, Serbia, 
Singapore, Slovakia, Thailand, Turkey, USA, United Kingdom or Viet Nam 
in the past 14 days are not allowed to enter. Does not apply to naitonals of Japan.","https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm",2020-04-03,"TCO",NA,NA,NA
NA,NA,NA,"United Kingdom","GB",NA,NA,NA,"Japan","JP",NA,NA,2020-04-03,NA,"no non-residents allowed","Passengers who have been in Albania, Armenia, Australia, Bahrain, 
Bolivia, Bosnia and Herzegovina, Brazil, Brunei Darussalam, Bulgaria, 
Canada, Chile, China (People's Rep.), Chinese Taipei, Congo (Dem. Rep.),
 Cote d'Ivoire, Croatia, Cyprus, Czechia, Dominica, Ecuador, Egypt, 
Finland, Greece, Hong Kong (SAR China), Hungary, Israel, Indonesia, 
Korea (Rep.), Kosovo (Rep.), Latvia, Lithuania, Macao (SAR China), 
Malaysia, Mauritius, Moldova (Rep.), Morocco, Montenegro, New Zealand, 
North Macedonia, Panama, Philippines, Poland, Romania, Serbia, 
Singapore, Slovakia, Thailand, Turkey, USA, United Kingdom or Viet Nam 
in the past 14 days are not allowed to enter. Does not apply to naitonals of Japan.","https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm",2020-04-03,"TCO",NA,NA,NA
NA,NA,NA,"Vietnam","VN",NA,NA,NA,"Japan","JP",NA,NA,2020-04-03,NA,"no non-residents allowed","Passengers who have been in Albania, Armenia, Australia, Bahrain, 
Bolivia, Bosnia and Herzegovina, Brazil, Brunei Darussalam, Bulgaria, 
Canada, Chile, China (People's Rep.), Chinese Taipei, Congo (Dem. Rep.),
 Cote d'Ivoire, Croatia, Cyprus, Czechia, Dominica, Ecuador, Egypt, 
Finland, Greece, Hong Kong (SAR China), Hungary, Israel, Indonesia, 
Korea (Rep.), Kosovo (Rep.), Latvia, Lithuania, Macao (SAR China), 
Malaysia, Mauritius, Moldova (Rep.), Morocco, Montenegro, New Zealand, 
North Macedonia, Panama, Philippines, Poland, Romania, Serbia, 
Singapore, Slovakia, Thailand, Turkey, USA, United Kingdom or Viet Nam 
in the past 14 days are not allowed to enter. Does not apply to naitonals of Japan.","https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm",2020-04-03,"TCO",NA,NA,NA
NA,NA,NA,"Holy See","VA",NA,NA,NA,"Japan","JP",NA,NA,2020-03-27,NA,"no non-residents allowed","Passengers who have been in Andorra, Austria, Belgium, Denmark, Estonia, France, Germany, Iceland, Iran, Ireland (Rep.), Italy, Liechtenstein, Luxembourg, Malta, Monaco, Netherlands, Norway, Portugal, San Marino, Slovenia, Spain, Sweden, Switzerland or Vatican City (Holy See) in the past 14 days are not allowed to enter Japan.","https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm",2020-03-28,"TCO",NA,NA,NA
NA,NA,NA,"China","CN",NA,NA,NA,"Jordan","JO",NA,NA,2020-02-05,NA,"no non-residents allowed","entry ban on any foreigner who was in China 14 days prior to arriving in Jordan","https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm",2020-02-12,"TCO","https://jo.usembassy.gov/routine-message-entry-ban-for-foreigners-who-recently-traveled-to-china-february-6-2020/",2020-02-26,"CAS"
NA,NA,NA,"Egypt","EG",NA,NA,NA,"Jordan","JO",NA,NA,2020-03-13,NA,"no non-residents allowed","Passengers who have been in China (People's Rep.), Egypt, Iran, Italy or Korea (Rep.) in the past 14 days are not allowed to transit or enter Jordan.","https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm",2020-03-16,"CAS",NA,NA,NA
NA,NA,NA,"France","FR",NA,NA,NA,"Jordan","JO",NA,NA,2020-03-14,NA,"medical certificate required","All passengers arriving from France, Germany or Spain are required to submit health certificate that is certified by official authorities guaranteeing that they are free of Coronavirus (COVID-19). If the health certificate is not available, passengers are not allowed to enter or transit Jordan.","https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm",2020-03-16,"CAS",NA,NA,NA
NA,NA,NA,"Germany","DE",NA,NA,NA,"Jordan","JO",NA,NA,2020-03-14,NA,"medical certificate required","All passengers arriving from France, Germany or Spain are required to submit health certificate that is certified by official authorities guaranteeing that they are free of Coronavirus (COVID-19). If the health certificate is not available, passengers are not allowed to enter or transit Jordan.","https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm",2020-03-16,"CAS",NA,NA,NA
NA,NA,NA,"Iran","IR",NA,NA,NA,"Jordan","JO",NA,"Government",2020-02-24,NA,"no non-residents allowed","entry ban on any foreigner who was in China, Iran, Italy, or South Korea 14 days prior to arriving in Jordan. Jordanians (including Jordanian Americans) will be subject to a 14-day quarantine upon arrival.","https://jo.usembassy.gov/covid-19-information/",2020-02-27,"CAS",NA,NA,NA
NA,NA,NA,"Italy","IT",NA,NA,NA,"Jordan","JO",NA,"Government",2020-02-24,NA,"no non-residents allowed","entry ban on any foreigner who was in China, Iran, Italy, or South Korea 14 days prior to arriving in Jordan. Jordanians (including Jordanian Americans) will be subject to a 14-day quarantine upon arrival.","https://jo.usembassy.gov/covid-19-information/",2020-02-27,"CAS",NA,NA,NA
NA,NA,NA,"South Korea","KR",NA,NA,NA,"Jordan","JO",NA,"Government",2020-02-24,NA,"no non-residents allowed","entry ban on any foreigner who was in China, Iran, Italy, or South Korea 14 days prior to arriving in Jordan. Jordanians (including Jordanian Americans) will be subject to a 14-day quarantine upon arrival.","https://jo.usembassy.gov/covid-19-information/",2020-02-27,"CAS",NA,NA,NA
NA,NA,NA,"Spain","ES",NA,NA,NA,"Jordan","JO",NA,NA,2020-03-14,NA,"medical certificate required","All passengers arriving from France, Germany or Spain are required to submit health certificate that is certified by official authorities guaranteeing that they are free of Coronavirus (COVID-19). If the health certificate is not available, passengers are not allowed to enter or transit Jordan.","https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm",2020-03-16,"CAS",NA,NA,NA
NA,NA,NA,"ALL",NA,NA,NA,NA,"Jordan","JO",NA,NA,2020-03-16,NA,"self-isolate on arrival","Passengers will be quarantined for 14 days.","https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm",2020-03-17,"CAS",NA,NA,NA
NA,NA,NA,"ALL",NA,NA,NA,NA,"Jordan","JO",NA,NA,2020-03-18,NA,"no non-residents allowed","Passengers are not allowed to enter Jordan","https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm",2020-03-28,"TCO",NA,NA,NA
