"","X","ADM0_EN","ADM1_EN","ADM2_EN","confirmedCount","currentConfirmedCount","suspectedCount","deadCount","curedCount","DATE"
"178",246,"China","Hunan Province","Xiangxi Tujia and Miao Autonomous Prefecture",8,2,0,0,6,"2020-15FEB"
"179",247,"China","Hunan Province","Yiyang",59,34,0,0,25,"2020-15FEB"
"180",248,"China","Hunan Province","Yongzhou",43,16,0,0,27,"2020-15FEB"
"181",249,"China","Hunan Province","Yueyang",153,101,0,1,51,"2020-15FEB"
"182",250,"China","Hunan Province","Zhangjiajie",5,1,0,0,4,"2020-15FEB"
"183",251,"China","Hunan Province","Zhuzhou",78,49,0,0,29,"2020-15FEB"
"184",252,"China","Inner Mongolia Autonomous Region","Alxa League",0,0,0,0,0,"2020-15FEB"
"185",253,"China","Inner Mongolia Autonomous Region","Baotou",11,11,0,0,0,"2020-15FEB"
"186",254,"China","Inner Mongolia Autonomous Region","Bayannur",8,8,0,0,0,"2020-15FEB"
"187",255,"China","Inner Mongolia Autonomous Region","Chifeng",7,5,0,0,2,"2020-15FEB"
"188",256,"China","Inner Mongolia Autonomous Region","Hinggan League",1,1,0,0,0,"2020-15FEB"
"189",257,"China","Inner Mongolia Autonomous Region","Hohhot",7,7,0,0,0,"2020-15FEB"
"190",258,"China","Inner Mongolia Autonomous Region","Hulunbuir",12,10,0,0,2,"2020-15FEB"
"191",260,"China","Inner Mongolia Autonomous Region","Ordos",11,8,0,0,3,"2020-15FEB"
"192",261,"China","Inner Mongolia Autonomous Region","Tongliao",6,6,0,0,0,"2020-15FEB"
"193",262,"China","Inner Mongolia Autonomous Region","Ulanqab",3,3,0,0,0,"2020-15FEB"
"194",263,"China","Inner Mongolia Autonomous Region","Wuhai",2,2,0,0,0,"2020-15FEB"
"195",264,"China","Inner Mongolia Autonomous Region","Xilingol League",6,5,0,0,1,"2020-15FEB"
"196",265,"China","Jiangsu Province","Changzhou",43,32,0,0,11,"2020-15FEB"
"197",266,"China","Jiangsu Province","Huai'an",60,49,0,0,11,"2020-15FEB"
"198",267,"China","Jiangsu Province","Lianyungang",46,34,0,0,12,"2020-15FEB"
"199",268,"China","Jiangsu Province","Nanjing",91,64,0,0,27,"2020-15FEB"
"200",269,"China","Jiangsu Province","Nantong",40,25,0,0,15,"2020-15FEB"
"201",270,"China","Jiangsu Province","Suqian",12,5,0,0,7,"2020-15FEB"
"202",271,"China","Jiangsu Province","Suzhou",86,60,0,0,26,"2020-15FEB"
"203",272,"China","Jiangsu Province","Taizhou",37,21,0,0,16,"2020-15FEB"
"204",273,"China","Jiangsu Province","Wuxi",52,34,0,0,18,"2020-15FEB"
"205",274,"China","Jiangsu Province","Xuzhou",77,54,0,0,23,"2020-15FEB"
"206",275,"China","Jiangsu Province","Yancheng",27,18,0,0,9,"2020-15FEB"
"207",276,"China","Jiangsu Province","Yangzhou",21,14,0,0,7,"2020-15FEB"
"208",277,"China","Jiangsu Province","Zhenjiang",12,8,0,0,4,"2020-15FEB"
"209",278,"China","Jiangxi Province","Fuzhou",72,55,0,0,17,"2020-15FEB"
"210",279,"China","Jiangxi Province","Ganzhou",76,61,0,1,14,"2020-15FEB"
"211",280,"China","Jiangxi Province","Ji'an",20,13,0,0,7,"2020-15FEB"
"212",281,"China","Jiangxi Province","Jingdezhen",5,4,0,0,1,"2020-15FEB"
"213",282,"China","Jiangxi Province","Jiujiang",115,97,0,0,18,"2020-15FEB"
"214",283,"China","Jiangxi Province","Nanchang",241,166,0,0,75,"2020-15FEB"
"215",285,"China","Jiangxi Province","Pingxiang",32,28,0,0,4,"2020-15FEB"
"216",286,"China","Jiangxi Province","Shangrao",123,103,0,0,20,"2020-15FEB"
"217",287,"China","Jiangxi Province","Xinyu",127,93,0,0,34,"2020-15FEB"
"218",288,"China","Jiangxi Province","Yichun",102,82,0,0,20,"2020-15FEB"
"219",289,"China","Jiangxi Province","Yingtan",18,15,0,0,3,"2020-15FEB"
"220",290,"China","Jilin Province","Baicheng",1,1,0,0,0,"2020-15FEB"
"221",291,"China","Jilin Province","Baishan",0,0,0,0,0,"2020-15FEB"
