"","ADM0_EN","ADM1_EN","ADM2_EN","date.of.notification"
"53","China","Guangdong Province","Shenzhen",2020-01-19
"54","China","Guangdong Province","Yangjiang",2020-01-24
"55","China","Guangdong Province","Zhanjiang",2020-01-20
"56","China","Guangdong Province","Zhaoqing",2020-01-23
"57","China","Guangdong Province","Zhongshan",2020-01-23
"58","China","Guangdong Province","Zhuhai",2020-01-20
"59","China","Guangxi Zhuang Autonomous Region","Baise",2020-01-24
"60","China","Guangxi Zhuang Autonomous Region","Beihai",2020-01-22
"61","China","Guangxi Zhuang Autonomous Region","Fangchenggang",2020-01-24
"62","China","Guangxi Zhuang Autonomous Region","Guigang",2020-02-02
"63","China","Guangxi Zhuang Autonomous Region","Guilin",2020-01-24
"64","China","Guangxi Zhuang Autonomous Region","Hechi",2020-01-24
"65","China","Guangxi Zhuang Autonomous Region","Hezhou",2020-01-30
"66","China","Guangxi Zhuang Autonomous Region","Laibin",2020-02-06
"67","China","Guangxi Zhuang Autonomous Region","Liuzhou",2020-01-23
"68","China","Guangxi Zhuang Autonomous Region","NanNing",2020-01-26
"69","China","Guangxi Zhuang Autonomous Region","Qinzhou",2020-01-30
"70","China","Guangxi Zhuang Autonomous Region","Wuzhou",2020-01-22
"71","China","Guangxi Zhuang Autonomous Region","Yulin",2020-01-24
"72","China","Guizhou Province","Anshun",2020-02-02
"73","China","Guizhou Province","Bijie",2020-01-30
"74","China","Guizhou Province","Guiyang",2020-01-22
"75","China","Guizhou Province","Liupanshui",2020-01-27
"76","China","Guizhou Province","Qiandongnan Miao and Dong Autonomous Prefecture",2020-01-30
"77","China","Guizhou Province","Qiannan Buyi and Miao Autonomous Prefecture",2020-01-23
"78","China","Guizhou Province","Qianxinan Buyi and Miao Autonomous Prefecture",2020-01-26
"79","China","Guizhou Province","Tongren",2020-01-23
"80","China","Guizhou Province","Zunyi",2020-01-30
"81","China","Hainan Province","Baoting Li and Miao Autonomous County",2020-02-05
"82","China","Hainan Province","Changjiang Li Autonomous County",2020-01-31
"83","China","Hainan Province","Chengmai County",2020-01-31
"84","China","Hainan Province","Danzhou",2020-01-25
"85","China","Hainan Province","Ding'an County",2020-01-31
"86","China","Hainan Province","Dongfang City",2020-01-31
"87","China","Hainan Province","Haikou",2020-01-23
"88","China","Hainan Province","Ledong Li Autonomous County",2020-01-31
"89","China","Hainan Province","Lingao County",2020-01-23
"90","China","Hainan Province","Lingshui Li Autonomous County",2020-01-31
"91","China","Hainan Province","Qionghai City",2020-01-31
"92","China","Hainan Province","Qiongzhong Li and Miao Autonomous County",2020-01-31
"93","China","Hainan Province","Sansha",2020-02-03
"94","China","Hainan Province","Sanya",2020-01-23
"95","China","Hainan Province","Wanning City",2020-01-23
"96","China","Hebei Province","Baoding",2020-01-25
"97","China","Hebei Province","Cangzhou",2020-01-24
"98","China","Hebei Province","Chengde",2020-01-25
