"","ADM0_EN","ADM1_EN","DATE","confirmedCount","currentConfirmedCount","suspectedCount","deadCount","curedCount"
"320","China","Hubei Province","2020-01-20",258,0,249,6,0
"321","China","Hubei Province","2020-01-21",270,0,249,6,0
"322","China","Hubei Province","2020-01-22",339,0,16,17,0
"323","China","Hubei Province","2020-01-23",444,0,0,24,0
"324","China","Hunan Province","2019-12-31",0,0,0,0,0
"325","China","Hunan Province","2020-01-01",0,0,0,0,0
"326","China","Hunan Province","2020-01-02",0,0,0,0,0
"327","China","Hunan Province","2020-01-03",0,0,0,0,0
"328","China","Hunan Province","2020-01-04",0,0,0,0,0
"329","China","Hunan Province","2020-01-05",0,0,0,0,0
"330","China","Hunan Province","2020-01-06",0,0,0,0,0
"331","China","Hunan Province","2020-01-07",0,0,0,0,0
"332","China","Hunan Province","2020-01-08",0,0,0,0,0
"333","China","Hunan Province","2020-01-09",0,0,0,0,0
"334","China","Hunan Province","2020-01-10",0,0,0,0,0
"335","China","Hunan Province","2020-01-11",0,0,0,0,0
"336","China","Hunan Province","2020-01-12",0,0,0,0,0
"337","China","Hunan Province","2020-01-13",0,0,0,0,0
"338","China","Hunan Province","2020-01-14",0,0,0,0,0
"339","China","Hunan Province","2020-01-15",0,0,0,0,0
"340","China","Hunan Province","2020-01-16",0,0,0,0,0
"341","China","Hunan Province","2020-01-17",0,0,0,0,0
"342","China","Hunan Province","2020-01-18",0,0,0,0,0
"343","China","Hunan Province","2020-01-19",0,0,0,0,0
"344","China","Hunan Province","2020-01-20",0,0,0,0,0
"345","China","Hunan Province","2020-01-21",1,0,0,0,0
"346","China","Hunan Province","2020-01-22",1,0,0,0,0
"347","China","Inner Mongolia Autonomous Region","2019-12-31",0,0,0,0,0
"348","China","Inner Mongolia Autonomous Region","2020-01-01",0,0,0,0,0
"349","China","Inner Mongolia Autonomous Region","2020-01-02",0,0,0,0,0
"350","China","Inner Mongolia Autonomous Region","2020-01-03",0,0,0,0,0
"351","China","Inner Mongolia Autonomous Region","2020-01-04",0,0,0,0,0
"352","China","Inner Mongolia Autonomous Region","2020-01-05",0,0,0,0,0
"353","China","Inner Mongolia Autonomous Region","2020-01-06",0,0,0,0,0
"354","China","Inner Mongolia Autonomous Region","2020-01-07",0,0,0,0,0
"355","China","Inner Mongolia Autonomous Region","2020-01-08",0,0,0,0,0
"356","China","Inner Mongolia Autonomous Region","2020-01-09",0,0,0,0,0
"357","China","Inner Mongolia Autonomous Region","2020-01-10",0,0,0,0,0
"358","China","Inner Mongolia Autonomous Region","2020-01-11",0,0,0,0,0
"359","China","Inner Mongolia Autonomous Region","2020-01-12",0,0,0,0,0
"360","China","Inner Mongolia Autonomous Region","2020-01-13",0,0,0,0,0
"361","China","Inner Mongolia Autonomous Region","2020-01-14",0,0,0,0,0
"362","China","Inner Mongolia Autonomous Region","2020-01-15",0,0,0,0,0
