"ADM0_EN","ADM1_EN","ADM2_EN","date.of.notification"
"China","Henan Province","Shangqiu",2020-01-27
"China","Henan Province","Xinxiang",2020-01-25
"China","Henan Province","Xinyang",2020-01-24
"China","Henan Province","Xuchang",2020-01-27
"China","Henan Province","Zhengzhou",2020-01-22
"China","Henan Province","Zhoukou",2020-01-24
"China","Henan Province","Zhumadian",2020-01-25
"China","Hong Kong Special Administrative Region","Hong Kong Special Administrative Region",2020-01-22
"China","Hubei Province","Enshi Tujia and Miao Autonomous Prefecture",2020-01-25
"China","Hubei Province","Ezhou",2020-01-25
"China","Hubei Province","Huanggang",2020-01-21
"China","Hubei Province","Huangshi",2020-01-25
"China","Hubei Province","Jingmen",2020-01-22
"China","Hubei Province","Jingzhou",2020-01-22
"China","Hubei Province","Prison System",2020-02-20
"China","Hubei Province","Qianjiang",2020-01-27
"China","Hubei Province","Shennongjia Forestry District",2020-01-28
"China","Hubei Province","Shiyan",2020-01-23
"China","Hubei Province","Suizhou",2020-01-25
"China","Hubei Province","Tianmen",2020-01-25
"China","Hubei Province","Wuhan",2019-12-31
"China","Hubei Province","Xiangyang",2020-01-25
"China","Hubei Province","Xianning",2020-01-26
"China","Hubei Province","Xiantao",2020-01-23
"China","Hubei Province","Xiaogan",2020-01-23
"China","Hubei Province","Yichang",2020-01-23
"China","Hunan Province","Changde",2020-01-25
"China","Hunan Province","Changsha",2020-01-21
"China","Hunan Province","Chenzhou",2020-01-23
"China","Hunan Province","Hengyang",2020-01-25
"China","Hunan Province","Huaihua",2020-01-23
"China","Hunan Province","Loudi",2020-01-24
"China","Hunan Province","Shaoyang",2020-01-25
"China","Hunan Province","Xiangtan",2020-01-24
"China","Hunan Province","Xiangxi Tujia and Miao Autonomous Prefecture",2020-01-26
"China","Hunan Province","Yiyang",2020-01-25
"China","Hunan Province","Yongzhou",2020-01-23
"China","Hunan Province","Yueyang",2020-01-24
"China","Hunan Province","Zhangjiajie",2020-01-30
"China","Hunan Province","Zhuzhou",2020-01-24
"China","Inner Mongolia Autonomous Region","Baotou",2020-01-28
"China","Inner Mongolia Autonomous Region","Bayannur",2020-01-29
"China","Inner Mongolia Autonomous Region","Chifeng",2020-01-25
"China","Inner Mongolia Autonomous Region","Hinggan League",2020-01-28
"China","Inner Mongolia Autonomous Region","Hohhot",2020-01-28
"China","Inner Mongolia Autonomous Region","Hulunbuir",2020-01-24
"China","Inner Mongolia Autonomous Region","Ordos",2020-01-25
"China","Inner Mongolia Autonomous Region","Tongliao",2020-01-28
"China","Inner Mongolia Autonomous Region","Ulanqab",2020-01-30
"China","Inner Mongolia Autonomous Region","Wuhai",2020-02-02
"China","Inner Mongolia Autonomous Region","Xilingol League",2020-01-25
"China","Jiangsu Province","Changzhou",2020-01-25
"China","Jiangsu Province","Huai'an",2020-01-26
"China","Jiangsu Province","Lianyungang",2020-01-23
"China","Jiangsu Province","Nanjing",2020-01-23
"China","Jiangsu Province","Nantong",2020-01-24
"China","Jiangsu Province","Suqian",2020-01-25
"China","Jiangsu Province","Suzhou",2020-01-22
"China","Jiangsu Province","Taizhou",2020-01-26
"China","Jiangsu Province","Wuxi",2020-01-24
"China","Jiangsu Province","Xuzhou",2020-01-27
"China","Jiangsu Province","Yancheng",2020-01-25
"China","Jiangsu Province","Yangzhou",2020-01-23
"China","Jiangsu Province","Zhenjiang",2020-01-26
"China","Jiangxi Province","Fuzhou",2020-01-21
"China","Jiangxi Province","Ganzhou",2020-01-24
"China","Jiangxi Province","Ji'an",2020-01-24
"China","Jiangxi Province","Jingdezhen",2020-01-24
"China","Jiangxi Province","Jiujiang",2020-01-24
"China","Jiangxi Province","Nanchang",2020-01-22
"China","Jiangxi Province","Pingxiang",2020-01-21
"China","Jiangxi Province","Shangrao",2020-01-24
"China","Jiangxi Province","Xinyu",2020-01-24
