"ADM0_EN","ADM1_EN","ADM2_EN"
"China","Guangxi Zhuang Autonomous Region","Hechi"
"China","Guangxi Zhuang Autonomous Region","Hezhou"
"China","Guangxi Zhuang Autonomous Region","Laibin"
"China","Guangxi Zhuang Autonomous Region","Liuzhou"
"China","Guangxi Zhuang Autonomous Region","NanNing"
"China","Guangxi Zhuang Autonomous Region","Qinzhou"
"China","Guangxi Zhuang Autonomous Region","Wuzhou"
"China","Guangxi Zhuang Autonomous Region","Yulin"
"China","Guizhou Province","Anshun"
"China","Guizhou Province","Bijie"
"China","Guizhou Province","Guiyang"
"China","Guizhou Province","Liupanshui"
"China","Guizhou Province","Qiandongnan Miao and Dong Autonomous Prefecture"
"China","Guizhou Province","Qiannan Buyi and Miao Autonomous Prefecture"
"China","Guizhou Province","Qianxinan Buyi and Miao Autonomous Prefecture"
"China","Guizhou Province","Tongren"
"China","Guizhou Province","Zunyi"
"China","Hainan Province","Baisha Li Autonomous County"
"China","Hainan Province","Baoting Li and Miao Autonomous County"
"China","Hainan Province","Changjiang Li Autonomous County"
"China","Hainan Province","Chengmai County"
"China","Hainan Province","Danzhou"
"China","Hainan Province","Ding'an County"
"China","Hainan Province","Dongfang City"
"China","Hainan Province","Haikou"
"China","Hainan Province","Ledong Li Autonomous County"
"China","Hainan Province","Lingao County"
"China","Hainan Province","Lingshui Li Autonomous County"
"China","Hainan Province","Qionghai City"
"China","Hainan Province","Qiongzhong Li and Miao Autonomous County"
"China","Hainan Province","Sansha"
"China","Hainan Province","Sanya"
"China","Hainan Province","Tunchang County"
"China","Hainan Province","Wanning City"
"China","Hainan Province","Wuzhishan City"
"China","Hebei Province","Baoding"
"China","Hebei Province","Cangzhou"
"China","Hebei Province","Chengde"
"China","Hebei Province","Handan"
"China","Hebei Province","Hengshui"
"China","Hebei Province","Langfang"
"China","Hebei Province","Qinhuangdao"
"China","Hebei Province","Shijiazhuang"
"China","Hebei Province","Tangshan"
"China","Hebei Province","Xingtai"
"China","Hebei Province","Zhangjiakou"
"China","Heilongjiang Province","Daqing"
"China","Heilongjiang Province","Daxinganling Prefecture"
"China","Heilongjiang Province","Harbin"
"China","Heilongjiang Province","Hegang"
"China","Heilongjiang Province","Heihe"
"China","Heilongjiang Province","Jiamusi"
"China","Heilongjiang Province","Jixi"
"China","Heilongjiang Province","Mudanjiang"
"China","Heilongjiang Province","Qiqihar"
"China","Heilongjiang Province","Qitaihe"
"China","Heilongjiang Province","Shuangyashan"
"China","Heilongjiang Province","Suihua"
"China","Heilongjiang Province","Yichun"
"China","Henan Province","Anyang"
"China","Henan Province","Area to be identified"
"China","Henan Province","Hebi"
"China","Henan Province","Jiaozuo"
"China","Henan Province","Jiyuan"
"China","Henan Province","Kaifeng"
"China","Henan Province","Luohe"
"China","Henan Province","Luoyang"
"China","Henan Province","Nanyang"
"China","Henan Province","Pingdingshan"
"China","Henan Province","Puyang"
"China","Henan Province","Sanmenxia"
"China","Henan Province","Shangqiu"
"China","Henan Province","Xinxiang"
"China","Henan Province","Xinyang"
"China","Henan Province","Xuchang"
"China","Henan Province","Zhengzhou"
"China","Henan Province","Zhoukou"
"China","Henan Province","Zhumadian"
"China","Hong Kong Special Administrative Region","Hong Kong Special Administrative Region"
"China","Hubei Province","Enshi Tujia and Miao Autonomous Prefecture"
"China","Hubei Province","Ezhou"
"China","Hubei Province","Huanggang"
"China","Hubei Province","Huangshi"
"China","Hubei Province","Jingmen"
"China","Hubei Province","Jingzhou"
"China","Hubei Province","Qianjiang"
"China","Hubei Province","Shennongjia Forestry District"
"China","Hubei Province","Shiyan"
"China","Hubei Province","Suizhou"
"China","Hubei Province","Tianmen"
"China","Hubei Province","Wuhan"
"China","Hubei Province","Xiangyang"
"China","Hubei Province","Xianning"
"China","Hubei Province","Xiantao"
"China","Hubei Province","Xiaogan"
"China","Hubei Province","Yichang"
"China","Hubei Province","Prison System"
"China","Hunan Province","Changde"
"China","Hunan Province","Changsha"
"China","Hunan Province","Chenzhou"
"China","Hunan Province","Hengyang"
"China","Hunan Province","Huaihua"
"China","Hunan Province","Loudi"
"China","Hunan Province","Shaoyang"
"China","Hunan Province","Xiangtan"
"China","Hunan Province","Xiangxi Tujia and Miao Autonomous Prefecture"
"China","Hunan Province","Yiyang"
"China","Hunan Province","Yongzhou"
"China","Hunan Province","Yueyang"
"China","Hunan Province","Zhangjiajie"
"China","Hunan Province","Zhuzhou"
"China","Inner Mongolia Autonomous Region","Alxa League"
"China","Inner Mongolia Autonomous Region","Baotou"
"China","Inner Mongolia Autonomous Region","Bayannur"
"China","Inner Mongolia Autonomous Region","Chifeng"
"China","Inner Mongolia Autonomous Region","Hinggan League"
"China","Inner Mongolia Autonomous Region","Hohhot"
"China","Inner Mongolia Autonomous Region","Hulunbuir"
"China","Inner Mongolia Autonomous Region","Ordos"
"China","Inner Mongolia Autonomous Region","Tongliao"
"China","Inner Mongolia Autonomous Region","Ulanqab"
"China","Inner Mongolia Autonomous Region","Wuhai"
"China","Inner Mongolia Autonomous Region","Xilingol League"
"China","Jiangsu Province","Changzhou"
"China","Jiangsu Province","Huai'an"
"China","Jiangsu Province","Lianyungang"
"China","Jiangsu Province","Nanjing"
"China","Jiangsu Province","Nantong"
"China","Jiangsu Province","Suqian"
"China","Jiangsu Province","Suzhou"
"China","Jiangsu Province","Taizhou"
"China","Jiangsu Province","Wuxi"
"China","Jiangsu Province","Xuzhou"
"China","Jiangsu Province","Yancheng"
"China","Jiangsu Province","Yangzhou"
"China","Jiangsu Province","Zhenjiang"
"China","Jiangxi Province","Fuzhou"
"China","Jiangxi Province","Ganzhou"
"China","Jiangxi Province","Ji'an"
"China","Jiangxi Province","Jingdezhen"
"China","Jiangxi Province","Jiujiang"
"China","Jiangxi Province","Nanchang"
"China","Jiangxi Province","Pingxiang"
"China","Jiangxi Province","Shangrao"
"China","Jiangxi Province","Xinyu"
"China","Jiangxi Province","Yichun"
"China","Jiangxi Province","Yingtan"
"China","Jilin Province","Baicheng"
"China","Jilin Province","Baishan"
"China","Jilin Province","Changchun"
"China","Jilin Province","Jilin"
"China","Jilin Province","Liaoyuan"
"China","Jilin Province","Siping"
"China","Jilin Province","Songyuan"
"China","Jilin Province","Tonghua"
"China","Jilin Province","Yanbian Korean Autonomous Prefecture"
"China","Liaoning Province","Anshan"
"China","Liaoning Province","Benxi"
"China","Liaoning Province","Chaoyang"
"China","Liaoning Province","Dalian"
"China","Liaoning Province","Dandong"
"China","Liaoning Province","Fushun"
"China","Liaoning Province","Fuxin"
"China","Liaoning Province","Huludao"
"China","Liaoning Province","Jinzhou"
"China","Liaoning Province","Liaoyang"
"China","Liaoning Province","Panjin"
"China","Liaoning Province","Shenyang"
"China","Liaoning Province","Tieling"
"China","Liaoning Province","Yingkou"
"China","Macao Special Administrative Region","Macao Special Administrative Region"
"China","Ningxia Hui Autonomous Region","Guyuan"
"China","Ningxia Hui Autonomous Region","Shizuishan"
"China","Ningxia Hui Autonomous Region","Wuzhong"
"China","Ningxia Hui Autonomous Region","Yinchuan"
"China","Ningxia Hui Autonomous Region","Zhongwei"
"China","Qinghai Province","Golog Tibetan Autonomous Prefecture"
"China","Qinghai Province","Haibei Tibetan Autonomous Prefecture"
"China","Qinghai Province","Haidong"
"China","Qinghai Province","Hainan Tibetan Autonomous Prefecture"
"China","Qinghai Province","Haixi Mongolian Autonomous Prefecture"
"China","Qinghai Province","Huangnan Tibetan Autonomous Prefecture"
"China","Qinghai Province","Xining"
"China","Qinghai Province","Yushu Tibetan Autonomous Prefecture"
"China","Shaanxi Province","Ankang"
"China","Shaanxi Province","Baoji"
"China","Shaanxi Province","Hanzhong"
"China","Shaanxi Province","Shangluo"
"China","Shaanxi Province","Tongchuan"
"China","Shaanxi Province","Weinan"
"China","Shaanxi Province","Xi'an"
"China","Shaanxi Province","Xianyang"
"China","Shaanxi Province","Yan'an"
"China","Shaanxi Province","Yulin"
"China","Shandong Province","Binzhou"
"China","Shandong Province","Dezhou"
"China","Shandong Province","Dongying"
"China","Shandong Province","Heze"
"China","Shandong Province","Jinan"
"China","Shandong Province","Jining"
"China","Shandong Province","Laiwu"
"China","Shandong Province","Liaocheng"
"China","Shandong Province","Linyi"
"China","Shandong Province","Qingdao"
"China","Shandong Province","Rizhao"
"China","Shandong Province","Tai'an"
"China","Shandong Province","Weifang"
"China","Shandong Province","Weihai"
"China","Shandong Province","Yantai"
"China","Shandong Province","Zaozhuang"
"China","Shandong Province","Zibo"
"China","Shanghai Municipality","Shanghai Municipality"
"China","Shanxi Province","Changzhi"
"China","Shanxi Province","Datong"
"China","Shanxi Province","Jincheng"
"China","Shanxi Province","Jinzhong"
"China","Shanxi Province","Linfen"
"China","Shanxi Province","Lüliang"
"China","Shanxi Province","Shuozhou"
"China","Shanxi Province","Taiyuan"
"China","Shanxi Province","Xinzhou"
"China","Shanxi Province","Yangquan"
"China","Shanxi Province","Yuncheng"
"China","Sichuan Province","Bazhong"
"China","Sichuan Province","Chengdu"
"China","Sichuan Province","Dazhou"
"China","Sichuan Province","Deyang"
"China","Sichuan Province","Garzê Tibetan Autonomous Prefecture"
"China","Sichuan Province","Guang'an"
"China","Sichuan Province","Guangyuan"
"China","Sichuan Province","Leshan"
"China","Sichuan Province","Liangshan Yi Autonomous Prefecture"
"China","Sichuan Province","Luzhou"
"China","Sichuan Province","Meishan"
"China","Sichuan Province","Mianyang"
"China","Sichuan Province","Nanchong"
"China","Sichuan Province","Neijiang"
"China","Sichuan Province","Ngawa Tibetan and Qiang Autonomous Prefecture"
"China","Sichuan Province","Panzhihua"
"China","Sichuan Province","Suining"
"China","Sichuan Province","Ya'an"
"China","Sichuan Province","Yibin"
"China","Sichuan Province","Zigong"
"China","Sichuan Province","Ziyang"
"China","Taiwan Province","Taiwan province"
"China","Tianjin Municipality","Tianjin Municipality"
"China","Tibet Autonomous Region","Lhasa"
"China","Tibet Autonomous Region","Lhoka"
"China","Tibet Autonomous Region","Nagqu Prefecture"
"China","Tibet Autonomous Region","Ngari Prefecture"
"China","Tibet Autonomous Region","Nyingchi"
"China","Tibet Autonomous Region","Qamdo"
"China","Tibet Autonomous Region","Xigazê"
"China","Xinjiang Uygur Autonomous Region","Aksu Prefecture"
"China","Xinjiang Uygur Autonomous Region","Altay Prefecture"
"China","Xinjiang Uygur Autonomous Region","Bayingolin Mongolia Autonomous Prefecture"
"China","Xinjiang Uygur Autonomous Region","Bortala Mongol Autonomous Prefecture"
"China","Xinjiang Uygur Autonomous Region","Changji Hui Autonomous Prefecture"
"China","Xinjiang Uygur Autonomous Region","Hami"
"China","Xinjiang Uygur Autonomous Region","Hotan Prefecture"
"China","Xinjiang Uygur Autonomous Region","Ili Kazak Autonomous Prefecture"
"China","Xinjiang Uygur Autonomous Region","Karamay"
"China","Xinjiang Uygur Autonomous Region","Kashi Prefecture"
"China","Xinjiang Uygur Autonomous Region","Kizilsu Kirgiz Autonomous Prefecture"
"China","Xinjiang Uygur Autonomous Region","Shihezi"
"China","Xinjiang Uygur Autonomous Region","Tarbaĝatay Prefecture"
"China","Xinjiang Uygur Autonomous Region","Turpan"
"China","Xinjiang Uygur Autonomous Region","Ürümqi"
"China","Yunnan Province","Baoshan"
"China","Yunnan Province","Chuxiong Yi Autonomous Prefecture"
"China","Yunnan Province","Dali Bai Autonomous Prefecture"
"China","Yunnan Province","Dehong Dai and Jingpo Autonomous Prefecture"
"China","Yunnan Province","Dêqên Tibetan Autonomous Prefecture"
"China","Yunnan Province","Honghe Hani and Yi Autonomous Prefecture"
"China","Yunnan Province","Kunming"
"China","Yunnan Province","Lijiang"
"China","Yunnan Province","Lincang"
"China","Yunnan Province","Nujiang Lisu Autonomous Prefecture"
"China","Yunnan Province","Pu'er"
"China","Yunnan Province","Qujing"
"China","Yunnan Province","Wenshan Zhuang and Miao Autonomous Prefecture"
"China","Yunnan Province","Xishuangbanna Dai Autonomous Prefecture"
"China","Yunnan Province","Yuxi"
"China","Yunnan Province","Zhaotong"
"China","Zhejiang Province","Hangzhou"
"China","Zhejiang Province","Huzhou"
"China","Zhejiang Province","Jiaxing"
"China","Zhejiang Province","Jinhua"
"China","Zhejiang Province","Lishui"
"China","Zhejiang Province","Ningbo"
"China","Zhejiang Province","Quzhou"
"China","Zhejiang Province","Shaoxing"
"China","Zhejiang Province","Taizhou"
"China","Zhejiang Province","Wenzhou"
"China","Zhejiang Province","Zhoushan"
