"","ADM0_EN","ADM1_EN","ADM2_EN"
"162","China","Hainan Province","Lingao County"
"164","China","Hainan Province","Lingshui Li Autonomous County"
"165","China","Hainan Province","Qionghai City"
"166","China","Hainan Province","Qiongzhong Li and Miao Autonomous County"
"167","China","Hainan Province","Sansha"
"169","China","Hainan Province","Sanya"
"170","China","Hainan Province","Tunchang County"
"171","China","Hainan Province","Wanning City"
"172","China","Hainan Province","Wuzhishan City"
"173","China","Hebei Province","Baoding"
"174","China","Hebei Province","Cangzhou"
"175","China","Hebei Province","Chengde"
"176","China","Hebei Province","Handan"
"177","China","Hebei Province","Hengshui"
"178","China","Hebei Province","Langfang"
"179","China","Hebei Province","Qinhuangdao"
"180","China","Hebei Province","Shijiazhuang"
"181","China","Hebei Province","Tangshan"
"182","China","Hebei Province","Xingtai"
"183","China","Hebei Province","Zhangjiakou"
"184","China","Heilongjiang Province","Daqing"
"185","China","Heilongjiang Province","Daxinganling Prefecture"
"186","China","Heilongjiang Province","Harbin"
"187","China","Heilongjiang Province","Hegang"
"188","China","Heilongjiang Province","Heihe"
"189","China","Heilongjiang Province","Jiamusi"
"190","China","Heilongjiang Province","Jixi"
"191","China","Heilongjiang Province","Mudanjiang"
"192","China","Heilongjiang Province","Qiqihar"
"193","China","Heilongjiang Province","Qitaihe"
"194","China","Heilongjiang Province","Shuangyashan"
"195","China","Heilongjiang Province","Suihua"
"196","China","Heilongjiang Province","Yichun"
"197","China","Henan Province","Anyang"
"198","China","Henan Province","Area to be identified"
"199","China","Henan Province","Hebi"
"200","China","Henan Province","Jiaozuo"
"201","China","Henan Province","Jiyuan"
"202","China","Henan Province","Kaifeng"
"203","China","Henan Province","Luohe"
"204","China","Henan Province","Luoyang"
"205","China","Henan Province","Nanyang"
"206","China","Henan Province","Pingdingshan"
"207","China","Henan Province","Puyang"
"208","China","Henan Province","Sanmenxia"
"209","China","Henan Province","Shangqiu"
"210","China","Henan Province","Xinxiang"
"211","China","Henan Province","Xinyang"
"212","China","Henan Province","Xuchang"
"213","China","Henan Province","Zhengzhou"
"215","China","Henan Province","Zhoukou"
"216","China","Henan Province","Zhumadian"
"217","China","Hong Kong Special Administrative Region","Hong Kong Special Administrative Region"
"218","China","Hubei Province","Enshi Tujia and Miao Autonomous Prefecture"
"219","China","Hubei Province","Ezhou"
"220","China","Hubei Province","Huanggang"
"221","China","Hubei Province","Huangshi"
"222","China","Hubei Province","Jingmen"
"223","China","Hubei Province","Jingzhou"
"224","China","Hubei Province","Qianjiang"
"225","China","Hubei Province","Shennongjia Forestry District"
"227","China","Hubei Province","Shiyan"
"228","China","Hubei Province","Suizhou"
"229","China","Hubei Province","Tianmen"
"230","China","Hubei Province","Wuhan"
"231","China","Hubei Province","Xiangyang"
"233","China","Hubei Province","Xianning"
"234","China","Hubei Province","Xiantao"
"235","China","Hubei Province","Xiaogan"
"236","China","Hubei Province","Yichang"
"237","China","Hubei Province","Prison System"
"238","China","Hunan Province","Changde"
"239","China","Hunan Province","Changsha"
"240","China","Hunan Province","Chenzhou"
"241","China","Hunan Province","Hengyang"
"242","China","Hunan Province","Huaihua"
"243","China","Hunan Province","Loudi"
"244","China","Hunan Province","Shaoyang"
"245","China","Hunan Province","Xiangtan"
"246","China","Hunan Province","Xiangxi Tujia and Miao Autonomous Prefecture"
"247","China","Hunan Province","Yiyang"
"248","China","Hunan Province","Yongzhou"
"249","China","Hunan Province","Yueyang"
"250","China","Hunan Province","Zhangjiajie"
"251","China","Hunan Province","Zhuzhou"
"252","China","Inner Mongolia Autonomous Region","Alxa League"
"253","China","Inner Mongolia Autonomous Region","Baotou"
"254","China","Inner Mongolia Autonomous Region","Bayannur"
"255","China","Inner Mongolia Autonomous Region","Chifeng"
"256","China","Inner Mongolia Autonomous Region","Hinggan League"
"257","China","Inner Mongolia Autonomous Region","Hohhot"
"258","China","Inner Mongolia Autonomous Region","Hulunbuir"
"260","China","Inner Mongolia Autonomous Region","Ordos"
"261","China","Inner Mongolia Autonomous Region","Tongliao"
"262","China","Inner Mongolia Autonomous Region","Ulanqab"
"263","China","Inner Mongolia Autonomous Region","Wuhai"
"264","China","Inner Mongolia Autonomous Region","Xilingol League"
"265","China","Jiangsu Province","Changzhou"
"266","China","Jiangsu Province","Huai'an"
"267","China","Jiangsu Province","Lianyungang"
"268","China","Jiangsu Province","Nanjing"
"269","China","Jiangsu Province","Nantong"
"270","China","Jiangsu Province","Suqian"
"271","China","Jiangsu Province","Suzhou"
"272","China","Jiangsu Province","Taizhou"
"273","China","Jiangsu Province","Wuxi"
"274","China","Jiangsu Province","Xuzhou"
"275","China","Jiangsu Province","Yancheng"
"276","China","Jiangsu Province","Yangzhou"
"277","China","Jiangsu Province","Zhenjiang"
"278","China","Jiangxi Province","Fuzhou"
"279","China","Jiangxi Province","Ganzhou"
"280","China","Jiangxi Province","Ji'an"
"281","China","Jiangxi Province","Jingdezhen"
"282","China","Jiangxi Province","Jiujiang"
"283","China","Jiangxi Province","Nanchang"
"285","China","Jiangxi Province","Pingxiang"
"286","China","Jiangxi Province","Shangrao"
"287","China","Jiangxi Province","Xinyu"
"288","China","Jiangxi Province","Yichun"
"289","China","Jiangxi Province","Yingtan"
"290","China","Jilin Province","Baicheng"
"291","China","Jilin Province","Baishan"
"292","China","Jilin Province","Changchun"
"293","China","Jilin Province","Jilin"
"294","China","Jilin Province","Liaoyuan"
"295","China","Jilin Province","Siping"
"297","China","Jilin Province","Songyuan"
"298","China","Jilin Province","Tonghua"
"300","China","Jilin Province","Yanbian Korean Autonomous Prefecture"
"301","China","Liaoning Province","Anshan"
"302","China","Liaoning Province","Benxi"
"303","China","Liaoning Province","Chaoyang"
"304","China","Liaoning Province","Dalian"
"305","China","Liaoning Province","Dandong"
"306","China","Liaoning Province","Fushun"
"307","China","Liaoning Province","Fuxin"
"308","China","Liaoning Province","Huludao"
"309","China","Liaoning Province","Jinzhou"
"311","China","Liaoning Province","Liaoyang"
"312","China","Liaoning Province","Panjin"
"313","China","Liaoning Province","Shenyang"
"314","China","Liaoning Province","Tieling"
"315","China","Liaoning Province","Yingkou"
"316","China","Macao Special Administrative Region","Macao Special Administrative Region"
"317","China","Ningxia Hui Autonomous Region","Guyuan"
"318","China","Ningxia Hui Autonomous Region","Shizuishan"
"320","China","Ningxia Hui Autonomous Region","Wuzhong"
"321","China","Ningxia Hui Autonomous Region","Yinchuan"
"324","China","Ningxia Hui Autonomous Region","Zhongwei"
"325","China","Qinghai Province","Golog Tibetan Autonomous Prefecture"
"326","China","Qinghai Province","Haibei Tibetan Autonomous Prefecture"
"327","China","Qinghai Province","Haidong"
"328","China","Qinghai Province","Hainan Tibetan Autonomous Prefecture"
"329","China","Qinghai Province","Haixi Mongolian Autonomous Prefecture"
"330","China","Qinghai Province","Huangnan Tibetan Autonomous Prefecture"
"331","China","Qinghai Province","Xining"
"332","China","Qinghai Province","Yushu Tibetan Autonomous Prefecture"
"333","China","Shaanxi Province","Ankang"
"334","China","Shaanxi Province","Baoji"
"335","China","Shaanxi Province","Hanzhong"
"336","China","Shaanxi Province","Shangluo"
"337","China","Shaanxi Province","Tongchuan"
"338","China","Shaanxi Province","Weinan"
"340","China","Shaanxi Province","Xi'an"
"341","China","Shaanxi Province","Xianyang"
"343","China","Shaanxi Province","Yan'an"
"344","China","Shaanxi Province","Yulin"
"345","China","Shandong Province","Binzhou"
"346","China","Shandong Province","Dezhou"
"347","China","Shandong Province","Dongying"
