"","location","State_Code","date_time_accessed","WeekStart","state_weekly_cases","national_weekly_cases","national_weekly_deaths","national_weekly_rec","epiweek"
"64","New Mexico","NM",2020-03-18 10:45:53,2020-03-15,10,5626,90,0,12
"65","Nevada","NV",2020-03-18 10:45:53,2020-01-19,0,3,0,0,4
"66","Nevada","NV",2020-03-18 10:45:53,2020-01-26,0,8,0,0,5
"67","Nevada","NV",2020-03-18 10:45:53,2020-02-02,0,12,0,0,6
"68","Nevada","NV",2020-03-18 10:45:53,2020-02-16,0,14,0,0,8
"69","Nevada","NV",2020-03-18 10:45:53,2020-02-23,0,24,1,0,9
"70","Nevada","NV",2020-03-18 10:45:53,2020-03-01,2,353,19,0,10
"71","Nevada","NV",2020-03-18 10:45:53,2020-03-08,17,2825,56,0,11
"72","Nevada","NV",2020-03-18 10:45:53,2020-03-15,26,5626,90,0,12
"73","Oregon","OR",2020-03-18 10:45:53,2020-01-19,0,3,0,0,4
"74","Oregon","OR",2020-03-18 10:45:53,2020-01-26,0,8,0,0,5
"75","Oregon","OR",2020-03-18 10:45:53,2020-02-02,0,12,0,0,6
"76","Oregon","OR",2020-03-18 10:45:53,2020-02-16,0,14,0,0,8
"77","Oregon","OR",2020-03-18 10:45:53,2020-02-23,1,24,1,0,9
"78","Oregon","OR",2020-03-18 10:45:53,2020-03-01,6,353,19,0,10
"79","Oregon","OR",2020-03-18 10:45:53,2020-03-08,29,2825,56,0,11
"80","Oregon","OR",2020-03-18 10:45:53,2020-03-15,29,5626,90,0,12
"81","Utah","UT",2020-03-18 10:45:53,2020-01-19,0,3,0,0,4
"82","Utah","UT",2020-03-18 10:45:53,2020-01-26,0,8,0,0,5
"83","Utah","UT",2020-03-18 10:45:53,2020-02-02,0,12,0,0,6
"84","Utah","UT",2020-03-18 10:45:53,2020-02-16,0,14,0,0,8
"85","Utah","UT",2020-03-18 10:45:53,2020-02-23,0,24,1,0,9
"86","Utah","UT",2020-03-18 10:45:53,2020-03-01,1,353,19,0,10
"87","Utah","UT",2020-03-18 10:45:53,2020-03-08,23,2825,56,0,11
"88","Utah","UT",2020-03-18 10:45:53,2020-03-15,27,5626,90,0,12
"89","Washington","WA",2020-03-18 10:45:53,2020-01-19,1,3,0,0,4
"90","Washington","WA",2020-03-18 10:45:53,2020-01-26,0,8,0,0,5
"91","Washington","WA",2020-03-18 10:45:53,2020-02-02,0,12,0,0,6
"92","Washington","WA",2020-03-18 10:45:53,2020-02-16,0,14,0,0,8
"93","Washington","WA",2020-03-18 10:45:53,2020-02-23,5,24,1,0,9
"94","Washington","WA",2020-03-18 10:45:53,2020-03-01,96,353,19,0,10
"95","Washington","WA",2020-03-18 10:45:53,2020-03-08,540,2825,56,0,11
"96","Washington","WA",2020-03-18 10:45:53,2020-03-15,370,5626,90,0,12
"97","Wyoming","WY",2020-03-18 10:45:53,2020-01-19,0,3,0,0,4
"98","Wyoming","WY",2020-03-18 10:45:53,2020-01-26,0,8,0,0,5
"99","Wyoming","WY",2020-03-18 10:45:53,2020-02-02,0,12,0,0,6
"100","Wyoming","WY",2020-03-18 10:45:53,2020-02-16,0,14,0,0,8
"101","Wyoming","WY",2020-03-18 10:45:53,2020-02-23,0,24,1,0,9
"102","Wyoming","WY",2020-03-18 10:45:53,2020-03-01,0,353,19,0,10
"103","Wyoming","WY",2020-03-18 10:45:53,2020-03-08,3,2825,56,0,11
"104","Wyoming","WY",2020-03-18 10:45:53,2020-03-15,12,5626,90,0,12
"105","Iowa","IA",2020-03-18 10:45:53,2020-01-19,0,3,0,0,4
"106","Iowa","IA",2020-03-18 10:45:53,2020-01-26,0,8,0,0,5
"107","Iowa","IA",2020-03-18 10:45:53,2020-02-02,0,12,0,0,6
"108","Iowa","IA",2020-03-18 10:45:53,2020-02-16,0,14,0,0,8
"109","Iowa","IA",2020-03-18 10:45:53,2020-02-23,0,24,1,0,9
"110","Iowa","IA",2020-03-18 10:45:53,2020-03-01,0,353,19,0,10
"111","Iowa","IA",2020-03-18 10:45:53,2020-03-08,18,2825,56,0,11
"112","Iowa","IA",2020-03-18 10:45:53,2020-03-15,5,5626,90,0,12
"113","Illinois","IL",2020-03-18 10:45:53,2020-01-19,1,3,0,0,4
"114","Illinois","IL",2020-03-18 10:45:53,2020-01-26,1,8,0,0,5
"115","Illinois","IL",2020-03-18 10:45:53,2020-02-02,0,12,0,0,6
"116","Illinois","IL",2020-03-18 10:45:53,2020-02-16,0,14,0,0,8
"117","Illinois","IL",2020-03-18 10:45:53,2020-02-23,1,24,1,0,9
"118","Illinois","IL",2020-03-18 10:45:53,2020-03-01,3,353,19,0,10
"119","Illinois","IL",2020-03-18 10:45:53,2020-03-08,58,2825,56,0,11
"120","Illinois","IL",2020-03-18 10:45:53,2020-03-15,96,5626,90,0,12
"121","Indiana","IN",2020-03-18 10:45:53,2020-01-19,0,3,0,0,4
"122","Indiana","IN",2020-03-18 10:45:53,2020-01-26,0,8,0,0,5
"123","Indiana","IN",2020-03-18 10:45:53,2020-02-02,0,12,0,0,6
"124","Indiana","IN",2020-03-18 10:45:53,2020-02-16,0,14,0,0,8
"125","Indiana","IN",2020-03-18 10:45:53,2020-02-23,0,24,1,0,9
"126","Indiana","IN",2020-03-18 10:45:53,2020-03-01,2,353,19,0,10
"127","Indiana","IN",2020-03-18 10:45:53,2020-03-08,17,2825,56,0,11
"128","Indiana","IN",2020-03-18 10:45:53,2020-03-15,20,5626,90,0,12
"129","Kansas","KS",2020-03-18 10:45:53,2020-01-19,0,3,0,0,4
"130","Kansas","KS",2020-03-18 10:45:53,2020-01-26,0,8,0,0,5
"131","Kansas","KS",2020-03-18 10:45:53,2020-02-02,0,12,0,0,6
"132","Kansas","KS",2020-03-18 10:45:53,2020-02-16,0,14,0,0,8
"133","Kansas","KS",2020-03-18 10:45:53,2020-02-23,0,24,1,0,9
"134","Kansas","KS",2020-03-18 10:45:53,2020-03-01,1,353,19,0,10
"135","Kansas","KS",2020-03-18 10:45:53,2020-03-08,7,2825,56,0,11
"136","Kansas","KS",2020-03-18 10:45:53,2020-03-15,8,5626,90,0,12
