,GID_0,NAME_0,GID_1,NL_NAME_0,NAME_1,NL_NAME_1,NL_Name_1_short,GID_2,NAME_2,VARNAME_2,NL_NAME_2,NL_NAME_2_short,TYPE_2,ENGTYPE_2,HASC_2,GID_3,NAME_3,VARNAME_3,NL_NAME_3,NL_NAME_3_short,TYPE_3,NL_NAME_4,ENGTYPE_3,CC_3,HASC_3,manual_addition,flags
181227,CHN,China,CHN.17_1,,Jilin,吉林,吉林省,CHN.17.1_1,Baicheng,,白城市,白城,,,,CHN.17.1.4_1,Tongyu,Tōngyú,通榆县,,Xiàn,,County,NA,NA,autofill,
181133,CHN,China,CHN.17_1,,Jilin,吉林,吉林省,CHN.17.1_1,Baicheng,,白城市,白城,,,,CHN.17.1.5_1,Zhenlai,Zhènlài,镇赉县,,Xiàn,,County,NA,NA,autofill,
193683,CHN,China,CHN.7_1,,Guangxi,廣西壯族自治區|广西壮族自治区,广西壮族自治区,CHN.7.1_1,Baise,,百色市,百色,,,,CHN.7.1.1_1,Baise,Bǎisè,百色市,,Xiànjíshì,,County City,NA,NA,autofill,
194803,CHN,China,CHN.7_1,,Guangxi,廣西壯族自治區|广西壮族自治区,广西壮族自治区,CHN.7.1_1,Baise,,百色市,百色,,,,CHN.7.1.2_1,Debao,Débǎo,德保县,,Xiàn,,County,NA,NA,autofill,
194968,CHN,China,CHN.7_1,,Guangxi,廣西壯族自治區|广西壮族自治区,广西壮族自治区,CHN.7.1_1,Baise,,百色市,百色,,,,CHN.7.1.3_1,Jingxi,Jìngxī,靖西县,,Xiàn,,County,NA,NA,autofill,
192194,CHN,China,CHN.7_1,,Guangxi,廣西壯族自治區|广西壮族自治区,广西壮族自治区,CHN.7.1_1,Baise,,百色市,百色,,,,CHN.7.1.4_1,Leye,Lèyè,乐业县,,Xiàn,,County,NA,NA,autofill,
193105,CHN,China,CHN.7_1,,Guangxi,廣西壯族自治區|广西壮族自治区,广西壮族自治区,CHN.7.1_1,Baise,,百色市,百色,,,,CHN.7.1.5_1,Lingyun,Língyún,凌云县,,Xiàn,,County,NA,NA,autofill,
192368,CHN,China,CHN.7_1,,Guangxi,廣西壯族自治區|广西壮族自治区,广西壮族自治区,CHN.7.1_1,Baise,,百色市,百色,,,,CHN.7.1.6_1,Longlin Various Nationalities,Lónglín Gèzú,隆林各族自治县,,Zìzhìxiàn,,Autonomous County,NA,NA,autofill,
195039,CHN,China,CHN.7_1,,Guangxi,廣西壯族自治區|广西壮族自治区,广西壮族自治区,CHN.7.1_1,Baise,,百色市,百色,,,,CHN.7.1.7_1,Napo,Nàpō,那坡县,,Xiàn,,County,NA,NA,autofill,
194293,CHN,China,CHN.7_1,,Guangxi,廣西壯族自治區|广西壮族自治区,广西壮族自治区,CHN.7.1_1,Baise,,百色市,百色,,,,CHN.7.1.8_1,Pingguo,Píngguǒ,平果县,,Xiàn,,County,NA,NA,autofill,
194117,CHN,China,CHN.7_1,,Guangxi,廣西壯族自治區|广西壮族自治区,广西壮族自治区,CHN.7.1_1,Baise,,百色市,百色,,,,CHN.7.1.9_1,Tiandong,Tiándōng,田东县,,Xiàn,,County,NA,NA,autofill,
192799,CHN,China,CHN.7_1,,Guangxi,廣西壯族自治區|广西壮族自治区,广西壮族自治区,CHN.7.1_1,Baise,,百色市,百色,,,,CHN.7.1.10_1,Tianlin,Tiánlín,田林县,,Xiàn,,County,NA,NA,autofill,
193934,CHN,China,CHN.7_1,,Guangxi,廣西壯族自治區|广西壮族自治区,广西壮族自治区,CHN.7.1_1,Baise,,百色市,百色,,,,CHN.7.1.11_1,Tianyang,Tiányáng,田阳县,,Xiàn,,County,NA,NA,autofill,
192900,CHN,China,CHN.7_1,,Guangxi,廣西壯族自治區|广西壮族自治区,广西壮族自治区,CHN.7.1_1,Baise,,百色市,百色,,,,CHN.7.1.12_1,Xilin,Xīlín,西林县,,Xiàn,,County,NA,NA,autofill,
181642,CHN,China,CHN.17_1,,Jilin,吉林,吉林省,CHN.17.2_1,Baishan,,白山市,白山,,,,CHN.17.2.1_1,Badaojiang,Bādàojiāng,八道江区,,Shìxiáqū,,District,NA,NA,autofill,
