"age group","county name","cases","deaths","confirmed_case_hospitalization"
"01-04 years","Cobb","2254","1","31"
"05-09 years","Cobb","4470","0","30"
"10-17 years","Cobb","11017","0","74"
"18-29 years","Cobb","26668","10","330"
"30-39 years","Cobb","19791","36","387"
"40-49 years","Cobb","18135","63","584"
"50-59 years","Cobb","15401","129","802"
"60-69 years","Cobb","9232","244","802"
"70-79 years","Cobb","4764","371","739"
"80 & Older years","Cobb","2652","518","680"
"<1 years","Cobb","672","0","29"
"Unknown years","Cobb","110","0","1"
"01-04 years","Coffee","156","0","2"
"05-09 years","Coffee","260","0","4"
"10-17 years","Coffee","627","0","6"
"18-29 years","Coffee","1463","1","41"
"30-39 years","Coffee","1143","6","70"
"40-49 years","Coffee","1076","16","140"
"50-59 years","Coffee","993","24","198"
"60-69 years","Coffee","735","51","195"
"70-79 years","Coffee","375","54","161"
"80 & Older years","Coffee","195","46","106"
"<1 years","Coffee","47","0","5"
"Unknown years","Coffee","7","0","0"
"01-04 years","Colquitt","95","0","0"
"05-09 years","Colquitt","244","0","2"
"10-17 years","Colquitt","788","0","12"
"18-29 years","Colquitt","1337","1","35"
"30-39 years","Colquitt","991","3","35"
"40-49 years","Colquitt","949","8","49"
"50-59 years","Colquitt","867","24","53"
"60-69 years","Colquitt","622","32","70"
"70-79 years","Colquitt","387","31","67"
"80 & Older years","Colquitt","202","39","43"
"<1 years","Colquitt","41","0","2"
"Unknown years","Colquitt","2","0","0"
"01-04 years","Columbia","281","1","3"
"05-09 years","Columbia","620","1","6"
"10-17 years","Columbia","1838","0","10"
"18-29 years","Columbia","3374","2","40"
"30-39 years","Columbia","3156","7","55"
"40-49 years","Columbia","2698","16","75"
"50-59 years","Columbia","2181","37","116"
"60-69 years","Columbia","1408","45","131"
"70-79 years","Columbia","735","67","150"
"80 & Older years","Columbia","420","89","139"
"<1 years","Columbia","92","0","6"
"Unknown years","Columbia","12","0","0"
"01-04 years","Cook","38","0","3"
"05-09 years","Cook","68","0","0"
"10-17 years","Cook","182","0","2"
"18-29 years","Cook","339","0","9"
"30-39 years","Cook","278","0","4"
"40-49 years","Cook","270","3","19"
"50-59 years","Cook","238","7","23"
"60-69 years","Cook","175","11","24"
"70-79 years","Cook","122","13","30"
"80 & Older years","Cook","78","19","17"
"<1 years","Cook","23","0","2"
"Unknown years","Cook","1","0","0"
"01-04 years","Coweta","369","0","3"
"05-09 years","Coweta","613","0","3"
"10-17 years","Coweta","1806","0","18"
"18-29 years","Coweta","3488","5","82"
"30-39 years","Coweta","2773","13","134"
"40-49 years","Coweta","2826","28","148"
"50-59 years","Coweta","2981","51","214"
"60-69 years","Coweta","1717","66","190"
"70-79 years","Coweta","1028","98","205"
"80 & Older years","Coweta","509","103","129"
"<1 years","Coweta","103","0","8"
"Unknown years","Coweta","13","0","0"
"01-04 years","Crawford","9","0","0"
"05-09 years","Crawford","11","0","0"
"10-17 years","Crawford","55","0","2"
"18-29 years","Crawford","163","0","4"
"30-39 years","Crawford","158","1","11"
"40-49 years","Crawford","122","3","8"
"50-59 years","Crawford","188","9","25"
"60-69 years","Crawford","156","12","24"
"70-79 years","Crawford","79","12","23"
"80 & Older years","Crawford","33","3","15"
"<1 years","Crawford","2","0","0"
"01-04 years","Crisp","33","0","0"
"05-09 years","Crisp","63","0","0"
"10-17 years","Crisp","223","0","3"
"18-29 years","Crisp","383","0","13"
"30-39 years","Crisp","360","2","20"
"40-49 years","Crisp","302","4","23"
"50-59 years","Crisp","283","4","31"
"60-69 years","Crisp","247","20","49"
"70-79 years","Crisp","128","16","35"
"80 & Older years","Crisp","75","20","18"
"<1 years","Crisp","18","0","0"
"Unknown years","Crisp","14","0","0"
"01-04 years","Dade","42","0","0"
"05-09 years","Dade","88","0","0"
"10-17 years","Dade","221","0","1"
"18-29 years","Dade","425","0","2"
"30-39 years","Dade","288","0","2"
"40-49 years","Dade","318","1","9"
"50-59 years","Dade","267","4","20"
"60-69 years","Dade","221","2","14"
"70-79 years","Dade","141","11","23"
"80 & Older years","Dade","65","3","12"
"<1 years","Dade","13","0","0"
"Unknown years","Dade","15","0","1"
"01-04 years","Dawson","90","0","0"
"05-09 years","Dawson","145","0","0"
"10-17 years","Dawson","420","0","6"
"18-29 years","Dawson","1033","0","20"
"30-39 years","Dawson","851","2","26"
"40-49 years","Dawson","745","1","41"
"50-59 years","Dawson","800","9","60"
"60-69 years","Dawson","602","15","97"
"70-79 years","Dawson","363","29","70"
"80 & Older years","Dawson","144","24","38"
"<1 years","Dawson","31","0","3"
"Unknown years","Dawson","33","0","1"
"01-04 years","DeKalb","2413","0","31"
"05-09 years","DeKalb","3833","0","34"
"10-17 years","DeKalb","8426","0","118"
"18-29 years","DeKalb","24506","16","702"
