"","ADM0_EN","ADM1_EN","ADM2_EN","confirmedCount","currentConfirmedCount","suspectedCount","deadCount","curedCount","DATE","source_type","source_url","who_by","access_date","notes","infection_date"
"121","China","Anhui Province","Huainan",0,NA,0,0,NA,"2020-01-07","","","",NA,"",NA
"122","China","Anhui Province","Huangshan",0,NA,0,0,NA,"2020-01-07","","","",NA,"",NA
"123","China","Anhui Province","Lu'an",0,NA,0,0,NA,"2020-01-07","","","",NA,"",NA
"124","China","Anhui Province","Ma'anshan",0,NA,0,0,NA,"2020-01-07","","","",NA,"",NA
"125","China","Anhui Province","Suzhou",0,NA,0,0,NA,"2020-01-07","","","",NA,"",NA
"126","China","Anhui Province","Tongling",0,NA,0,0,NA,"2020-01-07","","","",NA,"",NA
"127","China","Anhui Province","Wuhu",0,NA,0,0,NA,"2020-01-07","","","",NA,"",NA
"128","China","Anhui Province","Xuancheng",0,NA,0,0,NA,"2020-01-07","","","",NA,"",NA
"129","China","Anhui Province","Anqing",0,NA,0,0,NA,"2020-01-08","","","",NA,"",NA
"130","China","Anhui Province","Bengbu",0,NA,0,0,NA,"2020-01-08","","","",NA,"",NA
"131","China","Anhui Province","Bozhou",0,NA,0,0,NA,"2020-01-08","","","",NA,"",NA
"132","China","Anhui Province","Chizhou",0,NA,0,0,NA,"2020-01-08","","","",NA,"",NA
"133","China","Anhui Province","Chuzhou",0,NA,0,0,NA,"2020-01-08","","","",NA,"",NA
"134","China","Anhui Province","Fuyang",0,NA,0,0,NA,"2020-01-08","","","",NA,"",NA
"135","China","Anhui Province","Hefei",0,NA,0,0,NA,"2020-01-08","","","",NA,"","2020-01-22"
"136","China","Anhui Province","Huaibei",0,NA,0,0,NA,"2020-01-08","","","",NA,"",NA
"137","China","Anhui Province","Huainan",0,NA,0,0,NA,"2020-01-08","","","",NA,"",NA
"138","China","Anhui Province","Huangshan",0,NA,0,0,NA,"2020-01-08","","","",NA,"",NA
"139","China","Anhui Province","Lu'an",0,NA,0,0,NA,"2020-01-08","","","",NA,"",NA
"140","China","Anhui Province","Ma'anshan",0,NA,0,0,NA,"2020-01-08","","","",NA,"",NA
"141","China","Anhui Province","Suzhou",0,NA,0,0,NA,"2020-01-08","","","",NA,"",NA
"142","China","Anhui Province","Tongling",0,NA,0,0,NA,"2020-01-08","","","",NA,"",NA
"143","China","Anhui Province","Wuhu",0,NA,0,0,NA,"2020-01-08","","","",NA,"",NA
"144","China","Anhui Province","Xuancheng",0,NA,0,0,NA,"2020-01-08","","","",NA,"",NA
"145","China","Anhui Province","Anqing",0,NA,0,0,NA,"2020-01-09","","","",NA,"",NA
"146","China","Anhui Province","Bengbu",0,NA,0,0,NA,"2020-01-09","","","",NA,"",NA
"147","China","Anhui Province","Bozhou",0,NA,0,0,NA,"2020-01-09","","","",NA,"",NA
"148","China","Anhui Province","Chizhou",0,NA,0,0,NA,"2020-01-09","","","",NA,"",NA
"149","China","Anhui Province","Chuzhou",0,NA,0,0,NA,"2020-01-09","","","",NA,"",NA
"150","China","Anhui Province","Fuyang",0,NA,0,0,NA,"2020-01-09","","","",NA,"",NA
"151","China","Anhui Province","Hefei",0,NA,0,0,NA,"2020-01-09","","","",NA,"","2020-01-22"
"152","China","Anhui Province","Huaibei",0,NA,0,0,NA,"2020-01-09","","","",NA,"",NA
"153","China","Anhui Province","Huainan",0,NA,0,0,NA,"2020-01-09","","","",NA,"",NA
