"Date","AK","AZ","CA","CO","HI","ID","MT","NM","NV","OR","UT","WA","WY","IA","IL","IN","KS","MI","MN","MO","ND","NE","OH","OK","SD","WI","AL","AR","FL","GA","KY","LA","MS","NC","SC","TN","TX","VA","WV","CT","DC","DE","MA","MD","ME","NH","NJ","NY","PA","RI","VT","GU","MP","PR","VI","deaths_New","deaths_Cml","time_last_update"
2021-04-27,NA,8,5,9,1,6,3,12,11,2,3,12,2,3,22,13,NA,105,12,37,NA,NA,68,NA,1,17,2,4,46,4,16,9,10,23,2,11,49,15,159,1,1,NA,4,18,5,8,61,26,84,1,1,NA,NA,14,NA,608,541328,NA
2021-04-28,NA,6,65,8,3,5,1,12,4,2,4,12,NA,1,33,19,8,38,19,5,NA,NA,NA,72,1,34,22,1,72,61,9,10,5,36,28,8,69,9,11,13,4,5,12,20,1,2,35,35,57,4,1,NA,NA,4,NA,886,542214,NA
2021-04-29,NA,23,89,12,1,NA,3,7,11,1,7,13,NA,NA,36,11,NA,109,12,1,5,1,NA,NA,NA,8,8,8,54,48,10,5,2,12,20,17,67,17,1,4,1,2,16,9,4,5,20,38,50,1,NA,NA,NA,10,NA,779,542993,NA
2021-04-30,NA,19,105,11,NA,1,1,9,5,4,5,12,NA,19,33,8,4,35,16,3,1,1,99,NA,5,8,4,4,77,25,3,4,4,20,2,9,59,20,5,13,NA,1,16,25,2,2,25,44,39,2,NA,NA,NA,6,NA,815,543808,NA
2021-05-01,NA,14,158,7,NA,NA,3,NA,NA,3,1,NA,NA,2,32,5,NA,131,9,2,2,1,NA,NA,NA,18,12,2,78,19,11,NA,NA,NA,8,NA,61,4,NA,NA,1,1,7,20,5,1,34,25,35,NA,1,NA,NA,7,NA,720,544528,NA
2021-05-02,NA,6,123,2,NA,NA,NA,NA,NA,3,1,NA,NA,7,27,11,NA,NA,6,2,NA,NA,NA,NA,NA,2,NA,NA,29,NA,4,NA,NA,NA,12,NA,25,13,7,NA,NA,NA,4,10,NA,1,12,34,22,NA,NA,NA,NA,2,NA,361,544889,NA
2021-05-03,1,NA,15,2,1,6,NA,6,9,1,NA,8,NA,NA,28,1,3,29,3,NA,NA,NA,NA,NA,3,NA,NA,4,39,15,6,5,8,40,4,8,6,18,NA,15,NA,NA,18,20,1,NA,16,37,1,7,1,NA,NA,2,NA,387,545276,NA
2021-05-04,NA,11,2,15,NA,NA,3,10,7,6,13,21,3,1,19,12,NA,126,10,69,NA,1,52,NA,3,11,NA,4,92,11,7,7,14,9,NA,12,53,19,9,5,NA,NA,5,7,NA,2,42,41,58,3,NA,1,NA,7,NA,801,546077,NA
2021-05-05,NA,5,97,16,1,NA,1,2,7,1,2,11,NA,2,30,10,14,42,17,4,3,1,NA,44,3,13,12,1,79,21,10,9,2,21,13,11,55,14,12,7,3,2,13,10,1,1,34,32,56,1,NA,1,NA,12,NA,759,546836,NA
2021-05-06,1,7,65,8,1,1,2,4,3,5,NA,14,NA,18,40,6,NA,115,13,3,2,4,NA,NA,1,14,12,2,71,19,4,3,3,17,19,17,57,21,6,7,1,1,5,9,2,3,33,24,57,3,1,1,NA,9,NA,734,547570,NA
2021-05-07,NA,24,100,7,NA,8,12,9,8,8,4,11,NA,3,35,17,17,30,12,1,NA,5,88,NA,3,7,14,2,86,31,10,3,2,42,4,10,53,12,6,6,NA,NA,5,11,1,NA,29,26,47,2,NA,NA,NA,7,NA,816,548386,NA
2021-05-08,NA,16,140,3,1,NA,NA,NA,NA,6,NA,NA,NA,1,22,8,NA,122,8,3,NA,2,NA,NA,NA,20,8,1,65,27,17,NA,NA,NA,19,NA,45,11,7,NA,NA,7,8,10,1,3,22,33,38,NA,NA,NA,NA,10,NA,680,549066,NA
2021-05-09,NA,2,61,2,1,NA,NA,NA,NA,2,1,NA,NA,1,30,12,NA,NA,5,1,NA,1,NA,NA,NA,NA,NA,1,31,1,8,NA,NA,NA,6,NA,19,10,NA,NA,NA,NA,6,8,NA,1,10,35,11,NA,NA,NA,NA,4,NA,266,549332,NA
2021-05-10,NA,NA,13,NA,NA,NA,NA,8,8,3,1,22,NA,NA,12,1,NA,33,NA,1,NA,5,NA,NA,1,NA,NA,3,52,1,10,2,6,10,4,21,3,14,3,17,NA,4,14,10,NA,NA,9,28,7,3,NA,NA,NA,1,NA,320,549652,NA
2021-05-11,2,19,5,14,NA,3,1,2,3,16,11,7,2,4,26,14,NA,99,8,10,3,1,14,NA,NA,13,3,5,48,20,17,10,6,11,NA,16,57,17,5,2,3,3,NA,8,2,3,31,34,57,4,2,NA,NA,10,NA,645,550297,NA
2021-05-12,2,2,59,31,1,6,2,3,6,9,13,21,NA,5,24,10,13,17,14,8,NA,10,NA,46,7,18,8,1,51,28,10,11,4,29,5,4,68,15,14,5,2,NA,13,9,1,4,33,26,52,2,1,NA,NA,11,NA,734,551031,NA
2021-05-13,NA,8,46,21,NA,NA,2,1,8,14,6,12,NA,3,35,5,NA,112,16,5,1,NA,NA,NA,1,18,5,2,47,15,7,2,3,23,14,9,55,25,3,7,NA,4,9,17,NA,4,24,22,38,2,NA,NA,NA,15,NA,666,551697,NA
2021-05-14,NA,9,66,9,1,5,1,1,7,10,1,4,NA,1,49,16,9,33,9,7,1,NA,89,NA,2,1,18,6,71,20,6,5,7,9,4,7,61,29,5,5,1,3,18,12,1,3,26,28,27,2,NA,NA,NA,8,NA,705,552402,NA
2021-05-15,NA,12,27,10,1,NA,NA,NA,NA,3,2,NA,NA,2,46,5,NA,107,3,4,NA,NA,NA,NA,NA,4,15,3,56,18,4,NA,NA,NA,13,NA,42,NA,1,NA,2,NA,5,17,2,2,20,23,25,NA,NA,NA,NA,15,NA,489,552891,NA
2021-05-16,NA,7,55,8,1,NA,NA,NA,NA,2,NA,NA,NA,6,24,9,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,1,19,1,8,NA,NA,NA,14,NA,NA,19,4,NA,2,NA,5,4,1,1,9,33,67,NA,NA,NA,NA,4,NA,313,553204,NA
2021-05-17,11,NA,11,NA,NA,NA,NA,3,3,3,1,18,NA,NA,6,6,2,20,NA,NA,NA,9,NA,NA,2,NA,NA,2,58,NA,6,9,3,29,2,15,23,10,1,21,2,NA,19,3,1,1,14,13,17,1,NA,NA,NA,3,NA,348,553552,NA
2021-05-18,4,14,3,6,NA,4,4,2,7,4,12,13,1,7,21,21,NA,83,14,131,NA,10,95,NA,1,13,3,8,94,21,10,7,11,20,2,12,41,12,1,4,NA,NA,6,14,2,6,23,17,38,2,2,NA,NA,7,NA,813,554365,"2021-05-20 10:14:29"
