city_source,ADM2_source,ADM1_source,country_source,country_code_source,city_destination,ADM2_destination,ADM1_destination,country_destination,country_code_destination,travel_advisor,travel_advisor_type,travel_restriction_date,travel_restriction_date_end,strict_restrictions,notes,tr_source1,accessed_date1,who_by1,tr_source2,accessed_date2,who_by2,,,,,,,,,,,,,,,,,,
,,,Thailand,TH,,,,Nauru,NR,,,2020-02-26,2020-03-07,no non-residents allowed,"Passengers who have been in Australia, Cambodia, Canada, China (People's Rep.), Chinese Taipei, Finland, France, Germany, Hong Kong (SAR China), India, Italy, Japan, Korea (Rep.), Macao (SAR China), Malaysia, Nepal, Philippines, Russian Fed., Singapore, Spain, Sri Lanka, Sweden, Thailand, USA, United Arab Emirates, United Kingdom or Viet Nam in the past 21 days will not be allowed to enter Nauru.",https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm,2020-02-27,CAS,,,,,,,,,,,,,,,,,,,,,
,,,United Arab Emirates,AE,,,,Nauru,NR,,,2020-02-26,2020-03-07,no non-residents allowed,"Passengers who have been in Australia, Cambodia, Canada, China (People's Rep.), Chinese Taipei, Finland, France, Germany, Hong Kong (SAR China), India, Italy, Japan, Korea (Rep.), Macao (SAR China), Malaysia, Nepal, Philippines, Russian Fed., Singapore, Spain, Sri Lanka, Sweden, Thailand, USA, United Arab Emirates, United Kingdom or Viet Nam in the past 21 days will not be allowed to enter Nauru.",https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm,2020-02-27,CAS,,,,,,,,,,,,,,,,,,,,,
,,,United Kingdom,GB,,,,Nauru,NR,,,2020-02-26,2020-03-07,no non-residents allowed,"Passengers who have been in Australia, Cambodia, Canada, China (People's Rep.), Chinese Taipei, Finland, France, Germany, Hong Kong (SAR China), India, Italy, Japan, Korea (Rep.), Macao (SAR China), Malaysia, Nepal, Philippines, Russian Fed., Singapore, Spain, Sri Lanka, Sweden, Thailand, USA, United Arab Emirates, United Kingdom or Viet Nam in the past 21 days will not be allowed to enter Nauru.",https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm,2020-02-27,CAS,,,,,,,,,,,,,,,,,,,,,
,,,United States,US,,,,Nauru,NR,,,2020-02-26,2020-03-07,no non-residents allowed,"Passengers who have been in Australia, Cambodia, Canada, China (People's Rep.), Chinese Taipei, Finland, France, Germany, Hong Kong (SAR China), India, Italy, Japan, Korea (Rep.), Macao (SAR China), Malaysia, Nepal, Philippines, Russian Fed., Singapore, Spain, Sri Lanka, Sweden, Thailand, USA, United Arab Emirates, United Kingdom or Viet Nam in the past 21 days will not be allowed to enter Nauru.",https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm,2020-02-27,CAS,,,,,,,,,,,,,,,,,,,,,
,,,Vietnam,VN,,,,Nauru,NR,,,2020-02-26,2020-03-07,no non-residents allowed,"Passengers who have been in Australia, Cambodia, Canada, China (People's Rep.), Chinese Taipei, Finland, France, Germany, Hong Kong (SAR China), India, Italy, Japan, Korea (Rep.), Macao (SAR China), Malaysia, Nepal, Philippines, Russian Fed., Singapore, Spain, Sri Lanka, Sweden, Thailand, USA, United Arab Emirates, United Kingdom or Viet Nam in the past 21 days will not be allowed to enter Nauru.",https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm,2020-02-27,CAS,,,,,,,,,,,,,,,,,,,,,
,,,ALL,,,,,Nepal,NP,,,2020-03-14,2020-04-30,suspension of visa on arrival,1. All visa on arrivals have been suspended till 30 April 2020.,https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm,2020-03-16,CAS,,,,,,,,,,,,,,,,,,,,,
,,,ALL,,,,,Nepal,NP,,,2020-03-14,,self-isolate on arrival,2. Passengers with a visa must submit a swab test PCR health certificate to the immigration office KTM. The certificate must be issued maximum 7 days before their arrival in Nepal. 3. Passengers are subject to self-quarantine for 14 days from the date of arrival. 4. Passengers can only land at Tribhuvan Airport (KTM).,https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm,2020-03-16,CAS,,,,,,,,,,,,,,,,,,,,,
,,,China,CN,,,,Nepal,NP,,,2020-03-13,,medical certificate required,"Nationals of China (People's Rep.), Iran, Italy, Japan and Korea (Rep.) can no longer obtain a visa on arrival. They must obtain a visa before departure and have a medical certificate proving they are free from Coronavirus (COVID-19). They are only allowed to enter Nepal if arriving at Kathmandu (KTM).",https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm,2020-03-16,CAS,,,,,,,,,,,,,,,,,,,,,
,,,Hong Kong,HK,,,,Nepal,NP,,,2020-03-13,,medical certificate required,Passengers with a Hong Kong (SAR China) passport can no longer obtain a visa on arrival. They must obtain a visa before departure and have a medical certificate proving they are free from Coronavirus (COVID-19). They are only allowed to enter Nepal if arriving at Kathmandu (KTM).,https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm,2020-03-16,CAS,,,,,,,,,,,,,,,,,,,,,
,,,Iran,IR,,,,Nepal,NP,,,2020-03-13,,medical certificate required,"Nationals of China (People's Rep.), Iran, Italy, Japan and Korea (Rep.) can no longer obtain a visa on arrival. They must obtain a visa before departure and have a medical certificate proving they are free from Coronavirus (COVID-19). They are only allowed to enter Nepal if arriving at Kathmandu (KTM).",https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm,2020-03-16,CAS,,,,,,,,,,,,,,,,,,,,,
,,,Italy,IT,,,,Nepal,NP,,,2020-03-13,,medical certificate required,"Nationals of China (People's Rep.), Iran, Italy, Japan and Korea (Rep.) can no longer obtain a visa on arrival. They must obtain a visa before departure and have a medical certificate proving they are free from Coronavirus (COVID-19). They are only allowed to enter Nepal if arriving at Kathmandu (KTM).",https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm,2020-03-16,CAS,,,,,,,,,,,,,,,,,,,,,
,,,Japan,JP,,,,Nepal,NP,,,2020-03-13,,medical certificate required,"Nationals of China (People's Rep.), Iran, Italy, Japan and Korea (Rep.) can no longer obtain a visa on arrival. They must obtain a visa before departure and have a medical certificate proving they are free from Coronavirus (COVID-19). They are only allowed to enter Nepal if arriving at Kathmandu (KTM).",https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm,2020-03-16,CAS,,,,,,,,,,,,,,,,,,,,,
,,,Macao,MO,,,,Nepal,NP,,,2020-03-13,,medical certificate required,Passengers with a Macao (SAR China) passport can no longer obtain a visa on arrival. They must obtain a visa before departure and have a medical certificate proving they are free from Coronavirus (COVID-19). They are only allowed to enter Nepal if arriving at Kathmandu (KTM).,https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm,2020-03-16,CAS,,,,,,,,,,,,,,,,,,,,,
,,,South Korea,KR,,,,Nepal,NP,,,2020-03-13,,medical certificate required,"Nationals of China (People's Rep.), Iran, Italy, Japan and Korea (Rep.) can no longer obtain a visa on arrival. They must obtain a visa before departure and have a medical certificate proving they are free from Coronavirus (COVID-19). They are only allowed to enter Nepal if arriving at Kathmandu (KTM).",https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm,2020-03-16,CAS,,,,,,,,,,,,,,,,,,,,,
,,,ALL,,,,,New Caledonia,NC,,,2020-02-25,,health inspection on arrival,Passengers and airline crew transiting through or arriving in New Caledonia must fill-in a health declaration form. They will be allowed to transit or enter New Caledonia after a medical clearance and passport check done by the Border Force.,https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm,2020-02-27,CAS,,,,,,,,,,,,,,,,,,,,,
,,,China,CN,,,,New Zealand,NZ,,Government,2020-02-07,,no non-residents allowed,"Foreign travellers who have been present in, or transited through, mainland China in the previous 14 days will be refused entry to New Zealand. The decision to deny boarding or refuse entry to New Zealand does not apply to New Zealand citizens, permanent residents, residents with valid travel conditions and their immediate family, who will still be able to come to New Zealand. Australian citizens and permanent residents are also not subject to the travel restrictions if New Zealand is their primary place of established residence. However, if they have been present in, or transited through mainland China 14 days before departing for New Zealand, they will be required to self-isolate for 14 days from the time they arrive in New Zealand.",https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm,2020-02-12,TCO,https://www.immigration.govt.nz/about-us/media-centre/news-notifications/coronavirus-update-inz-response,2020-02-24,CAS,,,,,,,,,,,,,,,,,,
,,,Iran,IR,,,,New Zealand,NZ,,,2020-02-28,,no non-residents allowed,"travel restrictions apply to any foreigners who have been present in, or transited through, Iran 14 days prior to them departing for New Zealand",https://www.immigration.govt.nz/about-us/media-centre/news-notifications/coronavirus-update-inz-response,2020-02-28,CAS,,,,,,,,,,,,,,,,,,,,,
Diamond Princess cruise ship,,,,,,,,New Zealand,NZ,,Government,2020-02-25,,no non-residents allowed,"the travel restriction has been extended to include any person who was a passenger or crew on board the Diamond Princess Cruise ship operated by Princess Cruises, or any other notified cruise ship, within 14 days of disembarking from the cruise ship.",https://www.immigration.govt.nz/about-us/media-centre/news-notifications/coronavirus-update-inz-response,2020-02-24,CAS,,,,,,,,,,,,,,,,,,,,,
,,,ALL,,,,,New Zealand,NZ,,,2020-03-16,,self-isolate on arrival,"Passengers who have been in a country other than China (People's Rep.), Cook Isl., Fiji, Iran, Kiribati, Marshall Isl., Micronesia (Federated States), Nauru, New Zealand, Niue, Palau, Papua New Guinea, Samoa, Solomon Isl., Tonga, Tuvalu or Vanuatu, are expected to register with Healthline (0800 358 5453) and self-isolate for 14 days. They must fill-in a health registration form on arrival.",https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm,2020-03-17,CAS,,,,,,,,,,,,,,,,,,,,,
,,,China,CN,,,,Niue,MU,,,2020-02-03,,no non-residents allowed,"All travellers who have been in or travelled to China within 30 days prior to arriving in Niue, must spend no less than 14 days in a country free from 2019-nCoV; and must acquire an official medical clearance which must be undertaken within 3 days prior to arrival in Niue",https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm,2020-02-12,TCO,https://www.niueisland.com/s/Coronavirus_Travel-Advisory.pdf,2020-02-27,CAS,,,,,,,,,,,,,,,,,,
,,,Hong Kong,HK,,,,Niue,MU,,,2020-03-13,,no non-residents allowed,"Passengers who have been in China (People's Rep.), Chinese Taipei, Hong Kong (SAR China), Indonesia, Iran, Italy, Japan, Korea (Rep.), Macao (SAR China), Singapore or Thailand in the past 14 days are not allowed to enter Niue. This does not apply if they have a written authorization from the Government of Niue. This does not apply to nationals and resident of Niue and to airline crew.",https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm,2020-03-16,CAS,,,,,,,,,,,,,,,,,,,,,
,,,Indonesia,ID,,,,Niue,MU,,,2020-03-13,,no non-residents allowed,"Passengers who have been in China (People's Rep.), Chinese Taipei, Hong Kong (SAR China), Indonesia, Iran, Italy, Japan, Korea (Rep.), Macao (SAR China), Singapore or Thailand in the past 14 days are not allowed to enter Niue. This does not apply if they have a written authorization from the Government of Niue. This does not apply to nationals and resident of Niue and to airline crew.",https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm,2020-03-16,CAS,,,,,,,,,,,,,,,,,,,,,
,,,Iran,IR,,,,Niue,MU,,,2020-03-13,,no non-residents allowed,"Passengers who have been in China (People's Rep.), Chinese Taipei, Hong Kong (SAR China), Indonesia, Iran, Italy, Japan, Korea (Rep.), Macao (SAR China), Singapore or Thailand in the past 14 days are not allowed to enter Niue. This does not apply if they have a written authorization from the Government of Niue. This does not apply to nationals and resident of Niue and to airline crew.",https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm,2020-03-16,CAS,,,,,,,,,,,,,,,,,,,,,
,,,Italy,IT,,,,Niue,MU,,,2020-03-13,,no non-residents allowed,"Passengers who have been in China (People's Rep.), Chinese Taipei, Hong Kong (SAR China), Indonesia, Iran, Italy, Japan, Korea (Rep.), Macao (SAR China), Singapore or Thailand in the past 14 days are not allowed to enter Niue. This does not apply if they have a written authorization from the Government of Niue. This does not apply to nationals and resident of Niue and to airline crew.",https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm,2020-03-16,CAS,,,,,,,,,,,,,,,,,,,,,
,,,Japan,JP,,,,Niue,MU,,,2020-03-13,,no non-residents allowed,"Passengers who have been in China (People's Rep.), Chinese Taipei, Hong Kong (SAR China), Indonesia, Iran, Italy, Japan, Korea (Rep.), Macao (SAR China), Singapore or Thailand in the past 14 days are not allowed to enter Niue. This does not apply if they have a written authorization from the Government of Niue. This does not apply to nationals and resident of Niue and to airline crew.",https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm,2020-03-16,CAS,,,,,,,,,,,,,,,,,,,,,
,,,Macao,MO,,,,Niue,MU,,,2020-03-13,,no non-residents allowed,"Passengers who have been in China (People's Rep.), Chinese Taipei, Hong Kong (SAR China), Indonesia, Iran, Italy, Japan, Korea (Rep.), Macao (SAR China), Singapore or Thailand in the past 14 days are not allowed to enter Niue. This does not apply if they have a written authorization from the Government of Niue. This does not apply to nationals and resident of Niue and to airline crew.",https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm,2020-03-16,CAS,,,,,,,,,,,,,,,,,,,,,
,,,Singapore,SG,,,,Niue,MU,,,2020-03-13,,no non-residents allowed,"Passengers who have been in China (People's Rep.), Chinese Taipei, Hong Kong (SAR China), Indonesia, Iran, Italy, Japan, Korea (Rep.), Macao (SAR China), Singapore or Thailand in the past 14 days are not allowed to enter Niue. This does not apply if they have a written authorization from the Government of Niue. This does not apply to nationals and resident of Niue and to airline crew.",https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm,2020-03-16,CAS,,,,,,,,,,,,,,,,,,,,,
,,,South Korea,KR,,,,Niue,MU,,,2020-03-13,,no non-residents allowed,"Passengers who have been in China (People's Rep.), Chinese Taipei, Hong Kong (SAR China), Indonesia, Iran, Italy, Japan, Korea (Rep.), Macao (SAR China), Singapore or Thailand in the past 14 days are not allowed to enter Niue. This does not apply if they have a written authorization from the Government of Niue. This does not apply to nationals and resident of Niue and to airline crew.",https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm,2020-03-16,CAS,,,,,,,,,,,,,,,,,,,,,
,,,Taiwan,TW,,,,Niue,MU,,,2020-03-13,,no non-residents allowed,"Passengers who have been in China (People's Rep.), Chinese Taipei, Hong Kong (SAR China), Indonesia, Iran, Italy, Japan, Korea (Rep.), Macao (SAR China), Singapore or Thailand in the past 14 days are not allowed to enter Niue. This does not apply if they have a written authorization from the Government of Niue. This does not apply to nationals and resident of Niue and to airline crew.",https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm,2020-03-16,CAS,,,,,,,,,,,,,,,,,,,,,
,,,Thailand,TH,,,,Niue,MU,,,2020-03-13,,no non-residents allowed,"Passengers who have been in China (People's Rep.), Chinese Taipei, Hong Kong (SAR China), Indonesia, Iran, Italy, Japan, Korea (Rep.), Macao (SAR China), Singapore or Thailand in the past 14 days are not allowed to enter Niue. This does not apply if they have a written authorization from the Government of Niue. This does not apply to nationals and resident of Niue and to airline crew.",https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm,2020-03-16,CAS,,,,,,,,,,,,,,,,,,,,,
,,,ALL,,,,,North Korea,KP,,,2020-02-06,,no non-residents allowed,Passengers traveling as tourists are not allowed to enter,https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm,2020-03-16,CAS,,,,,,,,,,,,,,,,,,,,,
,,,ALL,,,,,North Korea,KP,,,2020-02-06,,self-isolate on arrival,Passengers traveling as tourists are not allowed to enter. Passengers traveling on business or duty must spend 14 days in quarantine upon arrival.,https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm,2020-03-16,CAS,,,,,,,,,,,,,,,,,,,,,
,,,China,CN,,,,North Korea,KP,,,2020-01-30,,no non-residents allowed,borders sealed,https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm,2020-02-12,TCO,https://www.reuters.com/article/us-china-health-northkorea/burdened-by-sanctions-north-korea-sees-coronavirus-threaten-economic-lifelines-idUSKBN1ZY0HB,2020-02-27,CAS,,,,,,,,,,,,,,,,,,
,,,Russia,RU,,,,North Korea,KP,,,2020-02-04,,no non-residents allowed,borders sealed,https://www.reuters.com/article/us-china-health-northkorea/burdened-by-sanctions-north-korea-sees-coronavirus-threaten-economic-lifelines-idUSKBN1ZY0HB,2020-02-27,CAS,,,,,,,,,,,,,,,,,,,,,
,,,China,CN,,,,North Macedonia,MK,,,2020-03-14,,no non-residents allowed,"Passengers arriving from China (People's Rep.), Italy, Iran, Korea (Rep.), France, Spain or Germany are not allowed to enter North Macedonia (Rep.) unless they submit a certificate for regulated quarantine issued by an authorized agency.",https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm,2020-03-17,CAS,,,,,,,,,,,,,,,,,,,,,
,,,Italy,IT,,,,North Macedonia,MK,,,2020-03-14,,no non-residents allowed,"Passengers arriving from China (People's Rep.), Italy, Iran, Korea (Rep.), France, Spain or Germany are not allowed to enter North Macedonia (Rep.) unless they submit a certificate for regulated quarantine issued by an authorized agency.",https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm,2020-03-17,CAS,,,,,,,,,,,,,,,,,,,,,
,,,Iran,IR,,,,North Macedonia,MK,,,2020-03-14,,no non-residents allowed,"Passengers arriving from China (People's Rep.), Italy, Iran, Korea (Rep.), France, Spain or Germany are not allowed to enter North Macedonia (Rep.) unless they submit a certificate for regulated quarantine issued by an authorized agency.",https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm,2020-03-17,CAS,,,,,,,,,,,,,,,,,,,,,
,,,South Korea,KR,,,,North Macedonia,MK,,,2020-03-14,,no non-residents allowed,"Passengers arriving from China (People's Rep.), Italy, Iran, Korea (Rep.), France, Spain or Germany are not allowed to enter North Macedonia (Rep.) unless they submit a certificate for regulated quarantine issued by an authorized agency.",https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm,2020-03-17,CAS,,,,,,,,,,,,,,,,,,,,,
,,,France,FR,,,,North Macedonia,MK,,,2020-03-14,,no non-residents allowed,"Passengers arriving from China (People's Rep.), Italy, Iran, Korea (Rep.), France, Spain or Germany are not allowed to enter North Macedonia (Rep.) unless they submit a certificate for regulated quarantine issued by an authorized agency.",https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm,2020-03-17,CAS,,,,,,,,,,,,,,,,,,,,,
,,,Spain,ES,,,,North Macedonia,MK,,,2020-03-14,,no non-residents allowed,"Passengers arriving from China (People's Rep.), Italy, Iran, Korea (Rep.), France, Spain or Germany are not allowed to enter North Macedonia (Rep.) unless they submit a certificate for regulated quarantine issued by an authorized agency.",https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm,2020-03-17,CAS,,,,,,,,,,,,,,,,,,,,,
,,,Germany,DE,,,,North Macedonia,MK,,,2020-03-14,,no non-residents allowed,"Passengers arriving from China (People's Rep.), Italy, Iran, Korea (Rep.), France, Spain or Germany are not allowed to enter North Macedonia (Rep.) unless they submit a certificate for regulated quarantine issued by an authorized agency.",https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm,2020-03-17,CAS,,,,,,,,,,,,,,,,,,,,,
,,,Australia,AU,,,,North Macedonia,MK,,,2020-03-14,,self-isolate on arrival,"Passengers who have been in the last 14 days in the countries listed below will be subject to compulsory 14-day self-isolation: Australia, Austria, Bahrain, Belgium, Brazil, Canada, China (People's Rep.), Czechia, Denmark, Egypt, Greece, Iceland, Israel, India, Iraq, Japan, Kuwait, Lebanon, Malaysia, Netherlands, Norway, Philippines, Qatar, San Marino, Singapore, Slovenia, Sweden, Switzerland, Thailand, United Arab Emirates, United Kingdom and USA.",https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm,2020-03-17,CAS,,,,,,,,,,,,,,,,,,,,,
,,,Austria,AT,,,,North Macedonia,MK,,,2020-03-14,,self-isolate on arrival,"Passengers who have been in the last 14 days in the countries listed below will be subject to compulsory 14-day self-isolation: Australia, Austria, Bahrain, Belgium, Brazil, Canada, China (People's Rep.), Czechia, Denmark, Egypt, Greece, Iceland, Israel, India, Iraq, Japan, Kuwait, Lebanon, Malaysia, Netherlands, Norway, Philippines, Qatar, San Marino, Singapore, Slovenia, Sweden, Switzerland, Thailand, United Arab Emirates, United Kingdom and USA.",https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm,2020-03-17,CAS,,,,,,,,,,,,,,,,,,,,,
,,,Bahrain,BH,,,,North Macedonia,MK,,,2020-03-14,,self-isolate on arrival,"Passengers who have been in the last 14 days in the countries listed below will be subject to compulsory 14-day self-isolation: Australia, Austria, Bahrain, Belgium, Brazil, Canada, China (People's Rep.), Czechia, Denmark, Egypt, Greece, Iceland, Israel, India, Iraq, Japan, Kuwait, Lebanon, Malaysia, Netherlands, Norway, Philippines, Qatar, San Marino, Singapore, Slovenia, Sweden, Switzerland, Thailand, United Arab Emirates, United Kingdom and USA.",https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm,2020-03-17,CAS,,,,,,,,,,,,,,,,,,,,,
,,,Belgium,BE,,,,North Macedonia,MK,,,2020-03-14,,self-isolate on arrival,"Passengers who have been in the last 14 days in the countries listed below will be subject to compulsory 14-day self-isolation: Australia, Austria, Bahrain, Belgium, Brazil, Canada, China (People's Rep.), Czechia, Denmark, Egypt, Greece, Iceland, Israel, India, Iraq, Japan, Kuwait, Lebanon, Malaysia, Netherlands, Norway, Philippines, Qatar, San Marino, Singapore, Slovenia, Sweden, Switzerland, Thailand, United Arab Emirates, United Kingdom and USA.",https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm,2020-03-17,CAS,,,,,,,,,,,,,,,,,,,,,
,,,Brazil,BR,,,,North Macedonia,MK,,,2020-03-14,,self-isolate on arrival,"Passengers who have been in the last 14 days in the countries listed below will be subject to compulsory 14-day self-isolation: Australia, Austria, Bahrain, Belgium, Brazil, Canada, China (People's Rep.), Czechia, Denmark, Egypt, Greece, Iceland, Israel, India, Iraq, Japan, Kuwait, Lebanon, Malaysia, Netherlands, Norway, Philippines, Qatar, San Marino, Singapore, Slovenia, Sweden, Switzerland, Thailand, United Arab Emirates, United Kingdom and USA.",https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm,2020-03-17,CAS,,,,,,,,,,,,,,,,,,,,,
,,,Canada,CA,,,,North Macedonia,MK,,,2020-03-14,,self-isolate on arrival,"Passengers who have been in the last 14 days in the countries listed below will be subject to compulsory 14-day self-isolation: Australia, Austria, Bahrain, Belgium, Brazil, Canada, China (People's Rep.), Czechia, Denmark, Egypt, Greece, Iceland, Israel, India, Iraq, Japan, Kuwait, Lebanon, Malaysia, Netherlands, Norway, Philippines, Qatar, San Marino, Singapore, Slovenia, Sweden, Switzerland, Thailand, United Arab Emirates, United Kingdom and USA.",https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm,2020-03-17,CAS,,,,,,,,,,,,,,,,,,,,,
,,,Czechia,CZ,,,,North Macedonia,MK,,,2020-03-14,,self-isolate on arrival,"Passengers who have been in the last 14 days in the countries listed below will be subject to compulsory 14-day self-isolation: Australia, Austria, Bahrain, Belgium, Brazil, Canada, China (People's Rep.), Czechia, Denmark, Egypt, Greece, Iceland, Israel, India, Iraq, Japan, Kuwait, Lebanon, Malaysia, Netherlands, Norway, Philippines, Qatar, San Marino, Singapore, Slovenia, Sweden, Switzerland, Thailand, United Arab Emirates, United Kingdom and USA.",https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm,2020-03-17,CAS,,,,,,,,,,,,,,,,,,,,,
,,,Denmark,DK,,,,North Macedonia,MK,,,2020-03-14,,self-isolate on arrival,"Passengers who have been in the last 14 days in the countries listed below will be subject to compulsory 14-day self-isolation: Australia, Austria, Bahrain, Belgium, Brazil, Canada, China (People's Rep.), Czechia, Denmark, Egypt, Greece, Iceland, Israel, India, Iraq, Japan, Kuwait, Lebanon, Malaysia, Netherlands, Norway, Philippines, Qatar, San Marino, Singapore, Slovenia, Sweden, Switzerland, Thailand, United Arab Emirates, United Kingdom and USA.",https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm,2020-03-17,CAS,,,,,,,,,,,,,,,,,,,,,
,,,Egypt,EG,,,,North Macedonia,MK,,,2020-03-14,,self-isolate on arrival,"Passengers who have been in the last 14 days in the countries listed below will be subject to compulsory 14-day self-isolation: Australia, Austria, Bahrain, Belgium, Brazil, Canada, China (People's Rep.), Czechia, Denmark, Egypt, Greece, Iceland, Israel, India, Iraq, Japan, Kuwait, Lebanon, Malaysia, Netherlands, Norway, Philippines, Qatar, San Marino, Singapore, Slovenia, Sweden, Switzerland, Thailand, United Arab Emirates, United Kingdom and USA.",https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm,2020-03-17,CAS,,,,,,,,,,,,,,,,,,,,,
,,,Greece,GR,,,,North Macedonia,MK,,,2020-03-14,,self-isolate on arrival,"Passengers who have been in the last 14 days in the countries listed below will be subject to compulsory 14-day self-isolation: Australia, Austria, Bahrain, Belgium, Brazil, Canada, China (People's Rep.), Czechia, Denmark, Egypt, Greece, Iceland, Israel, India, Iraq, Japan, Kuwait, Lebanon, Malaysia, Netherlands, Norway, Philippines, Qatar, San Marino, Singapore, Slovenia, Sweden, Switzerland, Thailand, United Arab Emirates, United Kingdom and USA.",https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm,2020-03-17,CAS,,,,,,,,,,,,,,,,,,,,,
,,,Iceland,IS,,,,North Macedonia,MK,,,2020-03-14,,self-isolate on arrival,"Passengers who have been in the last 14 days in the countries listed below will be subject to compulsory 14-day self-isolation: Australia, Austria, Bahrain, Belgium, Brazil, Canada, China (People's Rep.), Czechia, Denmark, Egypt, Greece, Iceland, Israel, India, Iraq, Japan, Kuwait, Lebanon, Malaysia, Netherlands, Norway, Philippines, Qatar, San Marino, Singapore, Slovenia, Sweden, Switzerland, Thailand, United Arab Emirates, United Kingdom and USA.",https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm,2020-03-17,CAS,,,,,,,,,,,,,,,,,,,,,
,,,Israel,IL,,,,North Macedonia,MK,,,2020-03-14,,self-isolate on arrival,"Passengers who have been in the last 14 days in the countries listed below will be subject to compulsory 14-day self-isolation: Australia, Austria, Bahrain, Belgium, Brazil, Canada, China (People's Rep.), Czechia, Denmark, Egypt, Greece, Iceland, Israel, India, Iraq, Japan, Kuwait, Lebanon, Malaysia, Netherlands, Norway, Philippines, Qatar, San Marino, Singapore, Slovenia, Sweden, Switzerland, Thailand, United Arab Emirates, United Kingdom and USA.",https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm,2020-03-17,CAS,,,,,,,,,,,,,,,,,,,,,
,,,India,IN,,,,North Macedonia,MK,,,2020-03-14,,self-isolate on arrival,"Passengers who have been in the last 14 days in the countries listed below will be subject to compulsory 14-day self-isolation: Australia, Austria, Bahrain, Belgium, Brazil, Canada, China (People's Rep.), Czechia, Denmark, Egypt, Greece, Iceland, Israel, India, Iraq, Japan, Kuwait, Lebanon, Malaysia, Netherlands, Norway, Philippines, Qatar, San Marino, Singapore, Slovenia, Sweden, Switzerland, Thailand, United Arab Emirates, United Kingdom and USA.",https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm,2020-03-17,CAS,,,,,,,,,,,,,,,,,,,,,
,,,Iraq,IR,,,,North Macedonia,MK,,,2020-03-14,,self-isolate on arrival,"Passengers who have been in the last 14 days in the countries listed below will be subject to compulsory 14-day self-isolation: Australia, Austria, Bahrain, Belgium, Brazil, Canada, China (People's Rep.), Czechia, Denmark, Egypt, Greece, Iceland, Israel, India, Iraq, Japan, Kuwait, Lebanon, Malaysia, Netherlands, Norway, Philippines, Qatar, San Marino, Singapore, Slovenia, Sweden, Switzerland, Thailand, United Arab Emirates, United Kingdom and USA.",https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm,2020-03-17,CAS,,,,,,,,,,,,,,,,,,,,,
